team,manager,start_date,end_date,source,source_collected_at
Arsenal,Mikel Arteta,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Aston Villa,Unai Emery,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Bournemouth,Andoni Iraola,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Brentford,Thomas Frank,2024-08-18,,fbref_match_cache_inferred_period,2024-08-19
Brighton,Fabian Hürzeler,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Chelsea,Enzo Maresca,2024-08-18,,fbref_match_cache_inferred_period,2024-08-19
Crystal Palace,Oliver Glasner,2024-08-18,,fbref_match_cache_inferred_period,2024-08-19
Everton,Sean Dyche,2024-08-17,2025-01-14,fbref_match_cache_inferred_period,2024-08-18
Everton,David Moyes,2025-01-15,,fbref_match_cache_inferred_period,2025-01-16
Fulham,Marco Silva,2024-08-16,,fbref_match_cache_inferred_period,2024-08-17
Ipswich,Kieran McKenna,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Leicester,Steve Cooper,2024-08-19,2024-11-29,fbref_match_cache_inferred_period,2024-08-20
Leicester,Ben Dawson,2024-11-30,2024-12-02,fbref_match_cache_inferred_period,2024-12-01
Leicester,Ruud van Nistelrooy,2024-12-03,,fbref_match_cache_inferred_period,2024-12-04
Liverpool,Arne Slot,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Man City,Pep Guardiola,2024-08-18,,fbref_match_cache_inferred_period,2024-08-19
Man United,Erik ten Hag,2024-08-16,2024-11-02,fbref_match_cache_inferred_period,2024-08-17
Man United,Ruud van Nistelrooy,2024-11-03,2024-11-23,fbref_match_cache_inferred_period,2024-11-04
Man United,Rúben Amorim,2024-11-24,,fbref_match_cache_inferred_period,2024-11-25
Newcastle,Eddie Howe,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Nott'm Forest,Nuno Espírito Santo,2024-08-17,,fbref_match_cache_inferred_period,2024-08-18
Southampton,Russell Martin,2024-08-17,2024-12-21,fbref_match_cache_inferred_period,2024-08-18
Southampton,Simon Rusk,2024-12-22,2024-12-25,fbref_match_cache_inferred_period,2024-12-23
Southampton,Ivan Jurić,2024-12-26,2025-04-11,fbref_match_cache_inferred_period,2024-12-27
Southampton,Simon Rusk,2025-04-12,,fbref_match_cache_inferred_period,2025-04-13
Tottenham,Ange Postecoglou,2024-08-19,,fbref_match_cache_inferred_period,2024-08-20
West Ham,Julen Lopetegui,2024-08-17,2025-01-13,fbref_match_cache_inferred_period,2024-08-18
West Ham,Graham Potter,2025-01-14,,fbref_match_cache_inferred_period,2025-01-15
Wolves,Gary O'Neil,2024-08-17,2024-12-21,fbref_match_cache_inferred_period,2024-08-18
Wolves,Vítor Pereira,2024-12-22,,fbref_match_cache_inferred_period,2024-12-23
