Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,competition
25/07/2026,Arsenal,MK Dons,3,0,H,Pre-season Friendly
01/08/2026,Arsenal,Girona,4,1,H,Pre-season Friendly
05/08/2026,Arsenal,Real Betis,1,3,A,Pre-season Friendly
09/08/2026,Arsenal,Borussia Dortmund,2,3,A,Pre-season Friendly
21/07/2026,Walsall,Aston Villa,0,5,A,Pre-season Friendly
25/07/2026,Porto,Aston Villa,2,1,H,Pre-season Friendly
28/07/2026,Aston Villa,Real Sociedad,2,4,A,Pre-season Friendly
01/08/2026,Indonesia All-Stars,Aston Villa,1,3,A,Pre-season Friendly
04/08/2026,BG Pathum United,Aston Villa,1,3,A,Pre-season Friendly
07/08/2026,Bayern Munich,Aston Villa,2,1,H,Pre-season Friendly
24/07/2026,St Pauli,Bournemouth,1,4,A,Pre-season Friendly
30/07/2026,Bournemouth,Augsburg,5,2,H,Pre-season Friendly
04/08/2026,Genoa,Bournemouth,1,10,A,Pre-season Friendly
08/08/2026,Real Betis,Bournemouth,2,2,D,Pre-season Friendly
15/07/2026,Brentford,AFC Wimbledon,3,2,H,Pre-season Friendly
05/08/2026,Brentford,Wycombe,4,1,H,Pre-season Friendly
08/08/2026,Rennes,Brentford,1,2,A,Pre-season Friendly
18/07/2026,Brighton,Wycombe Wanderers,4,1,H,Pre-season Friendly
01/08/2026,Brighton,Strasbourg,4,3,H,Pre-season Friendly
08/08/2026,Brighton,Roma,3,0,H,Pre-season Friendly
28/07/2026,Western Sydney Wanderers,Chelsea,4,6,A,Pre-season Friendly
01/08/2026,Chelsea,Tottenham,1,2,A,Pre-season Friendly
05/08/2026,Chelsea,Juventus,0,1,A,Pre-season Friendly
08/08/2026,Chelsea,AC Milan,3,0,H,Pre-season Friendly
09/08/2026,Chelsea,Johor Darul Ta'zim,3,3,D,Pre-season Friendly
11/07/2026,Wimbledon,Coventry,3,2,H,Pre-season Friendly
18/07/2026,Northampton Town,Coventry,0,0,D,Pre-season Friendly
01/08/2026,Leicester,Coventry,0,1,A,Pre-season Friendly
04/08/2026,West Brom,Coventry,1,1,D,Pre-season Friendly
08/08/2026,Coventry,Espanyol,3,1,H,Pre-season Friendly
18/07/2026,Crystal Palace,Swindon,5,1,H,Pre-season Friendly
25/07/2026,Bromley,Crystal Palace,3,0,H,Pre-season Friendly
28/07/2026,Famalicao,Crystal Palace,0,0,D,Pre-season Friendly
28/07/2026,Lens,Crystal Palace,3,0,H,Pre-season Friendly
07/08/2026,Fulham,Crystal Palace,1,2,A,Pre-season Friendly
18/07/2026,Dundee,Everton,0,4,A,Pre-season Friendly
25/07/2026,Bolton,Everton,0,0,D,Pre-season Friendly
28/07/2026,Stoke,Everton,1,0,H,Pre-season Friendly
01/08/2026,Hamburg,Everton,1,2,A,Pre-season Friendly
08/08/2026,Stuttgart,Everton,3,1,H,Pre-season Friendly
25/07/2026,Fulham,Norwich,0,2,A,Pre-season Friendly
28/07/2026,Al-Ahli,Fulham,1,1,D,Pre-season Friendly
31/07/2026,Farense,Fulham,1,2,A,Pre-season Friendly
25/07/2026,Konyaspor,Hull,0,3,A,Pre-season Friendly
28/07/2026,Caykur Rizespor,Hull,1,2,A,Pre-season Friendly
01/08/2026,Hull,Kasimpasa,1,1,D,Pre-season Friendly
08/08/2026,Eintracht Frankfurt,Hull,2,0,H,Pre-season Friendly
29/07/2026,Ipswich,Osasuna,1,2,A,Pre-season Friendly
01/08/2026,Oxford Utd,Ipswich,0,2,A,Pre-season Friendly
01/08/2026,Wycombe,Ipswich,1,2,A,Pre-season Friendly
04/08/2026,Ipswich,Le Havre,1,0,H,Pre-season Friendly
08/08/2026,Ipswich,Rayo Vallecano,3,0,H,Pre-season Friendly
25/07/2026,Leeds,Wrexham,2,3,A,Pre-season Friendly
30/07/2026,Leeds,Sunderland,1,0,H,Pre-season Friendly
02/08/2026,Liverpool,Leeds,2,4,A,Pre-season Friendly
