class,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency
home_win,0.0,0.1,1,0.0864807739853859,0.0
home_win,0.1,0.2,26,0.1689480096101761,0.07692307692307693
home_win,0.2,0.30000000000000004,66,0.2562343180179596,0.22727272727272727
home_win,0.30000000000000004,0.4,92,0.3494470715522766,0.2717391304347826
home_win,0.4,0.5,89,0.44928449392318726,0.43820224719101125
home_win,0.5,0.6000000000000001,82,0.5489718914031982,0.573170731707317
home_win,0.6000000000000001,0.7000000000000001,59,0.6485726237297058,0.576271186440678
home_win,0.7000000000000001,0.8,26,0.7398812770843506,0.6538461538461539
home_win,0.8,0.9,15,0.8281992077827454,0.6
home_win,0.9,1.0,1,0.9436928033828735,1.0
draw,0.0,0.1,10,0.08681196719408035,0.1
draw,0.1,0.2,204,0.1647958755493164,0.22549019607843138
draw,0.2,0.30000000000000004,185,0.24238558113574982,0.23783783783783785
draw,0.30000000000000004,0.4,52,0.33467748761177063,0.2692307692307692
draw,0.4,0.5,3,0.4234175682067871,0.3333333333333333
draw,0.5,0.6000000000000001,2,0.5158185362815857,0.5
draw,0.6000000000000001,0.7000000000000001,1,0.6050863265991211,0.0
away_win,0.0,0.1,25,0.07234087586402893,0.16
away_win,0.1,0.2,81,0.153300940990448,0.1728395061728395
away_win,0.2,0.30000000000000004,108,0.24656237661838531,0.24074074074074073
away_win,0.30000000000000004,0.4,97,0.3505600094795227,0.3711340206185567
away_win,0.4,0.5,82,0.44998103380203247,0.5121951219512195
away_win,0.5,0.6000000000000001,49,0.5415799021720886,0.6122448979591837
away_win,0.6000000000000001,0.7000000000000001,13,0.6339934468269348,0.6153846153846154
away_win,0.7000000000000001,0.8,2,0.7070660591125488,0.5
