Season,Date,HomeTeam,AwayTeam,FTR,actual,predicted,predicted_confidence,home_win_probability,draw_probability,away_win_probability,individual_log_loss,home_days_rest,away_days_rest,home_team_points_last_5,away_team_points_last_5,home_xg_diff,away_xg_diff,home_favorite,top_six_home_favorite,promoted_team_involved,suspicious_rest_gap,wrong
2324,2024-04-06,Aston Villa,Brentford,D,draw,home_win,0.4520975,0.4520975,0.27781573,0.2700867,1.2807972,3.0,3.0,7,3,-0.9711271999999997,-0.12230340000000028,True,False,False,False,True
2324,2024-04-13,Burnley,Brighton,D,draw,home_win,0.528708,0.528708,0.19838375,0.27290827,1.617552,7.0,7.0,6,4,-0.42115279999999977,-1.2169542000000002,True,False,True,False,True
2324,2024-04-13,Nott'm Forest,Wolves,D,draw,home_win,0.5684653,0.5684653,0.2159804,0.2155543,1.5325676,6.0,7.0,5,4,0.48393680000000017,-0.7133501999999998,True,False,True,False,True
2324,2024-04-13,Bournemouth,Man United,D,draw,home_win,0.7204804,0.7204804,0.14610949,0.13341007,1.923399,7.0,6.0,10,5,0.5928838000000001,-1.8233503999999996,True,False,False,False,True
2324,2024-04-27,Aston Villa,Chelsea,D,draw,home_win,0.48519263,0.48519263,0.16761301,0.3471944,1.7860974,6.0,4.0,10,8,-0.7427502000000001,0.6705677999999997,True,False,False,False,True
2324,2024-05-04,Brentford,Fulham,D,draw,home_win,0.41191664,0.41191664,0.19604029,0.39204305,1.6294351,7.0,7.0,8,4,0.5476496,0.21341279999999996,True,False,False,False,True
2324,2024-05-11,Newcastle,Brighton,D,draw,home_win,0.6889642,0.6889642,0.1772968,0.13373905,1.72993,7.0,6.0,12,4,1.190348,-0.9171431000000001,True,False,False,False,True
2425,2024-08-17,Nott'm Forest,Bournemouth,D,draw,home_win,0.45002934,0.45002934,0.23717101,0.3127996,1.4389738,90.0,90.0,6,6,0.38754279999999985,-0.17048479999999988,True,False,True,True,True
2425,2024-08-31,Nott'm Forest,Wolves,D,draw,home_win,0.7862282,0.7862282,0.13616507,0.07760672,1.9938874,7.0,6.0,10,0,0.3930856000000005,-2.2157568000000003,True,False,True,False,True
2425,2024-08-31,Ipswich,Fulham,D,draw,home_win,0.38049185,0.38049185,0.25465176,0.36485636,1.3678583,7.0,7.0,0,7,-3.09232,-0.7774776999999997,True,False,True,False,True
2425,2024-08-31,Arsenal,Brighton,D,draw,home_win,0.7106719,0.7106719,0.12113638,0.16819164,2.1108382,7.0,7.0,15,7,1.6642004,0.49065899999999996,True,True,False,False,True
2425,2024-09-14,Fulham,West Ham,D,draw,home_win,0.505538,0.505538,0.19330429,0.3011577,1.6434897,14.0,14.0,7,6,-0.8104035,-0.19170120000000024,True,False,False,False,True
2425,2024-09-14,Crystal Palace,Leicester,D,draw,home_win,0.49552804,0.49552804,0.24309649,0.2613755,1.4142969,13.0,14.0,7,5,0.01651239999999987,-0.7566197599999996,True,False,True,False,True
2425,2024-09-14,Brighton,Ipswich,D,draw,home_win,0.71011776,0.71011776,0.17520611,0.1146762,1.7417922,14.0,14.0,7,1,0.477773,-2.222140666666667,True,False,True,False,True
2425,2024-09-21,Southampton,Ipswich,D,draw,home_win,0.47467262,0.47467262,0.35667852,0.16864888,1.0309204,7.0,7.0,1,2,-1.5357893999999999,-1.92551475,True,False,True,False,True
2425,2024-09-21,Leicester,Everton,D,draw,home_win,0.57890254,0.57890254,0.23653814,0.18455936,1.4416459,7.0,7.0,5,0,-0.6102812,-1.7204107999999998,True,False,True,False,True
2425,2024-09-22,Man City,Arsenal,D,draw,home_win,0.6087585,0.6087585,0.24706018,0.14418127,1.3981234,8.0,7.0,15,13,1.5079662000000003,0.9250832,True,True,False,False,True
2425,2024-09-28,Brentford,West Ham,D,draw,home_win,0.5974244,0.5974244,0.21289825,0.18967739,1.5469409,7.0,7.0,6,4,-0.6631752,-1.1591106,True,False,False,False,True
2425,2024-10-05,Everton,Newcastle,D,draw,home_win,0.4480367,0.4480367,0.18283758,0.36912572,1.6991571,7.0,7.0,4,8,-0.8395805999999999,-0.542014,True,False,False,False,True
2425,2024-10-06,Aston Villa,Man United,D,draw,home_win,0.6986419,0.6986419,0.14711422,0.1542439,1.916546,7.0,7.0,10,4,0.9501228000000002,-0.7826537999999996,True,False,False,False,True
2425,2024-10-06,Chelsea,Nott'm Forest,D,draw,home_win,0.64111453,0.64111453,0.23646887,0.12241663,1.4419388,8.0,8.0,13,8,1.1229322,0.3042498,True,True,True,False,True
2425,2024-10-26,Brighton,Wolves,D,draw,home_win,0.6004366,0.6004366,0.15610585,0.24345748,1.857221,7.0,6.0,8,0,-0.11915859999999978,-1.4557594,True,False,False,False,True
2425,2024-10-27,Arsenal,Liverpool,D,draw,home_win,0.5641336,0.5641336,0.25388852,0.18197788,1.37086,8.0,7.0,10,12,1.0213528000000003,1.0533424,True,True,False,False,True
2425,2024-11-02,Wolves,Crystal Palace,D,draw,home_win,0.40903,0.40903,0.24649373,0.34447625,1.4004188,7.0,6.0,1,4,-1.5335574000000003,-0.6444893999999999,True,False,False,False,True
2425,2024-11-02,Ipswich,Leicester,D,draw,home_win,0.50972474,0.50972474,0.24963987,0.24063544,1.387736,7.0,8.0,2,7,-1.3270140000000001,-1.7081026,True,False,True,False,True
2425,2024-11-09,West Ham,Everton,D,draw,home_win,0.4647056,0.4647056,0.26591074,0.26938364,1.3245946,7.0,7.0,7,8,0.25708299999999973,-0.008643200000000073,True,False,False,False,True
2425,2024-11-10,Chelsea,Arsenal,D,draw,home_win,0.52507406,0.52507406,0.15474679,0.3201792,1.8659651,7.0,8.0,8,7,0.22040399999999982,1.2073318,True,True,False,False,True
2425,2024-11-23,Aston Villa,Crystal Palace,D,draw,home_win,0.37084395,0.37084395,0.32858828,0.30056778,1.1129497,14.0,14.0,5,4,-0.018755799999999878,-0.3699574000000001,True,False,False,False,True
2425,2024-11-29,Brighton,Southampton,D,draw,home_win,0.6115706,0.6115706,0.16655025,0.22187918,1.7924582,6.0,5.0,10,3,-0.21275800000000022,-1.2434923999999996,True,False,True,False,True
2425,2024-12-07,Crystal Palace,Man City,D,draw,home_win,0.45981467,0.45981467,0.19964156,0.3405438,1.6112317,4.0,3.0,6,3,0.5465325999999997,-0.41318199999999994,True,False,False,False,True
2425,2024-12-08,Fulham,Arsenal,D,draw,home_win,0.43526912,0.43526912,0.17977354,0.3849574,1.7160573,3.0,4.0,10,10,0.09822819999999988,1.5006322,True,False,False,False,True
2425,2024-12-14,Arsenal,Everton,D,draw,home_win,0.78238475,0.78238475,0.15398286,0.06363243,1.870914,6.0,10.0,11,5,1.9467766000000002,0.17923259999999996,True,True,False,False,True
2425,2024-12-14,Liverpool,Fulham,D,draw,home_win,0.70312303,0.70312303,0.17986593,0.11701103,1.7155435,10.0,6.0,13,8,1.4248790000000002,-0.4964219999999999,True,True,False,False,True
2425,2024-12-16,Bournemouth,West Ham,D,draw,home_win,0.8333693,0.8333693,0.09583445,0.07079624,2.345133,8.0,7.0,9,7,1.6798504,-0.6484537999999997,True,False,False,False,True
2425,2024-12-21,West Ham,Brighton,D,draw,home_win,0.574242,0.574242,0.15528774,0.2704703,1.8624755,5.0,6.0,7,5,-0.7460271999999999,-0.25976660000000007,True,False,False,False,True
