feature,permutation_importance_log_loss,permutation_importance_std
home_shots_avg_season,0.010919241917971823,0.0036106407971742225
home_team_points_last_5,0.006203387014592466,0.0024597992090046174
home_xga_avg,0.004428670245791189,0.0019119626655983836
home_xg_avg,0.003980444080464096,0.0017451141256836248
elo_ratio,0.003178172315253347,0.0025267386709774387
home_goals_scored_avg,0.0029266402940940407,0.0008601231362151761
home_elo,0.0014994811713150203,0.0013262183235102658
home_days_rest,0.001303811278224254,0.0014416027322060637
form_points_similarity,0.001032119605131676,0.0009008927871277555
elo_difference,0.0010138459796269483,0.0016590041135640156
away_xg_avg,0.0007431502676472857,0.0013851402692418298
away_shots_avg_season,0.0007225970135553705,0.001841688342968684
home_shots_on_target_avg_last10,0.0007091931435192933,0.00045327925184952144
team_strength_similarity,0.0003014450438495242,0.00047052060730297564
away_goals_scored_avg,0.00019744086543647122,0.0009583926286715316
away_shots_on_target_avg_last5,9.533887823871545e-05,0.0005851956546755076
home_shots_avg_last10,1.0666402944892184e-05,0.0007678958172857389
xg_diff_similarity,0.0,0.0
rolling_elo_form,0.0,0.0
elo_gap_bucket,0.0,0.0
home_days_since_last_match,0.0,0.0
home_advantage,0.0,0.0
away_days_since_last_match,0.0,0.0
home_had_midweek_match,0.0,0.0
home_shots_avg_last5,-0.00011204966148756768,0.0013984052738479414
home_shots_on_target_avg_season,-0.00018342430470341675,0.0030955430035351
away_team_points_last_5,-0.0003379597193466477,0.0010607795313702176
home_matches_last_14_days,-0.000376488284880816,0.0001881085298649221
combined_draw_rate_last10,-0.0004830776316347762,0.0005533740285908277
away_matches_last_14_days,-0.0006198955233714277,0.00023501891910246499
away_elo_trend,-0.0007014352353431619,0.0009534162551588
away_shots_avg_last10,-0.0009020935532620733,0.0009207949014746698
away_xga_avg,-0.0010945214051543584,0.0025231749209787264
away_had_midweek_match,-0.0011118403830959523,0.00037527807354999205
home_shots_on_target_avg_last5,-0.001250494412803871,0.0005738226975708856
low_total_goals_profile,-0.0012814130867671025,0.00109394018273957
away_shots_avg_last5,-0.001458601498451495,0.0007649439647601505
draw_propensity_score,-0.0014688531401760851,0.0009805409364800428
away_shots_on_target_avg_season,-0.0016653183591774034,0.0020979857425518543
away_shots_on_target_avg_last10,-0.0017915420860635134,0.0007999822987533894
home_xg_diff,-0.0018105816900328086,0.0015289251732111587
low_total_xg_profile,-0.002559581843037462,0.0006362375769238606
away_xg_diff,-0.0027125353985992806,0.002225629912020929
away_days_rest,-0.0028580858692360154,0.0005517347506178461
home_elo_trend,-0.0029562254318187264,0.0011697356295562115
away_elo,-0.002997198838585069,0.0008078983082384853
elo_recent_change,-0.004401437901403104,0.0014309456662742173
