elo_config,k_factor,home_advantage,margin_of_victory,accuracy,log_loss,brier_score,calibration_score,ece
k30_ha75_nomov,30.0,75.0,False,0.4542056074766355,1.0776345357818398,0.6498150327112182,0.04707427031340256,0.047074270313402576
k30_ha100_nomov,30.0,100.0,False,0.45981308411214955,1.0777640110188706,0.650896205708054,0.050104175721559195,0.050104175721559195
k30_ha100_mov,30.0,100.0,True,0.4654205607476635,1.0800095849112314,0.6512632336343792,0.048044445790420075,0.04804444579042007
k40_ha75_mov,40.0,75.0,True,0.44485981308411215,1.0817230480792566,0.6508846759023142,0.04157713782564501,0.04157713782564501
k30_ha50_mov,30.0,50.0,True,0.45981308411214955,1.0819166710623325,0.6513480370008072,0.04802268392571779,0.04802268392571779
k40_ha100_nomov,40.0,100.0,False,0.4504672897196262,1.0822824540857798,0.6523852792261244,0.05055810950719678,0.05055810950719679
k30_ha75_mov,30.0,75.0,True,0.4654205607476635,1.0825058331623767,0.6519695431753,0.04330179113372465,0.04330179113372465
k30_ha50_nomov,30.0,50.0,False,0.45607476635514016,1.0827317591114312,0.6524680031995499,0.045325974604793796,0.045325974604793796
k40_ha50_nomov,40.0,50.0,False,0.4336448598130841,1.0848899859019785,0.6547121803609488,0.04783723304204853,0.047837233042048524
k40_ha75_nomov,40.0,75.0,False,0.4523364485981308,1.085142500048016,0.6539313203985778,0.0421599396524771,0.0421599396524771
k40_ha50_mov,40.0,50.0,True,0.44672897196261685,1.085153605078969,0.6540964545276909,0.053927131679570556,0.05392713167957056
k40_ha100_mov,40.0,100.0,True,0.4523364485981308,1.0857745897861806,0.65418693586534,0.04385253164998468,0.043852531649984684
k10_ha50_mov,10.0,50.0,True,0.4373831775700935,1.0865760735539574,0.6561360773128688,0.05414127121647571,0.0541412712164757
k20_ha75_mov,20.0,75.0,True,0.4411214953271028,1.088299218933791,0.6591407070120386,0.05216173937666082,0.05216173937666081
k20_ha100_nomov,20.0,100.0,False,0.4504672897196262,1.0885065488442447,0.6569501976514234,0.05359194178911755,0.05359194178911756
k40_ha0_mov,40.0,0.0,True,0.44485981308411215,1.0895612408803887,0.6564009230506127,0.05569176101517454,0.05569176101517454
k30_ha0_mov,30.0,0.0,True,0.4691588785046729,1.0898885290359057,0.6567823145430373,0.051396209256856985,0.051396209256856985
k30_ha0_nomov,30.0,0.0,False,0.4373831775700935,1.0900794949398354,0.6564952859913284,0.04924741585585187,0.04924741585585187
k10_ha100_nomov,10.0,100.0,False,0.42429906542056073,1.0902652607415426,0.6583851028677152,0.05659291574331088,0.05659291574331087
k10_ha75_nomov,10.0,75.0,False,0.4355140186915888,1.0904493708084493,0.6593628754745693,0.04964892553670384,0.04964892553670384
k20_ha100_mov,20.0,100.0,True,0.44672897196261685,1.0917202653784268,0.6589314048847331,0.047715966733073885,0.04771596673307389
k20_ha75_nomov,20.0,75.0,False,0.4485981308411215,1.0918090022769933,0.6589336073745712,0.0497726438572845,0.0497726438572845
k20_ha50_mov,20.0,50.0,True,0.4504672897196262,1.0922338770772253,0.6609255233214191,0.05260376546798837,0.05260376546798837
k10_ha0_mov,10.0,0.0,True,0.42429906542056073,1.0926687371646338,0.6606162416082125,0.06262712278098703,0.06262712278098703
k20_ha0_mov,20.0,0.0,True,0.45607476635514016,1.0928282386932322,0.6596635943724979,0.05426168897163088,0.05426168897163088
k10_ha50_nomov,10.0,50.0,False,0.411214953271028,1.0930402376385209,0.6603957092343787,0.05311797900456134,0.05311797900456135
k20_ha0_nomov,20.0,0.0,False,0.4542056074766355,1.0933979722949145,0.6587267743229104,0.05198706371297717,0.05198706371297718
k20_ha50_nomov,20.0,50.0,False,0.4411214953271028,1.0934291311268736,0.6603174778783314,0.04486637652570214,0.04486637652570214
k10_ha100_mov,10.0,100.0,True,0.4261682242990654,1.093935529323134,0.6618843127189146,0.0600852746504861,0.0600852746504861
k40_ha0_nomov,40.0,0.0,False,0.43177570093457945,1.095790088361656,0.6599952254694359,0.050145738838803376,0.05014573883880337
k10_ha0_nomov,10.0,0.0,False,0.41869158878504675,1.097856721533113,0.6635455461823775,0.06081783565869583,0.06081783565869584
k10_ha75_mov,10.0,75.0,True,0.41869158878504675,1.1011944223592791,0.6663513405808803,0.060615092432387524,0.06061509243238753
