feature,mean_abs_shap
home_xg_diff,0.101219505
away_xg_diff,0.082378276
home_team_points_last_5,0.062691234
elo_recent_change,0.060560677
away_xg_avg,0.059440218
home_elo,0.056957565
away_xga_avg,0.051309947
home_xg_avg,0.049477544
home_elo_trend,0.04110696
elo_difference,0.039665315
away_elo,0.034196805
home_xga_avg,0.03208278
away_goals_scored_avg,0.029027013
elo_ratio,0.027642585
home_days_rest,0.026709419
away_matches_last_14_days,0.023452591
home_goals_scored_avg,0.023358824
away_days_rest,0.021485414
away_elo_trend,0.019220036
away_team_points_last_5,0.009995159
away_had_midweek_match,0.004795904
home_matches_last_14_days,0.0022846106
home_days_since_last_match,0.0
away_days_since_last_match,0.0
home_had_midweek_match,0.0
elo_gap_bucket,0.0
home_advantage,0.0
rolling_elo_form,0.0
