feature,importance
away_xg_diff,0.100307725
home_xg_diff,0.09207202
home_xg_avg,0.090408415
home_team_points_last_5,0.0792989
away_xg_avg,0.0693278
away_xga_avg,0.06437805
home_xga_avg,0.06203779
home_days_rest,0.053421564
away_days_rest,0.0533053
home_goals_scored_avg,0.0532941
away_goals_scored_avg,0.05239911
away_team_points_last_5,0.05169681
away_had_midweek_match,0.049103256
away_matches_last_14_days,0.04891868
home_matches_last_14_days,0.04794248
home_had_midweek_match,0.032088045
away_missing_xg_contribution,0.0
home_missing_market_value,0.0
home_days_since_last_match,0.0
away_days_since_last_match,0.0
home_number_of_injured_starters,0.0
away_number_of_injured_starters,0.0
home_missing_minutes_played,0.0
home_advantage,0.0
away_missing_minutes_played,0.0
home_missing_xg_contribution,0.0
away_missing_market_value,0.0
