feature,mean_abs_shap
home_xg_last_5_home_matches,0.11133233
home_xg_diff,0.072102144
away_xg_last_5_away_matches,0.06884577
away_attacking_pressure_score_season,0.066873625
away_xg_diff,0.061308697
home_team_points_last_5,0.04745559
away_xg_avg,0.04154318
away_xga_last_5_away_matches,0.038012676
home_attacking_pressure_score_season,0.037104912
home_xga_avg,0.030879423
home_xga_last_5_home_matches,0.030250793
away_xga_avg,0.029069945
away_goals_scored_avg,0.028220586
home_goal_diff_home_matches,0.026211612
home_days_rest,0.022650225
away_attacking_pressure_score_last10,0.022494042
away_days_rest,0.02141591
home_xg_avg,0.019974235
home_goals_scored_avg,0.018687412
home_attacking_pressure_score_last10,0.01563357
away_attacking_pressure_score_last5,0.015374359
away_matches_last_14_days,0.015036044
away_goal_diff_away_matches,0.014476407
home_attacking_pressure_score_last5,0.014070248
away_points_last_5_away_matches,0.012672693
home_points_last_5_home_matches,0.010847094
away_team_points_last_5,0.0064192456
away_had_midweek_match,0.0053950907
home_matches_last_14_days,0.002963774
away_days_since_last_match,0.0
home_days_since_last_match,0.0
home_had_midweek_match,0.0
home_advantage,0.0
