snapshot_time_utc,model_version,calibration_method,Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,favorite,favorite_probability
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Arsenal,Leeds,0.535294771194458,0.19678299129009247,0.2679222524166107,H,0.535294771194458
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Aston Villa,Brentford,0.19955968856811523,0.20784519612789154,0.592595100402832,A,0.592595100402832
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Chelsea,Bournemouth,0.49697795510292053,0.1842156946659088,0.31880640983581543,H,0.49697795510292053
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Coventry,Newcastle,0.41821804642677307,0.2771534025669098,0.3046285808086395,H,0.41821804642677307
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Crystal Palace,Nott'm Forest,0.20956522226333618,0.26523926854133606,0.5251954793930054,A,0.5251954793930054
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Hull,Everton,0.3317733705043793,0.25662970542907715,0.4115969240665436,A,0.4115969240665436
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Ipswich,Fulham,0.33045175671577454,0.2911491394042969,0.378399133682251,A,0.378399133682251
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Liverpool,Man City,0.3760726749897003,0.25595682859420776,0.3679705560207367,H,0.3760726749897003
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Man United,Tottenham,0.7377690672874451,0.12710733711719513,0.135123610496521,H,0.7377690672874451
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-10,2026/27,Sunderland,Brighton,0.45586177706718445,0.17522306740283966,0.3689152002334595,H,0.45586177706718445
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Fulham,Hull,0.5223217606544495,0.20498141646385193,0.2726968228816986,H,0.5223217606544495
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Bournemouth,Sunderland,0.5182178020477295,0.19062919914722443,0.29115304350852966,H,0.5182178020477295
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Brentford,Liverpool,0.46835464239120483,0.1975947767496109,0.33405059576034546,H,0.46835464239120483
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Everton,Chelsea,0.4790007472038269,0.17969736456871033,0.34130188822746277,H,0.4790007472038269
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Brighton,Crystal Palace,0.7807498574256897,0.09839953482151031,0.12085065245628357,H,0.7807498574256897
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Newcastle,Aston Villa,0.5273882746696472,0.2540045976638794,0.21860717236995697,H,0.5273882746696472
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Man City,Ipswich,0.557090163230896,0.23996584117412567,0.20294398069381714,H,0.557090163230896
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Nott'm Forest,Arsenal,0.29723864793777466,0.26606976985931396,0.436691552400589,A,0.436691552400589
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Tottenham,Coventry,0.5080497860908508,0.2459748238325119,0.24597546458244324,H,0.5080497860908508
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-17,2026/27,Leeds,Man United,0.3624275028705597,0.21172559261322021,0.4258469045162201,A,0.4258469045162201
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Coventry,Fulham,0.3263677656650543,0.23778165876865387,0.4358505606651306,A,0.4358505606651306
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Crystal Palace,Newcastle,0.42207202315330505,0.23269423842430115,0.3452337682247162,H,0.42207202315330505
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Arsenal,Everton,0.4808081090450287,0.16314536333084106,0.35604655742645264,H,0.4808081090450287
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Aston Villa,Man City,0.1728518158197403,0.19917884469032288,0.6279693841934204,A,0.6279693841934204
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Chelsea,Tottenham,0.5007762312889099,0.27061477303504944,0.22860902547836304,H,0.5007762312889099
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Man United,Bournemouth,0.7024043798446655,0.10339850932359695,0.1941971331834793,H,0.7024043798446655
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Liverpool,Brighton,0.42249420285224915,0.20277883112430573,0.3747270107269287,H,0.42249420285224915
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Sunderland,Leeds,0.5402217507362366,0.16877828538417816,0.2909999489784241,H,0.5402217507362366
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Ipswich,Nott'm Forest,0.2582738995552063,0.27010592818260193,0.471620112657547,A,0.471620112657547
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-24,2026/27,Hull,Brentford,0.3697214424610138,0.19803842902183533,0.43224018812179565,A,0.43224018812179565
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Coventry,Sunderland,0.2830395996570587,0.18606719374656677,0.5308932662010193,A,0.5308932662010193
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Aston Villa,Fulham,0.259711354970932,0.22914442420005798,0.51114422082901,A,0.51114422082901
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Bournemouth,Leeds,0.562227189540863,0.17962798476219177,0.25814488530158997,H,0.562227189540863
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Brentford,Nott'm Forest,0.4850353002548218,0.22583657503128052,0.2891280949115753,H,0.4850353002548218
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Chelsea,Man United,0.43870776891708374,0.15997318923473358,0.40131905674934387,H,0.43870776891708374
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Liverpool,Arsenal,0.33752524852752686,0.27802905440330505,0.3844456672668457,A,0.3844456672668457
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Man City,Brighton,0.5655450224876404,0.1566452980041504,0.27780964970588684,H,0.5655450224876404
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Newcastle,Everton,0.292061984539032,0.19750571250915527,0.5104323029518127,A,0.5104323029518127
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Tottenham,Crystal Palace,0.47198453545570374,0.21221034228801727,0.3158051669597626,H,0.47198453545570374
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-10-31,2026/27,Hull,Ipswich,0.4848533272743225,0.2019777148962021,0.3131689727306366,H,0.4848533272743225
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Everton,Coventry,0.753173828125,0.1017172783613205,0.14510893821716309,H,0.753173828125
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Brighton,Brentford,0.6733775734901428,0.13037054240703583,0.19625185430049896,H,0.6733775734901428
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Fulham,Newcastle,0.5769089460372925,0.16979758441448212,0.2532934844493866,H,0.5769089460372925
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Arsenal,Hull,0.612765908241272,0.19710426032543182,0.19012987613677979,H,0.612765908241272
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Crystal Palace,Liverpool,0.2411968857049942,0.20202741026878357,0.5567757487297058,A,0.5567757487297058
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Nott'm Forest,Man City,0.35142776370048523,0.21927791833877563,0.4292943477630615,A,0.4292943477630615
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Man United,Aston Villa,0.8046056628227234,0.09895959496498108,0.09643477201461792,H,0.8046056628227234
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Leeds,Tottenham,0.4299914240837097,0.3006317913532257,0.2693767547607422,H,0.4299914240837097
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Ipswich,Bournemouth,0.25636330246925354,0.2584199607372284,0.48521676659584045,A,0.48521676659584045
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-07,2026/27,Sunderland,Chelsea,0.4887476861476898,0.17344407737255096,0.33780819177627563,H,0.4887476861476898
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Aston Villa,Sunderland,0.20254160463809967,0.20692214369773865,0.5905362367630005,A,0.5905362367630005
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Bournemouth,Nott'm Forest,0.3886072039604187,0.21517884731292725,0.39621397852897644,A,0.39621397852897644
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Brentford,Everton,0.47600048780441284,0.2075432538986206,0.31645625829696655,H,0.47600048780441284
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Chelsea,Leeds,0.5731935501098633,0.18995237350463867,0.23685409128665924,H,0.5731935501098633
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Liverpool,Man United,0.4253690242767334,0.18929967284202576,0.38533133268356323,H,0.4253690242767334
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Man City,Fulham,0.5186034440994263,0.28930482268333435,0.19209179282188416,H,0.5186034440994263
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Newcastle,Arsenal,0.18577684462070465,0.29006317257881165,0.5241599678993225,A,0.5241599678993225
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Tottenham,Ipswich,0.4240656793117523,0.2639710605144501,0.3119632303714752,H,0.4240656793117523
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Coventry,Crystal Palace,0.4177413582801819,0.25949668884277344,0.3227619528770447,H,0.4177413582801819
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-21,2026/27,Hull,Brighton,0.3057658076286316,0.26342126727104187,0.4308129549026489,A,0.4308129549026489
