feature,gain_importance
home_shots_on_target_avg_season,0.072255544
away_shots_on_target_avg_season,0.052518237
away_shots_avg_season,0.043280043
home_team_points_last_5,0.038716525
away_xg_diff,0.037694886
home_shots_avg_season,0.03758047
home_shots_avg_last10,0.034565877
home_xg_diff,0.03203441
away_xga_avg,0.03084329
elo_gap_bucket,0.03058179
elo_ratio,0.030498426
elo_difference,0.028064987
away_xg_avg,0.02719706
away_shots_avg_last10,0.027089132
away_elo,0.02674159
home_shots_on_target_avg_last5,0.026518833
away_team_points_last_5,0.024389755
home_elo,0.023748187
home_xga_avg,0.023236005
away_matches_last_14_days,0.023063522
home_shots_avg_last5,0.022920128
home_elo_trend,0.02269264
elo_recent_change,0.021541983
away_shots_avg_last5,0.021102758
home_had_midweek_match,0.021067193
home_shots_on_target_avg_last10,0.020979155
away_goals_scored_avg,0.02095506
away_elo_trend,0.020913228
away_shots_on_target_avg_last5,0.020432329
home_xg_avg,0.020415125
away_had_midweek_match,0.020313896
home_days_rest,0.019773135
away_days_rest,0.019763222
home_goals_scored_avg,0.01948059
away_shots_on_target_avg_last10,0.019127136
home_matches_last_14_days,0.017903835
rolling_elo_form,0.0
away_days_since_last_match,0.0
home_days_since_last_match,0.0
home_advantage,0.0
