feature,gain_importance
away_xg_diff,0.051685605
home_xg_avg,0.043037586
home_team_points_last_5,0.041928034
home_xg_diff,0.041064687
away_xg_avg,0.032379214
h2h_last_3_xg_diff,0.031089444
home_attacking_pressure_score_season,0.030929346
home_attacking_pressure_score_last10,0.030705735
away_attacking_pressure_score_season,0.030320425
h2h_home_wins,0.028845692
away_xga_avg,0.02792742
h2h_points_home_team,0.027199011
home_xga_avg,0.025765184
home_matches_last_14_days,0.025718894
away_attacking_pressure_score_last10,0.025680449
h2h_last_5_goal_diff,0.025649898
h2h_last_5_xg_diff,0.02552586
away_attacking_pressure_score_last5,0.025290035
home_goals_scored_avg,0.025107753
h2h_home_venue_xg_diff,0.024826063
home_had_midweek_match,0.023932353
h2h_draws,0.02384457
h2h_away_wins,0.023799397
away_team_points_last_5,0.02362424
away_days_rest,0.023504755
h2h_matches_count,0.023431625
away_matches_last_14_days,0.022932615
home_days_rest,0.02290409
h2h_last_3_goal_diff,0.022683827
away_goals_scored_avg,0.022683248
home_attacking_pressure_score_last5,0.022433277
h2h_last_5_points_home_team,0.022269767
h2h_last_3_points_home,0.021857552
h2h_home_venue_points,0.02061303
h2h_home_venue_goal_diff,0.020593667
h2h_points_away_team,0.019826202
away_had_midweek_match,0.018389402
h2h_data_strength_score,0.0
away_days_since_last_match,0.0
home_days_since_last_match,0.0
home_advantage,0.0
