feature,mean_abs_shap,feature_group
home_xg_diff,0.08860529,xG
away_xg_diff,0.0872518,xG
h2h_last_3_xg_diff,0.07271664,h2h_recent
home_team_points_last_5,0.06891331,baseline
home_xg_avg,0.060747202,xG
away_xg_avg,0.05922726,xG
home_attacking_pressure_score_last10,0.053468734,tactical_pressure
home_attacking_pressure_score_season,0.052183677,tactical_pressure
h2h_matches_count,0.05190394,h2h_core
h2h_last_5_xg_diff,0.046025895,h2h_recent
away_attacking_pressure_score_season,0.042806413,tactical_pressure
away_xga_avg,0.03898052,xG
home_xga_avg,0.03638022,xG
away_attacking_pressure_score_last5,0.023805708,tactical_pressure
away_goals_scored_avg,0.023794692,baseline
home_days_rest,0.023301398,fatigue
h2h_last_5_goal_diff,0.022643873,h2h_recent
home_goals_scored_avg,0.021664374,baseline
h2h_home_venue_xg_diff,0.021504521,h2h_venue
away_days_rest,0.021073952,fatigue
home_attacking_pressure_score_last5,0.020846924,tactical_pressure
away_matches_last_14_days,0.018861022,fatigue
h2h_points_home_team,0.018378532,h2h_core
away_attacking_pressure_score_last10,0.017417446,tactical_pressure
h2h_last_3_goal_diff,0.014367006,h2h_recent
h2h_points_away_team,0.01337032,h2h_core
h2h_draws,0.013150341,h2h_core
h2h_last_5_points_home_team,0.011199027,h2h_recent
h2h_home_venue_points,0.010831892,h2h_venue
h2h_last_3_points_home,0.008211662,h2h_recent
h2h_away_wins,0.007467555,h2h_core
away_team_points_last_5,0.0064159683,baseline
home_matches_last_14_days,0.006169273,fatigue
h2h_home_wins,0.0045485697,h2h_core
away_had_midweek_match,0.0042316634,fatigue
h2h_home_venue_goal_diff,0.0041426574,h2h_venue
home_had_midweek_match,0.0018330881,fatigue
away_days_since_last_match,0.0,baseline
h2h_data_strength_score,0.0,h2h_core
home_days_since_last_match,0.0,baseline
home_advantage,0.0,baseline
