feature,gain_importance
home_shots_on_target_avg_season,0.06142049
away_shots_on_target_avg_season,0.05554939
away_xg_diff,0.04239755
home_shots_avg_season,0.041986585
away_shots_avg_season,0.038243577
home_xg_diff,0.035420213
home_team_points_last_5,0.035128698
elo_ratio,0.033952698
away_shots_avg_last10,0.032814767
away_xga_avg,0.031543404
away_xg_avg,0.03148066
home_shots_avg_last10,0.030933743
home_shots_on_target_avg_last10,0.028612608
elo_difference,0.028295012
away_elo,0.026920203
home_elo,0.025635406
home_xga_avg,0.02489715
home_xg_avg,0.024759581
home_elo_trend,0.024082009
home_shots_on_target_avg_last5,0.023831416
away_team_points_last_5,0.02358601
home_days_rest,0.023447273
away_days_rest,0.022992773
away_matches_last_14_days,0.022613797
away_shots_avg_last5,0.021979388
elo_recent_change,0.021687295
away_goals_scored_avg,0.02165616
home_shots_avg_last5,0.021583643
away_elo_trend,0.021533446
home_matches_last_14_days,0.021002807
home_goals_scored_avg,0.02072232
away_shots_on_target_avg_last5,0.020305224
home_had_midweek_match,0.019841721
away_shots_on_target_avg_last10,0.01981987
away_had_midweek_match,0.019323105
away_suspended_players_count,0.0
away_suspended_expected_starters,0.0
away_suspended_missing_minutes,0.0
rolling_elo_form,0.0
away_suspended_missing_goals,0.0
home_suspended_missing_market_value,0.0
away_suspended_missing_xg,0.0
away_suspended_missing_xa,0.0
away_suspended_missing_market_value,0.0
home_suspended_missing_defensive_contribution,0.0
home_suspended_missing_minutes,0.0
home_suspended_missing_xa,0.0
home_suspended_missing_xg,0.0
home_suspended_missing_goals,0.0
home_suspended_expected_starters,0.0
home_suspended_players_count,0.0
home_advantage,0.0
home_days_since_last_match,0.0
away_days_since_last_match,0.0
elo_gap_bucket,0.0
away_suspended_missing_defensive_contribution,0.0
