feature,mean_abs_shap,feature_group
home_shots_avg_season,0.07848286,baseline
away_shots_on_target_avg_season,0.07077705,baseline
home_shots_on_target_avg_season,0.0598858,baseline
away_xga_avg,0.057926312,baseline
home_xg_diff,0.050705563,baseline
away_xg_diff,0.03781082,baseline
home_xga_avg,0.036633704,baseline
away_elo,0.03567681,baseline
home_team_points_last_5,0.035197236,baseline
home_elo,0.03407296,baseline
elo_difference,0.03361246,baseline
away_shots_avg_season,0.03301282,baseline
elo_recent_change,0.032777242,baseline
away_goals_scored_avg,0.032159895,baseline
away_shots_avg_last10,0.031616066,baseline
away_missing_minutes,0.029377295,injury
away_xg_avg,0.026239889,baseline
home_missing_minutes,0.02528829,injury
elo_ratio,0.023822986,baseline
home_elo_trend,0.020759847,baseline
away_days_rest,0.020746997,baseline
away_injured_starters_count,0.020727076,injury
home_days_rest,0.020594077,baseline
home_xg_avg,0.016937325,baseline
away_matches_last_14_days,0.015928758,baseline
home_goals_scored_avg,0.014727613,baseline
home_shots_avg_last10,0.011560177,baseline
away_elo_trend,0.011136799,baseline
home_injured_players_count,0.010741661,injury
home_shots_on_target_avg_last10,0.010000928,baseline
away_shots_avg_last5,0.00880504,baseline
away_shots_on_target_avg_last10,0.008794911,baseline
home_shots_avg_last5,0.008439261,baseline
home_shots_on_target_avg_last5,0.0074706334,baseline
away_team_points_last_5,0.006431158,baseline
away_shots_on_target_avg_last5,0.005326369,baseline
away_injured_players_count,0.0047592423,injury
home_injured_starters_count,0.0046255626,injury
home_matches_last_14_days,0.0022597308,baseline
away_had_midweek_match,0.0007393009,baseline
home_had_midweek_match,0.00065475225,baseline
home_advantage,0.0,baseline
away_days_since_last_match,0.0,baseline
away_missing_market_value,0.0,injury
away_missing_xa,0.0,injury
away_missing_xg_contribution,0.0,injury
away_missing_xg,0.0,injury
away_missing_goals,0.0,injury
away_missing_minutes_played,0.0,injury
home_days_since_last_match,0.0,baseline
away_suspended_expected_starters,0.0,injury
away_suspended_players_count,0.0,injury
away_injured_expected_starters,0.0,injury
elo_gap_bucket,0.0,baseline
home_injured_expected_starters,0.0,injury
home_missing_defensive_contribution,0.0,injury
home_missing_market_value,0.0,injury
home_missing_xa,0.0,injury
home_missing_xg_contribution,0.0,injury
home_missing_xg,0.0,injury
home_missing_goals,0.0,injury
home_missing_minutes_played,0.0,injury
rolling_elo_form,0.0,baseline
home_suspended_expected_starters,0.0,injury
home_suspended_players_count,0.0,injury
away_missing_defensive_contribution,0.0,injury
