feature,gain_importance
away_xg_diff,0.084475175
home_xg_diff,0.08004377
home_xg_avg,0.074929714
home_team_points_last_5,0.070473514
away_xg_avg,0.06136183
away_xga_avg,0.05631908
away_fixture_congestion_score,0.05569995
home_fixture_congestion_score,0.05324842
home_matches_last_14_days,0.05308043
home_xga_avg,0.05236206
away_days_rest,0.046564776
home_days_rest,0.046230137
away_team_points_last_5,0.04617089
home_matches_last_30_days,0.0458363
home_goals_scored_avg,0.04483744
away_goals_scored_avg,0.044620365
away_matches_last_30_days,0.043860197
away_matches_last_14_days,0.039885998
away_same_attack,0.0
home_same_midfield,0.0
home_starting_xi_repeat_pct,0.0
home_same_attack,0.0
home_same_back_four,0.0
home_starters_from_last_win,0.0
home_lineup_similarity_last_win,0.0
home_lineup_changes,0.0
home_days_since_last_win,0.0
away_starting_xi_repeat_count,0.0
away_starting_xi_repeat_pct,0.0
away_lineup_changes,0.0
away_same_back_four,0.0
away_same_midfield,0.0
away_shared_minutes_score,0.0
away_starters_from_last_win,0.0
away_lineup_similarity_last_win,0.0
away_days_since_last_win,0.0
home_shared_starts_score,0.0
home_shared_minutes_score,0.0
home_lineup_familiarity_score,0.0
away_shared_starts_score,0.0
away_injury_severity_score,0.0
away_lineup_familiarity_score,0.0
home_manager_stability_score,0.0
home_lineup_rotation_rate,0.0
home_squad_consistency_score,0.0
away_manager_stability_score,0.0
away_lineup_rotation_rate,0.0
home_starting_xi_repeat_count,0.0
away_missing_goals,0.0
away_lineup_strength_score,0.0
away_availability_score,0.0
home_advantage,0.0
home_had_midweek_match,0.0
home_days_since_last_match,0.0
away_had_midweek_match,0.0
away_days_since_last_match,0.0
home_played_europe_midweek,0.0
home_days_since_europe_match,0.0
home_european_fixture_load,0.0
away_played_europe_midweek,0.0
away_days_since_europe_match,0.0
away_european_fixture_load,0.0
home_injured_players_count,0.0
home_injured_starters_count,0.0
home_missing_minutes,0.0
home_missing_goals,0.0
home_missing_xg,0.0
home_missing_xa,0.0
home_missing_market_value,0.0
away_injured_players_count,0.0
away_injured_starters_count,0.0
away_missing_minutes,0.0
away_missing_xg,0.0
away_missing_xa,0.0
away_missing_market_value,0.0
home_availability_score,0.0
home_lineup_strength_score,0.0
home_injury_severity_score,0.0
away_squad_consistency_score,0.0
