feature,mean_abs_shap,feature_group
home_xg_diff,0.11054925,xG
away_xg_diff,0.09875653,xG
away_xg_avg,0.08410382,xG
home_xg_avg,0.07198138,xG
home_team_points_last_5,0.069727965,baseline
away_xga_avg,0.061746024,xG
home_xga_avg,0.059203822,xG
away_goals_scored_avg,0.03866392,baseline
home_goals_scored_avg,0.037838016,baseline
away_days_rest,0.035244398,fatigue
away_fixture_congestion_score,0.031909063,fatigue
home_fixture_congestion_score,0.02668407,fatigue
home_matches_last_30_days,0.015683383,fatigue
away_team_points_last_5,0.013337729,baseline
away_matches_last_14_days,0.012927512,fatigue
home_matches_last_14_days,0.008169276,fatigue
home_days_rest,0.008065311,fatigue
away_matches_last_30_days,0.0037801773,fatigue
home_lineup_changes,0.0,continuity
away_same_back_four,0.0,continuity
away_lineup_changes,0.0,continuity
away_starting_xi_repeat_pct,0.0,continuity
away_starting_xi_repeat_count,0.0,continuity
home_days_since_last_win,0.0,last_win
home_starting_xi_repeat_pct,0.0,continuity
home_lineup_similarity_last_win,0.0,last_win
home_starters_from_last_win,0.0,last_win
home_same_attack,0.0,continuity
home_same_midfield,0.0,continuity
away_same_attack,0.0,continuity
home_same_back_four,0.0,continuity
away_same_midfield,0.0,continuity
away_shared_minutes_score,0.0,familiarity
away_starters_from_last_win,0.0,last_win
away_lineup_similarity_last_win,0.0,last_win
away_days_since_last_win,0.0,last_win
home_shared_starts_score,0.0,familiarity
home_shared_minutes_score,0.0,familiarity
home_lineup_familiarity_score,0.0,familiarity
away_shared_starts_score,0.0,familiarity
away_injury_severity_score,0.0,baseline
away_lineup_familiarity_score,0.0,familiarity
home_manager_stability_score,0.0,stability
home_lineup_rotation_rate,0.0,stability
home_squad_consistency_score,0.0,stability
away_manager_stability_score,0.0,stability
away_lineup_rotation_rate,0.0,stability
home_starting_xi_repeat_count,0.0,continuity
away_missing_goals,0.0,availability
away_lineup_strength_score,0.0,continuity
away_availability_score,0.0,availability
home_advantage,0.0,baseline
home_had_midweek_match,0.0,fatigue
home_days_since_last_match,0.0,baseline
away_had_midweek_match,0.0,fatigue
away_days_since_last_match,0.0,baseline
home_played_europe_midweek,0.0,fatigue
home_days_since_europe_match,0.0,baseline
home_european_fixture_load,0.0,baseline
away_played_europe_midweek,0.0,fatigue
away_days_since_europe_match,0.0,baseline
away_european_fixture_load,0.0,baseline
home_injured_players_count,0.0,availability
home_injured_starters_count,0.0,availability
home_missing_minutes,0.0,availability
home_missing_goals,0.0,availability
home_missing_xg,0.0,xG
home_missing_xa,0.0,availability
home_missing_market_value,0.0,availability
away_injured_players_count,0.0,availability
away_injured_starters_count,0.0,availability
away_missing_minutes,0.0,availability
away_missing_xg,0.0,xG
away_missing_xa,0.0,availability
away_missing_market_value,0.0,availability
home_availability_score,0.0,availability
home_lineup_strength_score,0.0,continuity
home_injury_severity_score,0.0,baseline
away_squad_consistency_score,0.0,stability
