feature,gain_importance
away_xg_diff,0.07518274
home_xg_avg,0.066107854
home_xg_diff,0.06477843
home_team_points_last_5,0.06116799
home_had_midweek_match,0.05487096
away_attacking_pressure_score_season,0.048549794
away_xg_avg,0.047820825
home_attacking_pressure_score_last10,0.0468661
home_attacking_pressure_score_season,0.044909168
away_xga_avg,0.044045985
away_attacking_pressure_score_last10,0.0394629
home_goals_scored_avg,0.039445996
home_matches_last_14_days,0.03923615
home_xga_avg,0.038850054
home_days_rest,0.038653355
away_days_rest,0.036867343
home_attacking_pressure_score_last5,0.036852736
away_matches_last_14_days,0.036246173
away_team_points_last_5,0.035957266
away_goals_scored_avg,0.03594369
away_attacking_pressure_score_last5,0.03506204
away_had_midweek_match,0.033122443
away_shared_starts_score,0.0
away_starters_from_last_win,0.0
away_lineup_similarity_last_win,0.0
away_days_since_last_win,0.0
home_shared_starts_score,0.0
home_shared_minutes_score,0.0
home_lineup_familiarity_score,0.0
away_manager_stability_score,0.0
away_shared_minutes_score,0.0
away_lineup_familiarity_score,0.0
home_squad_consistency_score,0.0
home_manager_stability_score,0.0
home_lineup_rotation_rate,0.0
away_lineup_rotation_rate,0.0
away_same_midfield,0.0
away_same_attack,0.0
home_lineup_changes,0.0
away_same_back_four,0.0
away_lineup_changes,0.0
away_starting_xi_repeat_pct,0.0
away_starting_xi_repeat_count,0.0
home_days_since_last_win,0.0
home_lineup_similarity_last_win,0.0
home_starters_from_last_win,0.0
home_same_attack,0.0
home_same_midfield,0.0
home_same_back_four,0.0
home_starting_xi_repeat_pct,0.0
home_starting_xi_repeat_count,0.0
away_days_since_last_match,0.0
home_days_since_last_match,0.0
home_advantage,0.0
away_squad_consistency_score,0.0
