feature,mean_abs_shap,feature_group
home_xg_diff,0.10185484,production
away_xg_diff,0.09240087,production
home_attacking_pressure_score_last10,0.073645845,production
away_xg_avg,0.07020161,production
home_team_points_last_5,0.06622592,production
home_xg_avg,0.059577063,production
away_attacking_pressure_score_season,0.05637466,production
home_attacking_pressure_score_season,0.056109488,production
away_xga_avg,0.049184583,production
home_xga_avg,0.04734077,production
away_goals_scored_avg,0.030386562,production
away_attacking_pressure_score_last5,0.029844899,production
home_attacking_pressure_score_last5,0.029683657,production
home_days_rest,0.027084677,production
home_goals_scored_avg,0.024354516,production
away_matches_last_14_days,0.023890499,production
away_days_rest,0.021938592,production
away_attacking_pressure_score_last10,0.02112522,production
away_had_midweek_match,0.009422733,production
away_team_points_last_5,0.008016904,production
home_matches_last_14_days,0.008007005,production
home_had_midweek_match,0.00019714361,production
away_shared_starts_score,0.0,familiarity
away_starters_from_last_win,0.0,production
away_lineup_similarity_last_win,0.0,continuity
away_days_since_last_win,0.0,production
home_shared_starts_score,0.0,familiarity
home_shared_minutes_score,0.0,familiarity
home_lineup_familiarity_score,0.0,familiarity
home_lineup_rotation_rate,0.0,stability
away_shared_minutes_score,0.0,familiarity
away_lineup_familiarity_score,0.0,familiarity
home_manager_stability_score,0.0,stability
away_lineup_rotation_rate,0.0,stability
away_same_midfield,0.0,continuity
home_squad_consistency_score,0.0,stability
away_manager_stability_score,0.0,stability
away_same_attack,0.0,continuity
home_lineup_changes,0.0,continuity
away_same_back_four,0.0,continuity
away_lineup_changes,0.0,continuity
away_starting_xi_repeat_pct,0.0,continuity
away_starting_xi_repeat_count,0.0,continuity
home_days_since_last_win,0.0,production
home_lineup_similarity_last_win,0.0,continuity
home_starters_from_last_win,0.0,production
home_same_attack,0.0,continuity
home_same_midfield,0.0,continuity
home_same_back_four,0.0,continuity
home_starting_xi_repeat_pct,0.0,continuity
home_starting_xi_repeat_count,0.0,continuity
away_days_since_last_match,0.0,production
home_days_since_last_match,0.0,production
home_advantage,0.0,production
away_squad_consistency_score,0.0,stability
