feature,mean_abs_shap,feature_group
home_shots_avg_season,0.07855711,production
away_shots_on_target_avg_season,0.062994294,production
away_xga_avg,0.05968814,production
home_shots_on_target_avg_season,0.05514704,production
away_manager_tenure_days,0.048327036,manager_continuity
home_xg_diff,0.043460235,production
away_xg_diff,0.03939616,production
home_team_points_last_5,0.034698848,production
elo_difference,0.033103265,production
away_shots_avg_last10,0.03204677,production
away_shots_avg_season,0.031921994,production
away_elo,0.030963806,production
away_goals_scored_avg,0.030042054,production
home_elo,0.029893957,production
home_attacking_pressure_score_season,0.02752113,production
home_xga_avg,0.027498245,production
elo_recent_change,0.02719132,production
away_xg_avg,0.025564274,production
away_attacking_pressure_score_season,0.023007143,production
home_days_rest,0.020626774,production
home_elo_trend,0.019232115,production
away_days_rest,0.01682397,production
home_attacking_pressure_score_last5,0.016148964,production
elo_ratio,0.015326253,production
away_attacking_pressure_score_last5,0.014469758,production
away_attacking_pressure_score_last10,0.013272917,production
home_xg_avg,0.012649689,production
home_shots_avg_last10,0.0124829905,production
home_goals_scored_avg,0.012122055,production
away_matches_last_14_days,0.011638694,production
home_manager_elo_change_since_appointment,0.010870986,manager_performance
home_shots_on_target_avg_last10,0.009379307,production
away_elo_trend,0.008989026,production
home_shots_avg_last5,0.008806764,production
manager_ppg_gap,0.008634708,manager_performance
home_manager_team_form_since_appointment,0.008139003,manager_performance
away_shots_on_target_avg_last10,0.0076174457,production
home_attacking_pressure_score_last10,0.0074848444,production
away_shots_avg_last5,0.006254526,production
home_shots_on_target_avg_last5,0.00619514,production
manager_continuity_gap,0.006021675,manager_continuity
home_manager_points_per_game_before_match,0.0059556593,manager_change
away_team_points_last_5,0.0052340063,production
home_manager_xg_diff_before_match,0.004985176,manager_performance
home_manager_matches_in_charge,0.004858236,manager_continuity
home_matches_last_14_days,0.00461994,production
home_manager_tenure_days,0.004214049,manager_continuity
manager_experience_gap,0.003630301,manager_continuity
away_shots_on_target_avg_last5,0.0035774338,production
away_manager_points_per_game_before_match,0.0029462075,manager_change
manager_xg_diff_gap,0.0028651918,manager_performance
away_manager_xg_diff_before_match,0.0027960334,manager_performance
away_manager_matches_in_charge,0.0021892793,manager_continuity
away_manager_elo_change_since_appointment,0.0010013817,manager_performance
elo_gap_bucket,0.0005761151,production
home_had_midweek_match,0.0005549649,production
away_manager_team_form_since_appointment,0.0005387017,manager_performance
home_manager_change_last_30d,0.00037138571,manager_change
away_had_midweek_match,0.00030676927,production
home_manager_change_last_60d,9.316621e-05,manager_change
away_new_manager_first_10_matches,6.687211e-05,manager_change
away_days_since_last_match,0.0,production
rolling_elo_form,0.0,production
home_advantage,0.0,production
home_days_since_last_match,0.0,production
home_new_manager_first_10_matches,0.0,manager_change
home_caretaker_manager,0.0,manager_change
away_manager_tenure_bucket,0.0,manager_continuity
home_manager_data_available,0.0,manager_change
home_manager_tenure_bucket,0.0,manager_continuity
away_caretaker_manager,0.0,manager_change
away_new_manager_first_5_matches,0.0,manager_change
away_manager_change_last_60d,0.0,manager_change
away_manager_change_last_30d,0.0,manager_change
home_new_manager_first_5_matches,0.0,manager_change
away_manager_data_available,0.0,manager_change
