feature,gain_importance
away_xg_diff,0.051774506
home_xg_diff,0.048686538
elo_ratio,0.03965626
home_team_points_last_5,0.035355017
home_xg_avg,0.03448442
away_xg_avg,0.03442729
away_xga_avg,0.029932443
elo_difference,0.027819479
home_manager_xg_diff_before_match,0.026160434
home_manager_matches_in_charge,0.025073064
home_elo,0.024196494
home_manager_team_form_since_appointment,0.023675757
home_xga_avg,0.023414074
elo_recent_change,0.023406746
away_manager_elo_change_since_appointment,0.022810457
away_elo,0.02279054
home_had_midweek_match,0.022567118
home_goals_scored_avg,0.022491796
away_attacking_pressure_score_season,0.022094537
away_attacking_pressure_score_last10,0.021743141
home_attacking_pressure_score_season,0.021486748
away_days_rest,0.021257415
home_days_rest,0.020832242
home_elo_trend,0.020771148
away_goals_scored_avg,0.020569958
home_attacking_pressure_score_last5,0.020464377
away_attacking_pressure_score_last5,0.020340316
home_attacking_pressure_score_last10,0.02012924
away_elo_trend,0.019788513
manager_xg_diff_gap,0.0196808
away_matches_last_14_days,0.019426612
manager_ppg_gap,0.019192593
away_team_points_last_5,0.018862555
away_manager_tenure_days,0.018263914
home_manager_tenure_days,0.01793968
manager_continuity_gap,0.01769844
away_manager_xg_diff_before_match,0.017563345
home_manager_elo_change_since_appointment,0.017463503
home_matches_last_14_days,0.016877193
away_had_midweek_match,0.016544167
away_manager_points_per_game_before_match,0.015770042
home_manager_points_per_game_before_match,0.013972428
away_manager_team_form_since_appointment,0.0025446806
home_manager_data_available,0.0
home_advantage,0.0
manager_experience_gap,0.0
away_manager_data_available,0.0
away_manager_tenure_bucket,0.0
away_days_since_last_match,0.0
home_manager_tenure_bucket,0.0
away_caretaker_manager,0.0
away_new_manager_first_10_matches,0.0
away_new_manager_first_5_matches,0.0
away_manager_change_last_60d,0.0
away_manager_change_last_30d,0.0
home_days_since_last_match,0.0
home_caretaker_manager,0.0
home_new_manager_first_10_matches,0.0
home_new_manager_first_5_matches,0.0
home_manager_change_last_60d,0.0
home_manager_change_last_30d,0.0
rolling_elo_form,0.0
elo_gap_bucket,0.0
away_manager_matches_in_charge,0.0
