feature,permutation_importance_log_loss,permutation_importance_std
away_manager_tenure_days,0.0050169994122652994,0.002320912344720183
away_manager_elo_change_since_appointment,0.0006852785465988109,0.00014774831140151027
home_manager_xg_diff_before_match,0.0005067936561259145,0.00044815139803706006
away_manager_xg_diff_before_match,0.0003557422207609573,0.0006315028785335269
home_manager_matches_in_charge,6.878994915422431e-05,0.00031881780815316407
away_manager_team_form_since_appointment,5.585548561000131e-05,4.946418382166285e-05
home_new_manager_first_5_matches,0.0,0.0
away_manager_change_last_30d,0.0,0.0
home_new_manager_first_10_matches,0.0,0.0
home_caretaker_manager,0.0,0.0
away_caretaker_manager,0.0,0.0
away_manager_change_last_60d,0.0,0.0
away_new_manager_first_5_matches,0.0,0.0
away_new_manager_first_10_matches,0.0,0.0
home_manager_tenure_bucket,0.0,0.0
home_manager_data_available,0.0,0.0
away_manager_tenure_bucket,0.0,0.0
away_manager_data_available,0.0,0.0
manager_xg_diff_gap,-4.715430378698926e-06,0.0003572270304506005
away_manager_matches_in_charge,-1.975522988009182e-05,0.00022175091307953586
home_manager_change_last_30d,-2.0545014218109614e-05,4.071028547325898e-05
home_manager_change_last_60d,-4.490888596921927e-05,4.485949909666709e-05
home_manager_points_per_game_before_match,-5.434409469033952e-05,0.0003694172046845055
manager_ppg_gap,-6.830825878423319e-05,0.000748614909977085
manager_experience_gap,-0.00013931850051909222,0.00015221211407474614
home_manager_elo_change_since_appointment,-0.00014854145446161482,0.0005140268525766812
manager_continuity_gap,-0.0003070107312986181,0.0004383493408756366
away_manager_points_per_game_before_match,-0.0004162866084763461,0.00024320134645056086
home_manager_tenure_days,-0.0009526768457799762,0.0003807708051358372
home_manager_team_form_since_appointment,-0.0015085010732459824,0.0006992433090757314
