Season,Date,HomeTeam,AwayTeam,FTR,odds_source,market_mode,match,actual,model_pick,market_pick,model_confidence,market_confidence,model_market_disagree,model_home_prob,market_home_prob,model_vs_market_home_edge,model_draw_prob,market_draw_prob,model_vs_market_draw_edge,model_away_prob,market_away_prob,model_vs_market_away_edge,max_abs_edge,model_correct,market_correct,model_log_loss,market_log_loss,log_loss_difference_model_minus_market,edge_correct
2425,2024-11-23,Arsenal,Nott'm Forest,H,average closing odds,benchmark,Arsenal vs Nott'm Forest,home_win,away_win,home_win,0.59436816,0.6830125728555273,True,0.25031063,0.6830125728555273,-0.43270194324928035,0.1553212,0.20274689004764074,-0.047425694326014456,0.59436816,0.11424053709683198,0.4801276226741336,0.4801276226741336,False,True,1.3850526,0.3812420113003567,1.003810550459592,False
2425,2024-12-04,Man City,Nott'm Forest,H,average closing odds,benchmark,Man City vs Nott'm Forest,home_win,away_win,home_win,0.552123,0.7270769842321452,True,0.24700913,0.7270769842321452,-0.4800678559000071,0.20086785,0.17016695375645952,0.03070089285170241,0.552123,0.10275606201139525,0.44936694814714356,0.4800678559000071,False,True,1.39833,0.3187229140258032,1.079607059195022,False
2425,2024-11-23,Leicester,Chelsea,A,average closing odds,benchmark,Leicester vs Chelsea,away_win,home_win,away_win,0.5777072,0.6625027980325622,True,0.5777072,0.1390201240444595,0.438687047395665,0.15883358,0.19847707792297833,-0.039643499694027834,0.26345924,0.6625027980325622,-0.3990435626027984,0.438687047395665,False,True,1.3338566,0.4117304976853016,0.9221260849563,False
2425,2024-11-30,West Ham,Arsenal,A,average closing odds,benchmark,West Ham vs Arsenal,away_win,home_win,away_win,0.48231757,0.6681624896158529,True,0.48231757,0.1305500658136809,0.3517675010579622,0.26759642,0.20128744457046616,0.06630897905547989,0.250086,0.6681624896158529,-0.418076480113442,0.418076480113442,False,True,1.3859503,0.4032238870975483,0.9827264398220074,False
2324,2024-04-07,Tottenham,Nott'm Forest,H,average closing odds,benchmark,Tottenham vs Nott'm Forest,home_win,draw,home_win,0.5031294,0.6708250831520732,True,0.29192048,0.6708250831520732,-0.378904600039738,0.5031294,0.18271997502999324,0.32040944763464907,0.20495018,0.14645494181793353,0.05849524181205609,0.378904600039738,False,True,1.2312739,0.39924685684000166,0.8320270327016244,False
2324,2024-04-24,Man United,Sheffield United,H,average closing odds,benchmark,Man United vs Sheffield United,home_win,draw,home_win,0.46774516,0.7304812607376927,True,0.35824326,0.7304812607376927,-0.37223800393036544,0.46774516,0.1555984474091671,0.312146707686887,0.17401163,0.11392029185314018,0.06009134094696206,0.37223800393036544,False,True,1.026543,0.31405170077244693,0.7124913204296405,False
2425,2024-08-24,Southampton,Nott'm Forest,A,average closing odds,benchmark,Southampton vs Nott'm Forest,away_win,away_win,home_win,0.66954833,0.4074188181650133,True,0.21254517,0.4074188181650133,-0.19487364678497027,0.11790651,0.2762955203647791,-0.15838900953485358,0.66954833,0.3162856614702077,0.3532626712209849,0.3532626712209849,True,False,0.40115193,1.1511094817555787,-0.749957556430185,True
2425,2025-01-14,Chelsea,Bournemouth,D,average closing odds,benchmark,Chelsea vs Bournemouth,draw,away_win,home_win,0.46801582,0.6272076804637261,True,0.2764371,0.6272076804637261,-0.35077057671540457,0.25554708,0.20070645774839233,0.054840618715307016,0.46801582,0.17208586178788152,0.2959299580000976,0.35077057671540457,False,False,1.3643486,1.6059118475719627,-0.241563197593325,False
2425,2025-02-26,Nott'm Forest,Arsenal,D,average closing odds,benchmark,Nott'm Forest vs Arsenal,draw,home_win,away_win,0.57199794,0.4948173615843921,True,0.57199794,0.22693751335076134,0.3450604271895524,0.14485279,0.27824512506484655,-0.1333923378086057,0.28314924,0.4948173615843921,-0.21166811918326905,0.3450604271895524,False,False,1.9320374,1.2792528089625415,0.6527845445530835,False
2324,2024-04-13,Bournemouth,Man United,D,average closing odds,benchmark,Bournemouth vs Man United,draw,home_win,home_win,0.7460091,0.4025871972279495,False,0.7460091,0.4025871972279495,0.34342191417646944,0.13265839,0.24236357717249354,-0.10970518498156032,0.12133246,0.35504922559955693,-0.23371676644781209,0.34342191417646944,False,False,2.019978,1.4173162952664038,0.6026617511508325,False
2425,2024-12-21,Aston Villa,Man City,H,average closing odds,benchmark,Aston Villa vs Man City,home_win,home_win,away_win,0.6400382,0.43712392327752625,True,0.6400382,0.29915668499305703,0.34088150727912925,0.16569893,0.26371939172941666,-0.09802046110826951,0.19426285,0.43712392327752625,-0.24286107597318207,0.34088150727912925,True,False,0.44622743,1.206787812770149,-0.7605603814728468,True
