feature,gain_importance
model_vs_market_draw_edge,0.08219432
market_home_prob,0.064814776
model_vs_market_home_edge,0.058573548
market_away_prob,0.056880753
model_vs_market_away_edge,0.05344089
market_draw_prob,0.030664591
market_favorite_prob,0.029551413
market_favorite_class,0.023377882
home_xg_diff,0.02031657
elo_ratio,0.019248266
home_shots_avg_last5,0.018514518
away_xg_avg,0.01850765
home_shots_on_target_avg_season,0.018498715
away_shots_avg_last10,0.018288372
away_attacking_pressure_score_season,0.018262504
away_goals_scored_avg,0.018202713
home_attacking_pressure_score_last5,0.018168239
away_xg_diff,0.018062994
away_shots_avg_last5,0.017699134
elo_difference,0.017562501
away_elo_trend,0.017544746
away_shots_avg_season,0.016908044
home_attacking_pressure_score_season,0.016712414
home_elo,0.016325077
away_attacking_pressure_score_last10,0.016242549
home_xg_avg,0.016194856
home_attacking_pressure_score_last10,0.016127527
home_goals_scored_avg,0.015859209
home_shots_avg_last10,0.015841128
away_shots_on_target_avg_last5,0.015397318
away_shots_on_target_avg_last10,0.015177102
away_elo,0.015082989
away_matches_last_14_days,0.01444393
home_xga_avg,0.014218367
away_attacking_pressure_score_last5,0.013997932
home_team_points_last_5,0.013734834
away_shots_on_target_avg_season,0.013576548
home_days_rest,0.013440394
elo_recent_change,0.013241539
home_shots_on_target_avg_last10,0.012954763
home_elo_trend,0.012400641
home_shots_on_target_avg_last5,0.012379732
away_xga_avg,0.012348597
away_team_points_last_5,0.012240507
market_margin,0.011990699
home_shots_avg_season,0.011886847
away_days_rest,0.0029013501
home_advantage,0.0
home_days_since_last_match,0.0
home_matches_last_14_days,0.0
home_had_midweek_match,0.0
away_had_midweek_match,0.0
away_days_since_last_match,0.0
elo_gap_bucket,0.0
rolling_elo_form,0.0
