feature,mean_abs_shap,feature_group
model_vs_market_draw_edge,0.4589377,edge
market_home_prob,0.28085235,market
model_vs_market_away_edge,0.21072723,edge
market_away_prob,0.19233723,market
model_vs_market_home_edge,0.16142689,edge
market_draw_prob,0.1183276,market
away_xg_diff,0.08507757,production
home_xg_diff,0.07257888,production
market_favorite_prob,0.055023678,market
home_attacking_pressure_score_season,0.051947493,production
home_xga_avg,0.03967054,production
market_favorite_class,0.036915846,market
home_xg_avg,0.035869617,production
away_xg_avg,0.035559073,production
home_attacking_pressure_score_last5,0.03323457,production
home_goals_scored_avg,0.030900385,production
away_attacking_pressure_score_last10,0.028751539,production
away_attacking_pressure_score_season,0.026177624,production
home_attacking_pressure_score_last10,0.02617365,production
away_days_rest,0.016960585,production
away_xga_avg,0.0135063045,production
market_margin,0.012226257,market
away_attacking_pressure_score_last5,0.0118476935,production
home_team_points_last_5,0.011204191,production
away_goals_scored_avg,0.008411268,production
home_days_rest,0.007078937,production
away_matches_last_14_days,0.0070562675,production
away_team_points_last_5,0.0032882744,production
home_matches_last_14_days,0.002810008,production
home_had_midweek_match,0.00016830431,production
away_days_since_last_match,0.0,production
away_had_midweek_match,0.0,production
home_advantage,0.0,production
home_days_since_last_match,0.0,production
