,count,mean,std,min,25%,50%,75%,max
home_any_matches_last_14_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_any_matches_last_14_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_days_since_any_match,2660.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0
away_days_since_any_match,2660.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0
home_preseason_matches_last_60_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_preseason_matches_last_60_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_competitive_non_pl_matches_last_30_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_competitive_non_pl_matches_last_30_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_europe_qualifier_last_7_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_europe_qualifier_last_7_days,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_non_pl_points_equiv_last5,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_non_pl_points_equiv_last5,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_non_pl_goals_equiv_avg_last5,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_non_pl_goals_equiv_avg_last5,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_non_pl_shots_equiv_avg_last5,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_non_pl_shots_equiv_avg_last5,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_non_pl_context_available,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_non_pl_context_available,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
