feature,gain_importance
home_shots_avg_last10,0.045357883
away_shots_on_target_avg_season,0.04030093
home_shots_on_target_avg_season,0.03662276
away_xg_diff,0.033672187
home_shots_on_target_avg_last10,0.027414322
home_shots_avg_season,0.02664044
home_xg_diff,0.026419686
home_team_points_last_5,0.026417423
away_shots_avg_last10,0.025220944
away_shots_avg_season,0.023737576
away_xga_avg,0.022046633
away_xg_avg,0.021246597
elo_ratio,0.019508295
elo_difference,0.019347718
home_xg_avg,0.018641762
home_xga_avg,0.017574154
away_elo,0.017545817
home_xg_defense_rating_last10,0.017518748
home_shots_on_target_avg_last5,0.016855633
home_xg_defense_rating_season,0.016784
home_xg_attack_rating_season,0.016733715
away_xg_defense_rating_last10,0.01660196
home_had_midweek_match,0.016448291
away_xg_defense_rating,0.016260378
home_shots_avg_last5,0.016242692
home_xg_defense_rating_last5,0.01599632
home_xg_attack_rating_last5,0.015795318
home_elo_trend,0.015661864
away_xg_attack_rating_last5,0.015522927
home_elo,0.015518449
away_elo_trend,0.0154994065
away_xg_defense_rating_season,0.01538368
away_attack_vs_home_defense,0.015186959
away_shots_on_target_avg_last10,0.015172774
away_xg_attack_rating,0.015125708
away_xg_defense_rating_last5,0.0150400195
home_xg_defense_rating,0.014936075
away_shots_avg_last5,0.01493506
away_shots_on_target_avg_last5,0.0148681635
home_attack_vs_away_defense,0.014743873
elo_recent_change,0.014428347
attack_defense_matchup_score,0.014356612
away_xg_attack_rating_season,0.014076908
away_days_rest,0.014072322
away_had_midweek_match,0.013953752
home_matches_last_14_days,0.013844406
home_days_rest,0.0137106115
away_team_points_last_5,0.0136999525
home_goals_scored_avg,0.013687675
home_xg_attack_rating_last10,0.013559249
away_goals_scored_avg,0.013296637
away_xg_attack_rating_last10,0.013004075
home_xg_attack_rating,0.012005488
away_matches_last_14_days,0.011756821
home_days_since_last_match,0.0
elo_gap_bucket,0.0
rolling_elo_form,0.0
home_advantage,0.0
away_days_since_last_match,0.0
