feature,gain_importance
home_shots_avg_last10,0.0433836
away_shots_on_target_avg_season,0.04253451
home_shots_on_target_avg_season,0.03776052
away_shots_avg_last10,0.030207481
home_shots_avg_season,0.029509367
home_shots_on_target_avg_last10,0.02870829
home_team_points_last_5,0.027494723
away_xg_avg,0.026549093
away_shots_avg_season,0.02576818
away_xga_avg,0.025144445
home_xg_avg,0.024767496
elo_ratio,0.022708468
elo_difference,0.021601552
home_xga_avg,0.019198721
away_elo,0.019050337
home_shots_on_target_avg_last5,0.019027516
home_xg_defense_rating_last5,0.018313447
home_xg_defense_rating_season,0.018114088
away_xg_defense_rating,0.017880164
away_xg_defense_rating_last10,0.017690111
home_xg_attack_rating_season,0.017466165
away_elo_trend,0.017125685
home_shots_avg_last5,0.017050304
home_elo_trend,0.017020278
home_xg_defense_rating,0.016876156
away_xg_attack_rating,0.016787162
home_xg_defense_rating_last10,0.016756488
away_xg_defense_rating_last5,0.016511708
away_xg_defense_rating_season,0.016318517
home_elo,0.016230702
attack_defense_matchup_score,0.01617171
elo_recent_change,0.016027413
away_attack_vs_home_defense,0.015880765
home_xg_attack_rating_last5,0.015803488
away_shots_on_target_avg_last5,0.015730321
home_matches_last_14_days,0.015485834
away_shots_on_target_avg_last10,0.0153526245
away_xg_attack_rating_season,0.015305638
away_xg_attack_rating_last5,0.015069797
away_shots_avg_last5,0.015027535
home_days_rest,0.014816227
home_attack_vs_away_defense,0.01452091
home_goals_scored_avg,0.014505207
home_xg_attack_rating,0.014474164
away_goals_scored_avg,0.014173765
away_days_rest,0.014097135
home_xg_attack_rating_last10,0.014021569
away_team_points_last_5,0.01356708
away_xg_attack_rating_last10,0.013286357
away_matches_last_14_days,0.01321818
away_had_midweek_match,0.012815106
home_had_midweek_match,0.007093914
home_advantage,0.0
rolling_elo_form,0.0
elo_gap_bucket,0.0
home_days_since_last_match,0.0
away_days_since_last_match,0.0
