feature,mean_abs_shap,feature_group
home_shots_avg_season,0.06814504,shot_volume
away_shots_on_target_avg_season,0.064225435,shot_volume
home_xg_diff,0.048200082,raw_xg
away_xga_avg,0.04613359,raw_xg
away_shots_avg_last10,0.04523126,shot_volume
home_shots_on_target_avg_season,0.04422621,shot_volume
away_xg_diff,0.04270937,raw_xg
home_team_points_last_5,0.033268303,form_home_advantage
home_xg_defense_rating_season,0.031960174,opponent_adjusted_xg
elo_recent_change,0.028684175,elo
home_xga_avg,0.028182954,raw_xg
away_xg_avg,0.02798486,raw_xg
away_goals_scored_avg,0.02760776,form_home_advantage
home_elo_trend,0.026679302,elo
home_shots_avg_last10,0.025634525,shot_volume
home_elo,0.025398476,elo
elo_difference,0.024710784,elo
home_days_rest,0.024270756,fatigue
home_shots_on_target_avg_last10,0.022983382,shot_volume
away_xg_defense_rating_last10,0.022749433,opponent_adjusted_xg
away_shots_avg_season,0.021309681,shot_volume
home_xg_avg,0.020347029,raw_xg
away_xg_attack_rating_season,0.018382395,opponent_adjusted_xg
home_xg_defense_rating,0.018064668,opponent_adjusted_xg
away_xg_defense_rating,0.016503092,opponent_adjusted_xg
away_elo,0.015141396,elo
away_attack_vs_home_defense,0.014489751,opponent_adjusted_xg
home_xg_attack_rating_season,0.014423362,opponent_adjusted_xg
away_xg_attack_rating,0.013517008,opponent_adjusted_xg
away_days_rest,0.013343152,fatigue
away_matches_last_14_days,0.0133246295,fatigue
home_xg_defense_rating_last10,0.012587101,opponent_adjusted_xg
away_xg_defense_rating_season,0.012525912,opponent_adjusted_xg
elo_ratio,0.012293346,elo
away_xg_defense_rating_last5,0.011415781,opponent_adjusted_xg
home_goals_scored_avg,0.0113388505,form_home_advantage
attack_defense_matchup_score,0.010353672,opponent_adjusted_xg
home_xg_defense_rating_last5,0.009034873,opponent_adjusted_xg
home_shots_on_target_avg_last5,0.008943337,shot_volume
away_elo_trend,0.008841563,elo
home_attack_vs_away_defense,0.008510099,opponent_adjusted_xg
home_xg_attack_rating_last5,0.008476243,opponent_adjusted_xg
away_shots_avg_last5,0.008446803,shot_volume
away_shots_on_target_avg_last10,0.007247779,shot_volume
away_xg_attack_rating_last10,0.006899173,opponent_adjusted_xg
home_shots_avg_last5,0.00591237,shot_volume
away_xg_attack_rating_last5,0.0058927997,opponent_adjusted_xg
home_xg_attack_rating,0.004864789,opponent_adjusted_xg
home_xg_attack_rating_last10,0.003475139,opponent_adjusted_xg
away_team_points_last_5,0.0034558491,form_home_advantage
home_matches_last_14_days,0.0028600341,fatigue
away_shots_on_target_avg_last5,0.0026356336,shot_volume
away_had_midweek_match,0.0010448075,fatigue
home_had_midweek_match,0.00025790857,fatigue
away_days_since_last_match,0.0,fatigue
elo_gap_bucket,0.0,elo
home_days_since_last_match,0.0,fatigue
rolling_elo_form,0.0,elo
home_advantage,0.0,form_home_advantage
