feature,mean_abs_shap,feature_group
away_xga_avg,0.069039196,raw_xga
home_shots_avg_season,0.06863952,shot_volume
away_shots_on_target_avg_season,0.067574054,shot_volume
home_shots_on_target_avg_season,0.047981452,shot_volume
away_shots_avg_last10,0.04513415,shot_volume
away_xg_avg,0.04218887,raw_xg
home_team_points_last_5,0.036811072,form_home_advantage
home_xg_avg,0.035916325,raw_xg
home_xga_avg,0.034186084,raw_xga
home_xg_defense_rating_season,0.033505205,defense_ratings
elo_recent_change,0.02934694,elo
home_shots_avg_last10,0.029113306,shot_volume
home_elo,0.027498135,elo
away_shots_avg_season,0.026844893,shot_volume
away_goals_scored_avg,0.02613464,form_home_advantage
home_elo_trend,0.025857678,elo
elo_difference,0.024375394,elo
home_days_rest,0.023686526,fatigue
away_xg_defense_rating_last10,0.021392053,defense_ratings
home_shots_on_target_avg_last10,0.020398881,shot_volume
home_xg_defense_rating,0.018736266,defense_ratings
away_xg_attack_rating_season,0.018444275,attack_ratings
away_xg_defense_rating_season,0.017267985,defense_ratings
away_xg_defense_rating,0.016764168,defense_ratings
elo_ratio,0.01530635,elo
home_xg_attack_rating_season,0.014689763,attack_ratings
away_matches_last_14_days,0.014489489,fatigue
home_xg_defense_rating_last10,0.014088561,defense_ratings
away_days_rest,0.013521794,fatigue
away_elo,0.013518419,elo
away_attack_vs_home_defense,0.012481729,attack_ratings
away_xg_attack_rating,0.012052243,attack_ratings
away_xg_defense_rating_last5,0.011642223,defense_ratings
attack_defense_matchup_score,0.0106870085,attack_ratings
home_goals_scored_avg,0.010487285,form_home_advantage
home_attack_vs_away_defense,0.00994872,attack_ratings
home_shots_on_target_avg_last5,0.009239697,shot_volume
home_xg_attack_rating_last5,0.009214295,attack_ratings
away_elo_trend,0.008758576,elo
away_shots_avg_last5,0.008387236,shot_volume
home_xg_defense_rating_last5,0.007593952,defense_ratings
away_xg_attack_rating_last10,0.0070451475,attack_ratings
away_shots_on_target_avg_last10,0.0065293275,shot_volume
away_xg_attack_rating_last5,0.00626889,attack_ratings
home_xg_attack_rating,0.0046060034,attack_ratings
away_team_points_last_5,0.0038064288,form_home_advantage
home_shots_avg_last5,0.003310757,shot_volume
home_xg_attack_rating_last10,0.0032557263,attack_ratings
away_shots_on_target_avg_last5,0.002252563,shot_volume
away_had_midweek_match,0.0020587293,fatigue
home_matches_last_14_days,0.0019595092,fatigue
home_had_midweek_match,2.2397411e-05,fatigue
home_days_since_last_match,0.0,fatigue
away_days_since_last_match,0.0,fatigue
home_advantage,0.0,form_home_advantage
rolling_elo_form,0.0,elo
elo_gap_bucket,0.0,elo
