feature,permutation_importance,permutation_importance_std
home_shots_avg_season,0.015323651745864919,0.0031009628646409566
home_team_points_last_5,0.006560592831217638,0.0009712773770292376
home_shots_on_target_avg_season,0.005483295978679648,0.0019265964608743127
home_xga_avg,0.004728712686271686,0.0019149589246076966
away_shots_on_target_avg_season,0.002692871594926638,0.0038859587872573935
away_goals_scored_avg,0.002036729932777037,0.0018388485822995336
elo_difference,0.0018750250673164937,0.0018320584346355837
elo_ratio,0.0018339999482081203,0.000983627100555845
away_elo,0.0015745290254928878,0.0024456217302015093
home_shots_on_target_avg_last10,0.0015575355448601558,0.0005709456024247296
away_shots_avg_season,0.0013850142906794538,0.0012608882619493736
home_days_rest,0.0011472861723800022,0.001954234340193065
away_xg_diff,0.0008223235331632717,0.0032970784647028918
home_shots_avg_last10,0.00046299740229509555,0.0011931230729201898
home_goals_scored_avg,0.000299409961588526,0.0010222460296611872
away_shots_avg_last10,0.00019155512212034597,0.0014061521029069776
home_xg_avg,0.00018949551598737013,0.0007824368689303882
away_team_points_last_5,0.00013585535743201315,0.0006608828191122505
away_xg_avg,5.7630559650156955e-05,0.0016083325843628822
away_had_midweek_match,4.9691862445810917e-05,5.898767963767759e-05
away_shots_on_target_avg_last5,1.6189371988084565e-05,0.0004568094164592471
rolling_elo_form,0.0,0.0
away_days_since_last_match,0.0,0.0
home_advantage,0.0,0.0
home_days_since_last_match,0.0,0.0
home_had_midweek_match,-3.754991122950635e-06,7.877196131422205e-05
elo_gap_bucket,-1.6027217028691253e-05,7.315551546040369e-05
away_shots_on_target_avg_last10,-0.00010180299749109611,0.0005266103231936724
home_matches_last_14_days,-0.00015075535585020727,0.00020287148196338614
away_shots_avg_last5,-0.00021014426445369326,0.00045016856323696307
home_elo,-0.0002490697088149751,0.0011962951032968904
home_shots_avg_last5,-0.0005251054477051209,0.0006965005537350267
home_shots_on_target_avg_last5,-0.0007243514027609477,0.0009088526277079617
away_elo_trend,-0.000899017632465271,0.00148722093910743
away_xga_avg,-0.0009731279632716916,0.0032237909137063712
away_matches_last_14_days,-0.0013477343932888574,0.0012441164267603666
home_xg_diff,-0.0014511427914737584,0.003251297272180635
home_elo_trend,-0.002726030791332623,0.002029814743976624
away_days_rest,-0.004808656971907954,0.0019828391263503214
elo_recent_change,-0.007901469727889254,0.00175150363673607
