raw_feature,weighted_feature,scheme,pearson_correlation,absolute_correlation
away_shots_avg_last5,away_shots_weighted_halflife5,halflife5,0.5606541260455012,0.5606541260455012
away_shots_avg_last5,away_shots_weighted_halflife3,halflife3,0.5551167629427916,0.5551167629427916
away_shots_avg_last5,away_shots_weighted_exponential,exponential,0.5501130335521585,0.5501130335521585
home_shots_avg_last5,home_shots_weighted_halflife5,halflife5,0.5483737878495245,0.5483737878495245
away_xg_avg,away_xg_weighted_halflife5,halflife5,0.5452543457922387,0.5452543457922387
away_shots_avg_last5,away_shots_weighted_linear,linear,0.544167136031973,0.544167136031973
away_goals_scored_avg,away_goals_scored_weighted_halflife5,halflife5,0.543474775559403,0.543474775559403
away_xga_avg,away_xga_weighted_halflife5,halflife5,0.5409135794487124,0.5409135794487124
away_xg_avg,away_xg_weighted_halflife3,halflife3,0.5399045896365396,0.5399045896365396
home_shots_avg_last5,home_shots_weighted_halflife3,halflife3,0.5393441525975078,0.5393441525975078
away_goals_scored_avg,away_goals_scored_weighted_halflife3,halflife3,0.535317631092595,0.535317631092595
away_xg_avg,away_xg_weighted_exponential,exponential,0.5350604712549399,0.5350604712549399
away_xga_avg,away_xga_weighted_halflife3,halflife3,0.5327010517622844,0.5327010517622844
home_shots_avg_last5,home_shots_weighted_exponential,exponential,0.53226786943295,0.53226786943295
home_xga_avg,home_xga_weighted_halflife5,halflife5,0.5319207336507036,0.5319207336507036
away_xg_avg,away_xg_weighted_linear,linear,0.5288827453263316,0.5288827453263316
away_goals_scored_avg,away_goals_scored_weighted_exponential,exponential,0.5284040692026983,0.5284040692026983
away_xga_avg,away_xga_weighted_exponential,exponential,0.5259846720201791,0.5259846720201791
home_shots_avg_last5,home_shots_weighted_linear,linear,0.5249937436775305,0.5249937436775305
home_xga_avg,home_xga_weighted_halflife3,halflife3,0.5219697383661823,0.5219697383661823
away_goals_scored_avg,away_goals_scored_weighted_linear,linear,0.5201601106481567,0.5201601106481567
home_xg_avg,home_xg_weighted_halflife5,halflife5,0.5170940722728187,0.5170940722728187
away_xga_avg,away_xga_weighted_linear,linear,0.5169627295832093,0.5169627295832093
home_xga_avg,home_xga_weighted_exponential,exponential,0.5142132126535635,0.5142132126535635
home_xg_avg,home_xg_weighted_halflife3,halflife3,0.5092315845251635,0.5092315845251635
away_team_points_last_5,away_points_weighted_halflife5,halflife5,0.508562717112389,0.508562717112389
home_xga_avg,home_xga_weighted_linear,linear,0.5055511701554265,0.5055511701554265
home_xg_avg,home_xg_weighted_exponential,exponential,0.5029175844101286,0.5029175844101286
away_team_points_last_5,away_points_weighted_halflife3,halflife3,0.5006724201683607,0.5006724201683607
home_xg_avg,home_xg_weighted_linear,linear,0.4965374532987307,0.4965374532987307
away_team_points_last_5,away_points_weighted_exponential,exponential,0.49398612331277975,0.49398612331277975
home_goals_scored_avg,home_goals_scored_weighted_halflife5,halflife5,0.49222702642523086,0.49222702642523086
away_team_points_last_5,away_points_weighted_linear,linear,0.487015284417139,0.487015284417139
home_goals_scored_avg,home_goals_scored_weighted_halflife3,halflife3,0.4819530918097428,0.4819530918097428
home_team_points_last_5,home_points_weighted_halflife5,halflife5,0.47433700839330595,0.47433700839330595
home_goals_scored_avg,home_goals_scored_weighted_exponential,exponential,0.4739078246198032,0.4739078246198032
home_goals_scored_avg,home_goals_scored_weighted_linear,linear,0.46670550625221263,0.46670550625221263
home_team_points_last_5,home_points_weighted_halflife3,halflife3,0.4644161972720118,0.4644161972720118
home_team_points_last_5,home_points_weighted_exponential,exponential,0.4567451929683865,0.4567451929683865
home_team_points_last_5,home_points_weighted_linear,linear,0.4471247534984278,0.4471247534984278
