feature,gain_importance
home_shots_avg_last10,0.024223939
away_shots_on_target_avg_season,0.022499247
home_shots_on_target_avg_season,0.019280152
away_xg_diff,0.017491626
home_xg_diff,0.015363945
home_shots_on_target_avg_last10,0.015304956
home_shots_avg_season,0.015074334
away_shots_avg_last10,0.01480966
away_xg_avg,0.013702141
away_shots_avg_season,0.013015616
home_team_points_last_5,0.012278081
away_xga_avg,0.012123921
elo_ratio,0.01134127
elo_difference,0.01081659
home_xg_avg,0.010617641
home_points_weighted_halflife5,0.01045834
away_xga_weighted_linear,0.010386612
home_attack_rating_weighted_halflife5,0.010365885
away_goals_scored_weighted_halflife5,0.01034711
away_elo,0.010294022
home_defense_rating_weighted_halflife5,0.010246605
away_points_weighted_exponential,0.010135358
away_xga_weighted_exponential,0.009994027
home_xg_weighted_halflife3,0.009927691
home_xga_weighted_halflife3,0.009889323
home_shots_on_target_weighted_halflife3,0.009879725
home_goals_scored_weighted_exponential,0.009873531
away_defense_rating_weighted_exponential,0.009642062
away_shots_on_target_weighted_halflife3,0.009562997
home_shots_weighted_halflife3,0.009551368
away_xg_weighted_halflife3,0.009548809
away_shots_weighted_exponential,0.009523508
home_goals_scored_weighted_halflife3,0.009365928
home_shots_weighted_exponential,0.009321607
away_shots_on_target_weighted_exponential,0.009303848
away_xga_weighted_halflife3,0.009241511
home_xga_avg,0.009222017
away_shots_on_target_weighted_halflife5,0.00906226
home_goals_scored_weighted_halflife5,0.009045967
home_shots_on_target_avg_last5,0.009029379
away_xg_diff_weighted_linear,0.009021638
away_xg_diff_weighted_exponential,0.008968018
away_shots_weighted_linear,0.00894712
away_shots_weighted_halflife3,0.008937997
home_goals_scored_weighted_linear,0.008936831
home_xg_diff_weighted_halflife5,0.008879766
home_shots_on_target_weighted_halflife5,0.0088286875
home_points_weighted_halflife3,0.008827383
home_defense_rating_weighted_halflife3,0.008805223
home_xga_weighted_halflife5,0.008804361
home_had_midweek_match,0.008763285
home_elo,0.008674475
elo_recent_change,0.008586705
home_xga_weighted_exponential,0.00857494
home_attack_rating_weighted_halflife3,0.008551659
away_shots_on_target_avg_last5,0.008482523
home_shots_avg_last5,0.008439895
away_defense_rating_weighted_linear,0.008421791
away_points_weighted_halflife5,0.0084205605
home_xg_diff_weighted_exponential,0.008370797
home_xg_weighted_halflife5,0.008327206
away_attack_rating_weighted_halflife5,0.0083079
home_shots_on_target_weighted_linear,0.008287644
home_defense_rating_weighted_exponential,0.008216672
away_xg_weighted_halflife5,0.008200068
away_xg_diff_weighted_halflife5,0.008182638
home_points_weighted_exponential,0.008176189
away_attack_rating_weighted_exponential,0.008141153
away_shots_on_target_avg_last10,0.00813655
away_xg_diff_weighted_halflife3,0.008105184
away_shots_weighted_halflife5,0.008059846
home_attack_rating_weighted_linear,0.008033314
away_defense_rating_weighted_halflife5,0.008021704
home_elo_trend,0.008018088
home_attack_rating_weighted_exponential,0.00794527
away_elo_trend,0.007915649
away_attack_rating_weighted_linear,0.007883549
away_goals_scored_weighted_halflife3,0.00787703
home_points_weighted_linear,0.00786655
home_shots_weighted_halflife5,0.007832823
away_xga_weighted_halflife5,0.007784786
home_days_rest,0.007779963
home_matches_last_14_days,0.0077579212
away_goals_scored_avg,0.007756754
away_defense_rating_weighted_halflife3,0.0076599647
home_xg_diff_weighted_linear,0.007610499
home_goals_scored_avg,0.0075951517
away_xg_weighted_exponential,0.0075897006
away_points_weighted_linear,0.007562261
away_shots_avg_last5,0.007514455
home_xga_weighted_linear,0.0074819494
home_defense_rating_weighted_linear,0.0074787694
away_days_rest,0.007453054
home_shots_weighted_linear,0.007298016
away_attack_rating_weighted_halflife3,0.00721584
away_goals_scored_weighted_exponential,0.0071978588
away_matches_last_14_days,0.0071375617
home_shots_on_target_weighted_exponential,0.0071117952
home_xg_weighted_exponential,0.0070424126
away_had_midweek_match,0.0070347195
away_team_points_last_5,0.006821233
away_goals_scored_weighted_linear,0.006603807
away_shots_on_target_weighted_linear,0.0065480657
home_xg_diff_weighted_halflife3,0.0063422043
away_xg_weighted_linear,0.00613871
home_xg_weighted_linear,0.006054221
away_points_weighted_halflife3,0.005487076
home_advantage,0.0
rolling_elo_form,0.0
home_days_since_last_match,0.0
elo_gap_bucket,0.0
away_days_since_last_match,0.0
