model_version,train_period,test_period,accuracy,log_loss,Brier_score,expected_calibration_error,draw_recall,draw_log_loss,draw_mean_probability_on_draws
model_a_current_production,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.48785046728971965,1.043755292892456,0.6263842003405873,0.04287006943675217,0.0364963503649635,0.5803492463080683,0.23406191170215607
model_hybrid_all_weighted,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4822429906542056,1.0438754558563232,0.6257914744412182,0.04734610450973391,0.021897810218978103,0.5785387663501446,0.2358415424823761
model_hybrid_raw_plus_halflife5,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4691588785046729,1.048305630683899,0.6286878166741879,0.04953498654183569,0.0,0.5828190054431139,0.23049063980579376
model_hybrid_raw_plus_halflife3,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4785046728971963,1.0484113693237305,0.6281444275579025,0.05457499710106033,0.021897810218978103,0.5828615300775132,0.23261822760105133
model_hybrid_raw_plus_linear,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4747663551401869,1.048711895942688,0.6287589123494015,0.04871202794098038,0.0072992700729927005,0.5830088909402071,0.23162607848644257
model_hybrid_raw_plus_exponential,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4785046728971963,1.0487293004989624,0.6283399628417781,0.04735950511935343,0.014598540145985401,0.5839376699423121,0.23136626183986664
model_replace_halflife5,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.44672897196261685,1.0702650547027588,0.6451714318333643,0.03397768326916056,0.0,0.5773688025842203,0.22601203620433807
model_replace_halflife3,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4504672897196262,1.073267936706543,0.6475196629756502,0.03828946394248172,0.021897810218978103,0.5777179201072622,0.22634530067443848
model_replace_exponential,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4485981308411215,1.074695110321045,0.6483102297095684,0.041583795358087414,0.0,0.5800207943699071,0.2263530194759369
model_replace_linear,2019-08-09 to 2025-01-25,2025-01-26 to 2026-05-24,0.4411214953271028,1.0776878595352173,0.6503221293247813,0.040777758506599614,0.014598540145985401,0.5787382191586717,0.22702623903751373
