feature,permutation_importance_log_loss,permutation_importance_std
home_shots_avg_season,0.01051403786897307,0.001395854109927202
home_shots_on_target_avg_season,0.007892122008341218,0.000558006072776743
home_team_points_last_5,0.004957766348401771,0.00045842903496098815
home_shots_avg_last10,0.004438120968174442,0.0006023751222882282
home_xga_avg,0.003379305875668015,0.0016425393879085908
away_goals_scored_avg,0.0020938049695379047,0.0018511762922554136
away_goals_scored_weighted_exponential,0.0019305561808717897,0.0007317686417745093
away_shots_on_target_weighted_halflife5,0.0015029736773750635,0.0006036908650011484
home_elo_trend,0.0014688556884512316,0.001349989818830785
home_defense_rating_weighted_halflife5,0.0013771099678479004,0.0009605815236597133
elo_difference,0.0012143928162917205,0.0010700918720965636
home_shots_on_target_weighted_linear,0.0011217008109123405,0.00030329056373948457
home_defense_rating_weighted_halflife3,0.0010952301119214526,0.00036800268995281854
home_goals_scored_avg,0.0010048464346077424,0.0004410306874732449
home_elo,0.0008405591644994104,0.0010603669832229255
home_points_weighted_exponential,0.0008202381697006266,0.00041731658598010286
home_xg_avg,0.000791322256455862,0.0008631955984111564
home_attack_rating_weighted_linear,0.0007752926159372731,0.0007372394933590948
away_attack_rating_weighted_exponential,0.0007638088341720195,0.0004175837847038269
home_shots_on_target_avg_last10,0.0007529668299021353,0.0006896525595079996
away_matches_last_14_days,0.0007039595529416242,0.0012986922694549633
away_xg_diff_weighted_linear,0.0005419776610951388,0.00051195445002227
away_shots_weighted_halflife5,0.00046757706735736095,0.00014734293028520376
away_xg_weighted_halflife5,0.00041409839595814014,0.00014997528132021105
away_xg_diff_weighted_halflife3,0.0004136242670238488,0.00032466414902753836
home_shots_on_target_avg_last5,0.00036955074773166175,0.0007754108336437643
away_xg_diff_weighted_exponential,0.0003496867784170021,0.00021181020615767258
away_shots_weighted_linear,0.00032551089176480197,0.000109962516206336
away_xg_weighted_exponential,0.000315969988438658,0.00042129968880938765
away_elo_trend,0.0003116482484764038,0.0004894743739431297
away_goals_scored_weighted_halflife3,0.00030575705144535447,0.0002898937917408366
elo_recent_change,0.00030325308789569405,0.0010090011592066976
home_matches_last_14_days,0.000270953982941835,0.0002658067592687924
home_shots_avg_last5,0.00020343509285822848,0.0003183885154940264
home_xg_diff_weighted_linear,0.00016317030402310806,7.895272462132319e-05
away_team_points_last_5,0.00015316579303585874,0.00024051217832304862
home_points_weighted_halflife3,0.00013287867838891466,0.00018201267673890252
home_xg_diff_weighted_exponential,0.00012660112863360773,0.0002355187717999682
away_xg_diff_weighted_halflife5,0.00010637653228107169,0.00022855383329347227
home_shots_weighted_halflife5,8.118423683582954e-05,0.00036921144549985195
away_xga_weighted_halflife3,7.793361433359181e-05,0.0010122425829550991
home_goals_scored_weighted_halflife5,5.965667903642391e-05,0.00033580764443110633
home_xga_weighted_halflife5,5.9415367820259134e-05,0.00045552867255975915
home_xga_weighted_exponential,4.0901331448006675e-05,0.0001976921001746701
away_points_weighted_halflife3,4.010118916943917e-05,0.00019019773659507684
away_xg_weighted_linear,2.8115400697004132e-05,0.0003031375661830392
away_shots_on_target_weighted_halflife3,2.2915791038879975e-05,0.000949680986420103
home_xg_weighted_halflife5,2.2048521033291026e-05,0.00029978151521705055
home_shots_on_target_weighted_halflife3,9.102036875008323e-06,0.0003609881934477193
home_xga_weighted_linear,3.262839761930536e-06,0.0003640058265371439
elo_gap_bucket,0.0,0.0
home_days_since_last_match,0.0,0.0
home_advantage,0.0,0.0
rolling_elo_form,0.0,0.0
away_days_since_last_match,0.0,0.0
away_points_weighted_exponential,-9.762106118138547e-06,0.0002500729114695018
home_had_midweek_match,-3.744889968246845e-05,5.548585573747721e-05
away_points_weighted_linear,-5.0917811159578716e-05,0.00016074859431980252
away_shots_weighted_exponential,-5.6928032779923755e-05,0.0002584188943677618
away_shots_on_target_avg_last5,-5.899551578205653e-05,0.0005817781000285266
home_xg_diff_weighted_halflife3,-8.050951222577929e-05,0.00015575584751808093
away_xg_weighted_halflife3,-9.407851845324444e-05,9.084342982212864e-05
away_attack_rating_weighted_halflife5,-0.00010401689114933888,0.0005185698616780317
away_xga_weighted_halflife5,-0.00010858158676292362,0.00013732151629105522
away_shots_on_target_weighted_exponential,-0.00011753324929233421,0.0005026757571596286
home_attack_rating_weighted_halflife3,-0.00013036217339217336,0.0002630958975889492
home_xg_weighted_linear,-0.00013627611514746007,0.00013415975199814064
home_shots_on_target_weighted_exponential,-0.00016997951277626379,0.0011900601039575454
away_attack_rating_weighted_halflife3,-0.00019492055482182025,0.00012031815858466554
home_xg_weighted_exponential,-0.00019652636277287528,4.821407928301503e-05
away_shots_on_target_avg_season,-0.00020736391323974423,0.0017095347750024695
home_xg_weighted_halflife3,-0.00021215521938326986,0.0001381901233167431
away_shots_on_target_avg_last10,-0.00021449320057080888,0.0005209782648799399
home_points_weighted_linear,-0.0002265683364267357,0.00033352820056842275
home_days_rest,-0.00023103829784938413,0.0019134887107304008
away_defense_rating_weighted_halflife3,-0.00023875061158888932,0.00011710972614793184
away_shots_on_target_weighted_linear,-0.0002520740080883321,0.0005996553590559522
home_attack_rating_weighted_halflife5,-0.00026308558281185057,0.000657507622615688
away_xga_weighted_exponential,-0.00028105096867689914,0.0005069945912308098
away_had_midweek_match,-0.00028394352981915284,9.824339767435955e-05
home_shots_weighted_exponential,-0.0003095823155000232,0.00020805295240616564
away_shots_weighted_halflife3,-0.000321531547486531,0.00026148277123388974
away_defense_rating_weighted_halflife5,-0.0003589011942308762,0.00025093862406204626
home_shots_weighted_halflife3,-0.0003609873508089834,0.00035203838556074424
away_shots_avg_last5,-0.00037081256533588736,0.0006188047964943376
away_xg_diff,-0.0003738205344258283,0.0023324216029297438
home_shots_on_target_weighted_halflife5,-0.0003976728437546928,0.000387650211450211
home_xga_weighted_halflife3,-0.00043255520186962214,0.00025653743772115467
home_attack_rating_weighted_exponential,-0.0004390189823193058,0.00020694841871897416
away_defense_rating_weighted_exponential,-0.000442818741331763,0.00033268178459323195
elo_ratio,-0.0005060919205700287,0.0005838635007940701
away_goals_scored_weighted_linear,-0.0005294447906861067,0.0003838525320075599
home_goals_scored_weighted_exponential,-0.0005332414543204322,0.0009232558981204648
home_shots_weighted_linear,-0.0005750178167402087,0.0003208650468970676
away_goals_scored_weighted_halflife5,-0.0006031603662016493,0.00067505511265564
home_xg_diff_weighted_halflife5,-0.0006122341002868126,0.0003822045416007836
away_points_weighted_halflife5,-0.0006677431641080478,0.000153744627032863
home_goals_scored_weighted_linear,-0.0007006062688876824,0.0013801063249668413
home_goals_scored_weighted_halflife3,-0.0007347358996097064,0.000743222041786724
away_days_rest,-0.000775150779635192,0.00043080368015732093
away_defense_rating_weighted_linear,-0.0008506434900097393,0.0010288269382813693
home_points_weighted_halflife5,-0.0008692216852162815,0.0020502935705557393
home_defense_rating_weighted_linear,-0.0008907961067929459,0.00042192639324478974
home_defense_rating_weighted_exponential,-0.0009699952580179971,0.0005024053363640116
away_xga_weighted_linear,-0.0010401994206154174,0.0006512392848556911
away_elo,-0.0010419070730538049,0.000721698308427691
away_xg_avg,-0.001230768051908937,0.0017866106018243101
home_xg_diff,-0.0013359162798566525,0.0025285669827959613
away_shots_avg_season,-0.0013900521225126195,0.0007922309864849712
away_xga_avg,-0.0022153157013723667,0.0016678908958857998
away_attack_rating_weighted_linear,-0.002423695315895058,0.0004854179091421961
away_shots_avg_last10,-0.004492312384784469,0.0017659626515635159
