team,mean_abs_points_recency_gap,mean_abs_xg_recency_gap,max_abs_points_recency_gap,max_abs_xg_recency_gap
Man City,0.5616686422129608,0.5251492069501411,2.75416133162612,2.5546595736235593
Liverpool,0.5365872856246678,0.4302880768796323,2.677336747759283,2.0496923124199746
Nott'm Forest,0.5605825526025674,0.39625871566769344,2.8,2.200219790268886
Chelsea,0.4345231508018758,0.3941219687593924,2.4,1.9217759615877081
Bournemouth,0.545877093675463,0.3835777477461112,2.8,2.3116369428937262
Luton,0.44425500370644927,0.37312861050698126,3.0,1.6509021830985917
Leicester,0.533051474240503,0.3688869023676499,2.508322663252241,2.4332126756756756
Burnley,0.5235472693915986,0.36857516124126877,2.585147247119078,2.7455795072983347
Ipswich,0.5295707257901476,0.35974882914358564,2.5234314980793853,1.923555471702945
Sheffield United,0.5634026860416778,0.34839539304358963,2.792573623559539,1.9695152083482714
Newcastle,0.5007768314641131,0.3470273737319424,2.3661971830985915,2.3920108258642765
Brighton,0.42796432322854017,0.341697099243374,2.6,2.0687419019206144
Arsenal,0.5359410019073262,0.3339554837142654,2.8962868117797695,2.2386118796414856
Southampton,0.5973296049411692,0.3331588002805506,3.0,1.9898947157490396
Brentford,0.5194926704934117,0.3305868211285475,2.4156209987195902,1.6949569318822022
Sunderland,0.3638373783370077,0.3223292027139071,1.7055057618437899,1.1039094647887324
Tottenham,0.4846162727598712,0.32187479937515917,2.5234314980793853,1.9025980000000002
Wolves,0.46899799342878873,0.3200073199529585,3.0,1.6090150169014086
Fulham,0.47406294224678214,0.3175991445291044,2.7234314980793854,2.10722304340589
Crystal Palace,0.5002612285636747,0.31219893405799415,2.8,2.0432477247119083
Aston Villa,0.47614525935610336,0.3078736736085323,2.4888604353393085,1.7007443183098596
Man United,0.4319243141693634,0.2986137164386739,2.672215108834827,1.9777982125480151
West Brom,0.49506763066436893,0.29592596331372595,2.8,1.7354261463935123
Watford,0.543852623044617,0.29542142829773943,2.6,1.6017751400768243
West Ham,0.4042974211119928,0.2930099230535288,2.6,1.9872496879641486
Everton,0.4882588312197546,0.29003601769417103,2.2722151088348275,1.7896532440460948
Norwich,0.559864626788274,0.27629966247046367,3.0,1.760415767247119
Leeds,0.4542573194241097,0.2597578041020378,2.046862996158771,1.565799610755442
