feature,mean_abs_shap,feature_group
home_shots_avg_season,0.0659876,raw_rolling
away_shots_on_target_avg_season,0.06334373,raw_rolling
away_xga_avg,0.04796108,raw_rolling
home_shots_on_target_avg_season,0.044727758,raw_rolling
home_xg_diff,0.044343926,raw_rolling
away_shots_avg_last10,0.043293774,raw_rolling
away_xg_diff,0.03904317,raw_rolling
home_team_points_last_5,0.03368634,raw_rolling
home_elo,0.029796373,elo
elo_recent_change,0.028523996,elo
home_xga_avg,0.028329799,raw_rolling
home_shots_avg_last10,0.02778646,raw_rolling
away_xg_avg,0.025104519,raw_rolling
away_shots_avg_season,0.024157647,raw_rolling
elo_difference,0.023149326,elo
home_days_rest,0.021099387,fatigue
away_goals_scored_weighted_exponential,0.020308126,weighted_exponential
home_shots_on_target_avg_last10,0.019859562,raw_rolling
home_elo_trend,0.019488398,elo
away_goals_scored_avg,0.01902187,raw_rolling
home_goals_scored_weighted_exponential,0.017888807,weighted_exponential
home_xg_avg,0.016978431,raw_rolling
away_xga_weighted_halflife3,0.016483894,weighted_halflife3
home_goals_scored_weighted_linear,0.016232254,weighted_linear
home_xga_weighted_halflife5,0.016091928,weighted_halflife5
away_elo,0.014617128,elo
away_shots_on_target_weighted_halflife3,0.014124201,weighted_halflife3
elo_ratio,0.01412026,elo
home_goals_scored_weighted_halflife3,0.013702355,weighted_halflife3
home_defense_rating_weighted_halflife5,0.013271695,weighted_halflife5
away_matches_last_14_days,0.012773153,fatigue
away_shots_on_target_weighted_halflife5,0.012319864,weighted_halflife5
home_attack_rating_weighted_linear,0.012246535,weighted_linear
home_points_weighted_halflife5,0.012122314,weighted_halflife5
home_defense_rating_weighted_exponential,0.011469596,weighted_exponential
away_attack_rating_weighted_linear,0.01135771,weighted_linear
away_defense_rating_weighted_linear,0.009539428,weighted_linear
away_days_rest,0.008602821,fatigue
home_shots_on_target_weighted_exponential,0.008223396,weighted_exponential
away_xg_diff_weighted_linear,0.0077765095,weighted_linear
away_xga_weighted_exponential,0.007760977,weighted_exponential
home_xga_weighted_halflife3,0.0075347107,weighted_halflife3
home_shots_on_target_avg_last5,0.007450946,raw_rolling
away_goals_scored_weighted_halflife5,0.00745012,weighted_halflife5
away_shots_on_target_weighted_exponential,0.007246553,weighted_exponential
away_xg_weighted_exponential,0.0072277905,weighted_exponential
away_shots_on_target_weighted_linear,0.0072276853,weighted_linear
home_defense_rating_weighted_linear,0.007225498,weighted_linear
home_xga_weighted_linear,0.006888857,weighted_linear
home_attack_rating_weighted_halflife5,0.0065607606,weighted_halflife5
home_xg_diff_weighted_halflife5,0.0065485123,weighted_halflife5
away_xg_weighted_halflife5,0.006534722,weighted_halflife5
home_shots_on_target_weighted_halflife5,0.006425384,weighted_halflife5
away_xga_weighted_linear,0.0062727723,weighted_linear
home_xg_weighted_halflife5,0.0062296377,weighted_halflife5
away_shots_avg_last5,0.0062179873,raw_rolling
home_goals_scored_avg,0.0059738,raw_rolling
away_xg_weighted_linear,0.005901803,weighted_linear
away_defense_rating_weighted_halflife5,0.0057753003,weighted_halflife5
home_shots_on_target_weighted_linear,0.005304159,weighted_linear
away_xga_weighted_halflife5,0.0051206644,weighted_halflife5
away_shots_on_target_avg_last10,0.0050895666,raw_rolling
home_goals_scored_weighted_halflife5,0.0049377875,weighted_halflife5
away_attack_rating_weighted_halflife5,0.004876311,weighted_halflife5
home_shots_avg_last5,0.00469836,raw_rolling
away_xg_diff_weighted_halflife5,0.004614606,weighted_halflife5
home_attack_rating_weighted_exponential,0.0044477847,weighted_exponential
away_shots_on_target_avg_last5,0.0044243713,raw_rolling
away_xg_diff_weighted_halflife3,0.004376915,weighted_halflife3
away_elo_trend,0.0042228787,elo
away_shots_weighted_halflife5,0.004158281,weighted_halflife5
away_goals_scored_weighted_halflife3,0.004080587,weighted_halflife3
away_xg_diff_weighted_exponential,0.003796171,weighted_exponential
home_points_weighted_exponential,0.0035416747,weighted_exponential
home_attack_rating_weighted_halflife3,0.0033889432,weighted_halflife3
away_team_points_last_5,0.0032919645,raw_rolling
home_xg_diff_weighted_exponential,0.003287451,weighted_exponential
away_defense_rating_weighted_exponential,0.0032857864,weighted_exponential
home_defense_rating_weighted_halflife3,0.003229653,weighted_halflife3
home_shots_weighted_halflife5,0.003165746,weighted_halflife5
home_shots_weighted_halflife3,0.0030797822,weighted_halflife3
home_xg_diff_weighted_linear,0.003074842,weighted_linear
home_xga_weighted_exponential,0.0030452746,weighted_exponential
away_attack_rating_weighted_exponential,0.0030413796,weighted_exponential
home_shots_on_target_weighted_halflife3,0.0029838332,weighted_halflife3
away_shots_weighted_halflife3,0.0027866755,weighted_halflife3
home_shots_weighted_exponential,0.0027158451,weighted_exponential
away_shots_weighted_exponential,0.0026605749,weighted_exponential
home_points_weighted_linear,0.002585112,weighted_linear
away_shots_weighted_linear,0.0025560488,weighted_linear
home_points_weighted_halflife3,0.0025385153,weighted_halflife3
home_xg_diff_weighted_halflife3,0.0023756656,weighted_halflife3
home_xg_weighted_exponential,0.0022307304,weighted_exponential
home_xg_weighted_halflife3,0.0021394459,weighted_halflife3
away_had_midweek_match,0.002130014,fatigue
home_shots_weighted_linear,0.00206374,weighted_linear
home_matches_last_14_days,0.001997934,fatigue
home_xg_weighted_linear,0.0018658286,weighted_linear
away_xg_weighted_halflife3,0.0018125246,weighted_halflife3
away_goals_scored_weighted_linear,0.0017744893,weighted_linear
away_points_weighted_linear,0.0016672364,weighted_linear
away_points_weighted_exponential,0.0016503785,weighted_exponential
away_points_weighted_halflife5,0.001578878,weighted_halflife5
away_points_weighted_halflife3,0.00095481245,weighted_halflife3
away_attack_rating_weighted_halflife3,0.0008798719,weighted_halflife3
away_defense_rating_weighted_halflife3,0.0008101179,weighted_halflife3
home_had_midweek_match,0.00020832696,fatigue
rolling_elo_form,0.0,elo
home_advantage,0.0,other_production
home_days_since_last_match,0.0,fatigue
away_days_since_last_match,0.0,fatigue
elo_gap_bucket,0.0,elo
