Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,squad_strength_prior_weight,home_squad_strength_score,away_squad_strength_score,squad_strength_diff
2026-08-29,2026/27,Aston Villa,Arsenal,0.2142673555785234,0.25600013836059987,0.5297325060608769,0.08,0.6530679997643404,0.9792194884200927,-0.3261514886557523
2026-08-29,2026/27,Bournemouth,Everton,0.4659030985753548,0.27114348584628867,0.2629534155783565,0.08,0.676850904932348,0.5837357090144661,0.09311519591788187
2026-08-29,2026/27,Chelsea,Brighton,0.34250068811560713,0.2654054532578073,0.3920938586265856,0.08,0.9339182431634738,0.6777263169997666,0.25619192616370723
2026-08-29,2026/27,Coventry,Hull,0.39275765357959097,0.20312463649717769,0.40411770992323137,0.08,0.2691907680537146,0.0,0.2691907680537146
2026-08-29,2026/27,Crystal Palace,Man City,0.16849531962678505,0.24784301782135393,0.5836616625518611,0.08,0.6681914087020531,1.0,-0.33180859129794693
2026-08-29,2026/27,Leeds,Brentford,0.4443820249350858,0.2748542001260753,0.2807637749388389,0.08,0.5032106679166529,0.6225140877503055,-0.11930341983365256
2026-08-29,2026/27,Liverpool,Nott'm Forest,0.5625277993043277,0.2503771474242045,0.18709505327146772,0.08,0.8703170526167026,0.6847902801698104,0.1855267724468922
2026-08-29,2026/27,Man United,Ipswich,0.5047069069473514,0.2743318519128388,0.22096124113980978,0.08,0.7854689788300634,0.3042436157500667,0.4812253630799967
2026-08-29,2026/27,Sunderland,Fulham,0.4919926365441331,0.27392827956343957,0.23407908389242738,0.08,0.5315033133148145,0.5004370086606525,0.031066304654161936
2026-08-29,2026/27,Tottenham,Newcastle,0.39168900483636315,0.2832312122771837,0.3250797828864531,0.08,0.7580903593798862,0.7560965508449361,0.0019938085349501256
2026-09-05,2026/27,Fulham,Crystal Palace,0.42614860979014985,0.30586291929114984,0.2679884709187005,0.08,0.5004370086606525,0.6681914087020531,-0.16775440004140052
2026-09-05,2026/27,Arsenal,Chelsea,0.6591238295867529,0.2250553419874483,0.1158208284257989,0.08,0.9792194884200927,0.9339182431634738,0.04530124525661883
2026-09-05,2026/27,Brentford,Sunderland,0.43349321061213286,0.287046976462383,0.2794598129254843,0.08,0.6225140877503055,0.5315033133148145,0.091010774435491
2026-09-05,2026/27,Everton,Man United,0.28124738367683455,0.27542821013565155,0.44332440618751384,0.08,0.5837357090144661,0.7854689788300634,-0.20173326981559725
2026-09-05,2026/27,Brighton,Leeds,0.5784659237120683,0.2519240124998572,0.1696100637880746,0.08,0.6777263169997666,0.5032106679166529,0.17451564908311368
2026-09-05,2026/27,Man City,Coventry,0.7466106821006139,0.1737539241078136,0.07963539379157263,0.08,1.0,0.2691907680537146,0.7308092319462853
2026-09-05,2026/27,Ipswich,Liverpool,0.32178053625143455,0.24451654680612603,0.4337029169424395,0.08,0.3042436157500667,0.8703170526167026,-0.5660734368666358
2026-09-05,2026/27,Newcastle,Bournemouth,0.40450401337367553,0.27383552026963826,0.3216604663566863,0.08,0.7560965508449361,0.676850904932348,0.07924564591258809
2026-09-05,2026/27,Nott'm Forest,Tottenham,0.38615837721545465,0.30262731512154134,0.31121430766300406,0.08,0.6847902801698104,0.7580903593798862,-0.07330007921007586
2026-09-05,2026/27,Hull,Aston Villa,0.44761051395244106,0.25816908195755345,0.2942204040900055,0.08,0.0,0.6530679997643404,-0.6530679997643404
2026-09-12,2026/27,Coventry,Brighton,0.17303747396933575,0.2563769534818719,0.5705855725487925,0.08,0.2691907680537146,0.6777263169997666,-0.408535548946052
2026-09-12,2026/27,Crystal Palace,Ipswich,0.26903208761607034,0.30086389895467086,0.43010401342925886,0.08,0.6681914087020531,0.3042436157500667,0.36394779295198637
2026-09-12,2026/27,Aston Villa,Nott'm Forest,0.47527147943141906,0.2637985569830836,0.26092996358549747,0.08,0.6530679997643404,0.6847902801698104,-0.03172228040546998
2026-09-12,2026/27,Chelsea,Hull,0.4472908837930828,0.23502735020902812,0.31768176599788905,0.08,0.9339182431634738,0.0,0.9339182431634738
2026-09-12,2026/27,Bournemouth,Brentford,0.484019565148844,0.2709866244868469,0.24499381036430923,0.08,0.676850904932348,0.6225140877503055,0.05433681718204253
2026-09-12,2026/27,Tottenham,Everton,0.3431386342457633,0.28551529067408987,0.3713460750801469,0.08,0.7580903593798862,0.5837357090144661,0.17435465036542008
2026-09-12,2026/27,Man United,Man City,0.3744245464041679,0.27093574345946425,0.35463971013636797,0.08,0.7854689788300634,1.0,-0.2145310211699366
2026-09-12,2026/27,Sunderland,Arsenal,0.20257280294920685,0.25113632546564946,0.5462908715851438,0.08,0.5315033133148145,0.9792194884200927,-0.44771617510527817
2026-09-12,2026/27,Liverpool,Fulham,0.5772909985306226,0.2506454302061473,0.17206357126323013,0.08,0.8703170526167026,0.5004370086606525,0.36988004395605
2026-09-12,2026/27,Leeds,Newcastle,0.43986260948152683,0.2747237180082329,0.28541367251024036,0.08,0.5032106679166529,0.7560965508449361,-0.2528858829282832
2026-09-19,2026/27,Everton,Ipswich,0.3748179046580762,0.28561273526611725,0.3395693600758066,0.08,0.5837357090144661,0.3042436157500667,0.27949209326439944
2026-09-19,2026/27,Bournemouth,Liverpool,0.28415242997684875,0.2674620302652451,0.4483855397579062,0.08,0.676850904932348,0.8703170526167026,-0.19346614768435455
2026-09-19,2026/27,Brentford,Chelsea,0.47126897169186355,0.2702911772616012,0.25843985104653533,0.08,0.6225140877503055,0.9339182431634738,-0.31140415541316835
2026-09-19,2026/27,Brighton,Arsenal,0.2916607397516567,0.269130573009322,0.43920868723902134,0.08,0.6777263169997666,0.9792194884200927,-0.30149317142032606
2026-09-19,2026/27,Fulham,Man United,0.21716952325939473,0.2718677255008008,0.5109627512398045,0.08,0.5004370086606525,0.7854689788300634,-0.28503197016941084
2026-09-19,2026/27,Leeds,Crystal Palace,0.4441619528785023,0.2961971602515031,0.25964088686999465,0.08,0.5032106679166529,0.6681914087020531,-0.16498074078540015
2026-09-19,2026/27,Newcastle,Hull,0.45020830280680707,0.2266088465515784,0.32318285064161467,0.08,0.7560965508449361,0.0,0.7560965508449361
2026-09-19,2026/27,Nott'm Forest,Coventry,0.5651441297261406,0.2510489335027795,0.18380693677107993,0.08,0.6847902801698104,0.2691907680537146,0.41559951211609575
2026-09-19,2026/27,Tottenham,Aston Villa,0.35119831651110045,0.283154929659248,0.3656467538296516,0.08,0.7580903593798862,0.6530679997643404,0.10502235961554585
2026-09-19,2026/27,Man City,Sunderland,0.6725768255134692,0.2195290702355635,0.10789410425096745,0.08,1.0,0.5315033133148145,0.4684966866851855
2026-10-10,2026/27,Chelsea,Bournemouth,0.42892084306521966,0.2739067626996154,0.29717239423516506,0.08,0.9339182431634738,0.676850904932348,0.2570673382311258
2026-10-10,2026/27,Arsenal,Leeds,0.6770485232795738,0.2185258136764129,0.10442566304401339,0.08,0.9792194884200927,0.5032106679166529,0.47600882050343973
2026-10-10,2026/27,Aston Villa,Brentford,0.47123181915943746,0.26227423319976095,0.2664939476408017,0.08,0.6530679997643404,0.6225140877503055,0.0305539120140349
2026-10-10,2026/27,Coventry,Newcastle,0.29355982188993984,0.2776273024532747,0.4288128756567855,0.08,0.2691907680537146,0.7560965508449361,-0.4869057827912215
2026-10-10,2026/27,Crystal Palace,Nott'm Forest,0.32985873365167345,0.2911588649566637,0.3789824013916629,0.08,0.6681914087020531,0.6847902801698104,-0.016598871467757292
2026-10-10,2026/27,Hull,Everton,0.46687013002910255,0.24182591625998767,0.2913039537109099,0.08,0.0,0.5837357090144661,-0.5837357090144661
2026-10-10,2026/27,Man United,Tottenham,0.6356104480349394,0.23278398971583658,0.13160556224922396,0.08,0.7854689788300634,0.7580903593798862,0.027378619450177166
2026-10-10,2026/27,Liverpool,Man City,0.2536019041728997,0.2552452604332075,0.4911528353938929,0.08,0.8703170526167026,1.0,-0.12968294738329744
2026-10-10,2026/27,Sunderland,Brighton,0.29952713348804955,0.26986453601546173,0.4306083304964888,0.08,0.5315033133148145,0.6777263169997666,-0.1462230036849521
2026-10-10,2026/27,Ipswich,Fulham,0.4041680073654162,0.25109207707211323,0.34473991556247063,0.08,0.3042436157500667,0.5004370086606525,-0.19619339291058585
2026-10-17,2026/27,Bournemouth,Sunderland,0.4401970898632714,0.2860192683117993,0.27378364182492926,0.05,0.676850904932348,0.5315033133148145,0.14534759161753352
2026-10-17,2026/27,Brentford,Liverpool,0.27463232075054206,0.25989584217287803,0.46547183707657996,0.05,0.6225140877503055,0.8703170526167026,-0.24780296486639708
2026-10-17,2026/27,Brighton,Crystal Palace,0.5772131837346461,0.2608577284195099,0.16192908784584392,0.05,0.6777263169997666,0.6681914087020531,0.009534908297713529
2026-10-17,2026/27,Everton,Chelsea,0.44382623962576806,0.27372586199671967,0.28244789837751233,0.05,0.5837357090144661,0.9339182431634738,-0.3501825341490077
2026-10-17,2026/27,Fulham,Hull,0.4261748169208649,0.23754915076670524,0.33627603231243,0.05,0.5004370086606525,0.0,0.5004370086606525
2026-10-17,2026/27,Leeds,Man United,0.22113032180746378,0.25919984970020316,0.5196698284923331,0.05,0.5032106679166529,0.7854689788300634,-0.28225831091341047
2026-10-17,2026/27,Man City,Ipswich,0.5779076205972327,0.25321389821554624,0.168878481187221,0.05,1.0,0.3042436157500667,0.6957563842499332
2026-10-17,2026/27,Newcastle,Aston Villa,0.4190768136654141,0.26871831426554266,0.31220487206904324,0.05,0.7560965508449361,0.6530679997643404,0.10302855108059572
2026-10-17,2026/27,Nott'm Forest,Arsenal,0.17184661135014395,0.2622549872195832,0.5658984014302728,0.05,0.6847902801698104,0.9792194884200927,-0.2944292082502823
2026-10-17,2026/27,Tottenham,Coventry,0.5640478669624464,0.2507751919478945,0.18517694108965918,0.05,0.7580903593798862,0.2691907680537146,0.4888995913261716
2026-10-24,2026/27,Arsenal,Everton,0.6591411699694938,0.22333192279249073,0.11752690723801548,0.05,0.9792194884200927,0.5837357090144661,0.3954837794056265
2026-10-24,2026/27,Aston Villa,Man City,0.20236121203448063,0.25102490013496837,0.5466138878305511,0.05,0.6530679997643404,1.0,-0.3469320002356596
2026-10-24,2026/27,Chelsea,Tottenham,0.48576528200453845,0.2624169041917073,0.25181781380375423,0.05,0.9339182431634738,0.7580903593798862,0.1758278837835876
2026-10-24,2026/27,Coventry,Fulham,0.32112283951692094,0.2919786159421056,0.38689854454097355,0.05,0.2691907680537146,0.5004370086606525,-0.23124624060693794
2026-10-24,2026/27,Crystal Palace,Newcastle,0.3320728453903013,0.2963998671544611,0.37152728745523755,0.05,0.6681914087020531,0.7560965508449361,-0.08790514214288303
2026-10-24,2026/27,Hull,Brentford,0.4888615596004187,0.254462547554077,0.2566758928455043,0.05,0.0,0.6225140877503055,-0.6225140877503055
2026-10-24,2026/27,Ipswich,Nott'm Forest,0.3954284200716556,0.24213857820962228,0.3624330017187221,0.05,0.3042436157500667,0.6847902801698104,-0.38054666441974366
2026-10-24,2026/27,Liverpool,Brighton,0.5072734224596328,0.2570067445750221,0.2357198329653451,0.05,0.8703170526167026,0.6777263169997666,0.19259073561693596
2026-10-24,2026/27,Man United,Bournemouth,0.6032061133387294,0.24459477490131126,0.1521991117599593,0.05,0.7854689788300634,0.676850904932348,0.10861807389771538
2026-10-24,2026/27,Sunderland,Leeds,0.47453802587623317,0.2700236786328157,0.25543829549095104,0.05,0.5315033133148145,0.5032106679166529,0.028292645398161564
2026-10-31,2026/27,Aston Villa,Fulham,0.49306358015860785,0.272265207063261,0.23467121277813113,0.05,0.6530679997643404,0.5004370086606525,0.15263099110368783
2026-10-31,2026/27,Bournemouth,Leeds,0.49065741429723175,0.2672297041819163,0.24211288152085192,0.05,0.676850904932348,0.5032106679166529,0.1736402370156951
2026-10-31,2026/27,Brentford,Nott'm Forest,0.4851772829865221,0.2691598811187078,0.24566283589477006,0.05,0.6225140877503055,0.6847902801698104,-0.06227619241950488
2026-10-31,2026/27,Chelsea,Man United,0.24171618787002092,0.2575261690304192,0.5007576430995598,0.05,0.9339182431634738,0.7854689788300634,0.14844926433341044
2026-10-31,2026/27,Coventry,Sunderland,0.256910339364688,0.3058245353788581,0.43726512525645395,0.05,0.2691907680537146,0.5315033133148145,-0.26231254526109987
2026-10-31,2026/27,Hull,Ipswich,0.3803210687291741,0.31621491669502705,0.3034640145757989,0.05,0.0,0.3042436157500667,-0.3042436157500667
2026-10-31,2026/27,Liverpool,Arsenal,0.2424304879916464,0.2560943335022098,0.5014751785061439,0.05,0.8703170526167026,0.9792194884200927,-0.1089024358033901
2026-10-31,2026/27,Man City,Brighton,0.642835525744965,0.2271063189817715,0.13005815527326345,0.05,1.0,0.6777263169997666,0.3222736830002334
2026-10-31,2026/27,Newcastle,Everton,0.42950374150924653,0.26788714965433247,0.302609108836421,0.05,0.7560965508449361,0.5837357090144661,0.17236084183046996
2026-10-31,2026/27,Tottenham,Crystal Palace,0.38989713299479956,0.317337102973236,0.2927657640319646,0.05,0.7580903593798862,0.6681914087020531,0.08989895067783316
2026-11-07,2026/27,Everton,Coventry,0.615641922312135,0.21847474101242298,0.16588333667544203,0.05,0.5837357090144661,0.2691907680537146,0.31454494096075153
2026-11-07,2026/27,Arsenal,Hull,0.5596420301447002,0.2510811281135417,0.18927684174175813,0.05,0.9792194884200927,0.0,0.9792194884200927
2026-11-07,2026/27,Brighton,Brentford,0.5686344058856774,0.2534398061629332,0.1779257879513894,0.05,0.6777263169997666,0.6225140877503055,0.05521222924946112
2026-11-07,2026/27,Crystal Palace,Liverpool,0.20701197756678044,0.2612258375319837,0.5317621849012358,0.05,0.6681914087020531,0.8703170526167026,-0.2021256439146495
2026-11-07,2026/27,Fulham,Newcastle,0.38966325185472345,0.2920426805772423,0.31829406756803424,0.05,0.5004370086606525,0.7560965508449361,-0.25565954218428355
2026-11-07,2026/27,Ipswich,Bournemouth,0.3897249937686041,0.26114369202859133,0.34913131420280463,0.05,0.3042436157500667,0.676850904932348,-0.3726072891822813
2026-11-07,2026/27,Man United,Aston Villa,0.5943112687306596,0.24606911486855218,0.15961961640078817,0.05,0.7854689788300634,0.6530679997643404,0.132400979065723
2026-11-07,2026/27,Nott'm Forest,Man City,0.16744522171601106,0.2541285849230542,0.5784261933609347,0.05,0.6847902801698104,1.0,-0.31520971983018964
2026-11-07,2026/27,Sunderland,Chelsea,0.46967989754841494,0.26942953872192593,0.26089056372965913,0.05,0.5315033133148145,0.9339182431634738,-0.40241492984865934
2026-11-07,2026/27,Leeds,Tottenham,0.44445115095125204,0.2735884506592844,0.2819603983894636,0.05,0.5032106679166529,0.7580903593798862,-0.2548796914632333
2026-11-21,2026/27,Chelsea,Leeds,0.5054066302989312,0.26182351414335014,0.23276985555771879,0.05,0.9339182431634738,0.5032106679166529,0.4307075752468209
2026-11-21,2026/27,Aston Villa,Sunderland,0.436515479271024,0.2770264634152981,0.286458057313678,0.05,0.6530679997643404,0.5315033133148145,0.1215646864495259
2026-11-21,2026/27,Bournemouth,Nott'm Forest,0.4709916810895254,0.2803172072161781,0.24869111169429653,0.05,0.676850904932348,0.6847902801698104,-0.007939375237462354
2026-11-21,2026/27,Coventry,Crystal Palace,0.31374101370156804,0.3079628333439183,0.37829615295451363,0.05,0.2691907680537146,0.6681914087020531,-0.39900064064833846
2026-11-21,2026/27,Brentford,Everton,0.4488264139724814,0.26464060024891833,0.28653298577860026,0.05,0.6225140877503055,0.5837357090144661,0.038778378735839336
2026-11-21,2026/27,Newcastle,Arsenal,0.179361094803002,0.24533156811479256,0.5753073370822054,0.05,0.7560965508449361,0.9792194884200927,-0.22312293757515655
2026-11-21,2026/27,Man City,Fulham,0.6807194157055465,0.215834112244611,0.10344647204984252,0.05,1.0,0.5004370086606525,0.49956299133934745
2026-11-21,2026/27,Hull,Brighton,0.3577206085162398,0.23332680180998988,0.40895258967377024,0.05,0.0,0.6777263169997666,-0.6777263169997666
