team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,projected_position
Arsenal,81.481,1.5004,0.61,0.9943,0.9996,0.0,81.46403412906128,1
Man City,78.4067,1.95,0.3433,0.975,0.9954,0.0,78.34859379924058,2
Liverpool,66.3095,4.2564,0.0284,0.6644,0.8661,0.0001,66.30101797360135,3
Man United,63.502,5.1415,0.0121,0.5066,0.7664,0.0005,63.50826707118413,4
Brighton,57.8104,7.1353,0.0036,0.2398,0.5076,0.0038,57.83455071939804,5
Chelsea,55.2919,8.285,0.0007,0.1476,0.365,0.0079,55.2363545400078,6
Brentford,54.8402,8.3605,0.0011,0.1321,0.346,0.0077,54.727009623650424,7
Aston Villa,52.3381,9.5293,0.0002,0.0809,0.2455,0.0245,52.440124322066644,8
Everton,52.0162,9.9088,0.0003,0.0663,0.2094,0.0244,52.10847807535454,9
Bournemouth,51.3195,10.0784,0.0002,0.0648,0.2012,0.0292,51.37367026125935,10
Newcastle,51.6078,10.2544,0.0001,0.0513,0.1837,0.0317,51.47861027694556,11
Sunderland,49.9349,11.1717,0.0,0.0372,0.129,0.0495,50.01991079839932,12
Nott'm Forest,46.6626,12.7808,0.0,0.0133,0.0623,0.1146,46.6004279947816,13
Leeds,46.2044,12.9541,0.0,0.0132,0.0556,0.1123,46.22119036138926,14
Hull,43.7932,14.1137,0.0,0.0075,0.0288,0.1846,43.753463051931725,15
Fulham,41.7779,15.0013,0.0,0.0028,0.017,0.2696,41.79581169438322,16
Crystal Palace,40.4197,15.5511,0.0,0.0011,0.0091,0.331,40.40893285847016,17
Coventry,39.5179,15.8345,0.0,0.0013,0.0078,0.3683,39.583095715483246,18
Tottenham,37.3422,16.9655,0.0,0.0005,0.0044,0.5388,37.311421274067115,19
Ipswich,28.9044,19.2273,0.0,0.0,0.0001,0.9015,28.8619049428799,20
