team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,expected_points_before_squad_strength,expected_position_before_squad_strength,relegation_probability_before_squad_strength,projected_position
Arsenal,78.1512,1.8805,0.4482,0.9738,0.9964,0.0,78.25758679005864,78.867,1.8449,0.0,1
Man City,78.4549,1.9079,0.431,0.9729,0.9952,0.0,78.51989686910512,79.1306,1.8875,0.0,2
Man United,69.4633,3.6226,0.0821,0.7671,0.9257,0.0,69.48054133315368,70.0221,3.5597,0.0,3
Liverpool,64.1255,5.0276,0.0284,0.5167,0.7799,0.0007,64.21655540546814,64.4208,4.9827,0.0004,4
Bournemouth,57.2207,7.3489,0.003,0.1916,0.4765,0.0064,57.18669792233838,57.4173,7.2794,0.0052,5
Aston Villa,56.8833,7.4352,0.0034,0.191,0.4626,0.007,56.92511711591005,57.0902,7.3604,0.006,6
Brighton,55.6764,8.0416,0.0022,0.1431,0.3891,0.01,55.65923401469108,55.7744,8.0161,0.0092,7
Newcastle,55.2122,8.4939,0.0006,0.1156,0.3407,0.0149,55.10834574541749,55.2474,8.476,0.0142,8
Chelsea,50.5189,10.5097,0.0006,0.0414,0.1619,0.043,50.47258290081117,50.1787,10.6548,0.0463,9
Fulham,47.6949,12.0791,0.0001,0.0187,0.0897,0.0972,47.55447325570907,47.6968,12.0406,0.0958,10
Nott'm Forest,47.1372,12.5059,0.0003,0.0142,0.0737,0.1213,47.205710739392714,46.9599,12.5562,0.1229,11
Sunderland,46.7234,12.7574,0.0,0.0123,0.0648,0.129,46.79450414344748,46.6565,12.7558,0.1262,12
Tottenham,45.9564,13.1642,0.0,0.0078,0.0546,0.161,45.959876904016056,45.6564,13.2707,0.1684,13
Brentford,44.783,13.3571,0.0,0.0086,0.046,0.1634,44.74715520289792,44.578,13.4143,0.1634,14
Leeds,44.9918,13.5273,0.0,0.0081,0.0478,0.1846,44.99840696679438,44.93,13.5175,0.1831,15
Coventry,44.5006,13.5983,0.0,0.008,0.0417,0.1824,44.48914290833775,44.5669,13.5234,0.1759,16
Crystal Palace,42.2736,14.686,0.0,0.0025,0.0213,0.2648,42.16428367300561,41.9307,14.7971,0.274,17
Everton,41.9728,14.8777,0.0,0.0046,0.0202,0.2883,41.94700793017088,41.7011,14.9572,0.2936,18
Hull,40.3834,15.6551,0.0001,0.002,0.0122,0.3822,40.52807525752601,40.5604,15.5312,0.3648,19
Ipswich,27.0691,19.524,0.0,0.0,0.0,0.9438,27.066930569453124,26.4704,19.5745,0.9506,20
