team,season,squad_market_value_eur,average_player_value_eur,squad_size,source,source_url,last_updated,data_confidence,previous_season_finish,promoted_team_flag,squad_strength_used,log_market_value,squad_strength_score,squad_strength_rank,squad_strength_percentile,squad_strength_bucket
Arsenal,2026/27,1250000000,52083333,24,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,1,False,True,20.94640938826062,0.9792194884200927,2.0,0.9473684210526316,Elite
Aston Villa,2026/27,531500000,20442308,26,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,4,False,True,20.091213755746278,0.6530679997643404,12.0,0.42105263157894735,Mid-table
Bournemouth,2026/27,565700000,21757692,26,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,6,False,True,20.153574460313383,0.676850904932348,10.0,0.5263157894736843,Mid-table
Brentford,2026/27,490580000,15825161,31,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,9,False,True,20.011098922549213,0.6225140877503055,13.0,0.368421052631579,Mid-table
Brighton,2026/27,567000000,17181818,33,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,8,False,True,20.155869861692025,0.6777263169997666,9.0,0.5789473684210527,Mid-table
Chelsea,2026/27,1110000000,37000000,30,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,10,False,True,20.827625852270653,0.9339182431634738,3.0,0.8947368421052632,Elite
Coventry,2026/27,194250000,7471154,26,Transfermarkt,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,2026-06-21,Medium,1,True,True,19.08465654721203,0.2691907680537146,19.0,0.052631578947368474,Promoted / uncertain
Crystal Palace,2026/27,553000000,18433333,30,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,15,False,True,20.130868559486608,0.6681914087020531,11.0,0.4736842105263158,Mid-table
Everton,2026/27,443150000,17044231,26,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,13,False,True,19.90941887114868,0.5837357090144661,14.0,0.3157894736842105,Mid-table
Fulham,2026/27,356200000,14248000,25,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,11,False,True,19.691002928819834,0.5004370086606525,17.0,0.1578947368421053,Lower-table
Hull,2026/27,95900000,3551852,27,Transfermarkt,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,2026-06-21,Medium,6,True,True,18.378816539853666,0.0,20.0,0.0,Promoted / uncertain
Ipswich,2026/27,212950000,7098333,30,Transfermarkt,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,2026-06-21,Medium,2,True,True,19.176567954333496,0.3042436157500667,18.0,0.10526315789473684,Promoted / uncertain
Leeds,2026/27,358800000,13800000,26,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,14,False,True,19.698275688148914,0.5032106679166529,16.0,0.21052631578947367,Lower-table
Liverpool,2026/27,939500000,33553571,28,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,5,False,True,20.660858376817796,0.8703170526167026,4.0,0.8421052631578947,Elite
Man City,2026/27,1320000000,47142857,28,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,2,False,True,21.00089757354469,1.0,1.0,1.0,Elite
Man United,2026/27,752100000,30084000,25,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,3,False,True,20.438379851796633,0.7854689788300634,5.0,0.7894736842105263,Strong
Newcastle,2026/27,696350000,24012069,29,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,12,False,True,20.361362965463375,0.7560965508449361,7.0,0.6842105263157895,Strong
Nott'm Forest,2026/27,577600000,19917241,29,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,16,False,True,20.17439214554289,0.6847902801698104,8.0,0.631578947368421,Strong
Sunderland,2026/27,386430000,13801071,28,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,7,False,True,19.77246129704038,0.5315033133148145,15.0,0.26315789473684215,Lower-table
Tottenham,2026/27,700000000,23333333,30,Transfermarkt,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,2026-06-21,High,17,False,True,20.36659089300768,0.7580903593798862,6.0,0.736842105263158,Strong
