Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,model_variant
2021-08-13,2122,Brentford,Arsenal,0.1259658932685852,0.33454036712646484,0.53949373960495,current_without_elo
2021-08-14,2122,Burnley,Brighton,0.24466325342655182,0.33090850710868835,0.424428254365921,current_without_elo
2021-08-14,2122,Man United,Leeds,0.3063666522502899,0.24696119129657745,0.44667214155197144,current_without_elo
2021-08-14,2122,Norwich,Liverpool,0.0699695572257042,0.13567830622196198,0.7943521738052368,current_without_elo
2021-08-14,2122,Chelsea,Crystal Palace,0.5574377179145813,0.22909916937351227,0.21346311271190643,current_without_elo
2021-08-14,2122,Watford,Aston Villa,0.40032652020454407,0.11824747174978256,0.4814259707927704,current_without_elo
2021-08-14,2122,Leicester,Wolves,0.30739450454711914,0.10566898435354233,0.5869364738464355,current_without_elo
2021-08-14,2122,Everton,Southampton,0.1906527280807495,0.1478724628686905,0.6614748239517212,current_without_elo
2021-08-15,2122,Newcastle,West Ham,0.23345963656902313,0.1770412027835846,0.5894991755485535,current_without_elo
2021-08-15,2122,Tottenham,Man City,0.183749258518219,0.19130323827266693,0.6249474883079529,current_without_elo
2021-08-21,2122,Crystal Palace,Brentford,0.5643414258956909,0.18344616889953613,0.25221237540245056,current_without_elo
2021-08-21,2122,Liverpool,Burnley,0.8483635783195496,0.0884290412068367,0.06320740282535553,current_without_elo
2021-08-21,2122,Aston Villa,Newcastle,0.43721628189086914,0.17623020708560944,0.38655349612236023,current_without_elo
2021-08-21,2122,Man City,Norwich,0.6236374378204346,0.11901096999645233,0.2573516368865967,current_without_elo
2021-08-21,2122,Brighton,Watford,0.49511265754699707,0.17571747303009033,0.329169899225235,current_without_elo
2021-08-21,2122,Leeds,Everton,0.655238926410675,0.08333802968263626,0.2614230215549469,current_without_elo
2021-08-22,2122,Wolves,Tottenham,0.2923332452774048,0.34415754675865173,0.3635092079639435,current_without_elo
2021-08-22,2122,Arsenal,Chelsea,0.514442503452301,0.15379609167575836,0.3317614197731018,current_without_elo
2021-08-22,2122,Southampton,Man United,0.286132276058197,0.3922576308250427,0.32161012291908264,current_without_elo
2021-08-23,2122,West Ham,Leicester,0.5661563873291016,0.2640511989593506,0.16979248821735382,current_without_elo
2021-08-28,2122,West Ham,Crystal Palace,0.6586239337921143,0.203033909201622,0.1383422315120697,current_without_elo
2021-08-28,2122,Aston Villa,Brentford,0.6385321617126465,0.1341794729232788,0.2272884100675583,current_without_elo
2021-08-28,2122,Man City,Arsenal,0.45432737469673157,0.17369675636291504,0.37197592854499817,current_without_elo
2021-08-28,2122,Norwich,Leicester,0.1432126760482788,0.08257415145635605,0.7742131948471069,current_without_elo
2021-08-28,2122,Brighton,Everton,0.4901854395866394,0.18929819762706757,0.3205163776874542,current_without_elo
2021-08-28,2122,Newcastle,Southampton,0.4988718032836914,0.12135240435600281,0.3797757625579834,current_without_elo
2021-08-28,2122,Liverpool,Chelsea,0.8277125358581543,0.09330129623413086,0.07898619771003723,current_without_elo
2021-08-29,2122,Wolves,Man United,0.2649655342102051,0.45557424426078796,0.27946025133132935,current_without_elo
2021-08-29,2122,Burnley,Leeds,0.22790615260601044,0.25917667150497437,0.5129172205924988,current_without_elo
2021-08-29,2122,Tottenham,Watford,0.6575149297714233,0.1169576346874237,0.22552740573883057,current_without_elo
2021-09-11,2122,Brentford,Brighton,0.22471842169761658,0.4339264929294586,0.3413550853729248,current_without_elo
2021-09-11,2122,Crystal Palace,Tottenham,0.2641903758049011,0.31478768587112427,0.421021968126297,current_without_elo
2021-09-11,2122,Arsenal,Norwich,0.6471889615058899,0.10735340416431427,0.24545761942863464,current_without_elo
2021-09-11,2122,Leicester,Man City,0.1591557115316391,0.2058994472026825,0.6349448561668396,current_without_elo
2021-09-11,2122,Man United,Newcastle,0.3809877336025238,0.2654396891593933,0.3535726070404053,current_without_elo
2021-09-11,2122,Watford,Wolves,0.6049013137817383,0.13276775181293488,0.2623309791088104,current_without_elo
2021-09-11,2122,Chelsea,Aston Villa,0.6917805671691895,0.1776697188615799,0.13054975867271423,current_without_elo
2021-09-11,2122,Southampton,West Ham,0.21501249074935913,0.37010657787323,0.4148809015750885,current_without_elo
2021-09-12,2122,Leeds,Liverpool,0.24091844260692596,0.17618373036384583,0.5828978419303894,current_without_elo
2021-09-13,2122,Everton,Burnley,0.3215067982673645,0.33784589171409607,0.3406473398208618,current_without_elo
2021-09-17,2122,Newcastle,Leeds,0.44443050026893616,0.1568126678466797,0.39875683188438416,current_without_elo
2021-09-18,2122,Liverpool,Crystal Palace,0.8487350940704346,0.08322799205780029,0.06803695112466812,current_without_elo
2021-09-18,2122,Burnley,Arsenal,0.25093555450439453,0.3750048279762268,0.37405961751937866,current_without_elo
2021-09-18,2122,Wolves,Brentford,0.5007393956184387,0.264817476272583,0.23444312810897827,current_without_elo
2021-09-18,2122,Man City,Southampton,0.4987383484840393,0.20861822366714478,0.2926434576511383,current_without_elo
2021-09-18,2122,Aston Villa,Everton,0.6054515242576599,0.1339864730834961,0.260562002658844,current_without_elo
2021-09-18,2122,Norwich,Watford,0.13473165035247803,0.10288750380277634,0.762380838394165,current_without_elo
2021-09-19,2122,Tottenham,Chelsea,0.4084552824497223,0.18145066499710083,0.41009408235549927,current_without_elo
2021-09-19,2122,Brighton,Leicester,0.399852991104126,0.21634432673454285,0.3838026821613312,current_without_elo
2021-09-19,2122,West Ham,Man United,0.5654615759849548,0.292877733707428,0.1416606605052948,current_without_elo
2021-09-25,2122,Everton,Norwich,0.5805501937866211,0.12127643823623657,0.2981733977794647,current_without_elo
2021-09-25,2122,Man United,Aston Villa,0.5257489681243896,0.22211967408657074,0.2521313428878784,current_without_elo
2021-09-25,2122,Watford,Newcastle,0.3589777946472168,0.206806018948555,0.4342162013053894,current_without_elo
2021-09-25,2122,Leeds,West Ham,0.3965645134449005,0.17374096810817719,0.4296945631504059,current_without_elo
2021-09-25,2122,Leicester,Burnley,0.33692532777786255,0.1753847301006317,0.4876899719238281,current_without_elo
2021-09-25,2122,Chelsea,Man City,0.2737554609775543,0.3090895414352417,0.41715502738952637,current_without_elo
2021-09-25,2122,Brentford,Liverpool,0.10754279047250748,0.11842583864927292,0.7740313410758972,current_without_elo
2021-09-26,2122,Southampton,Wolves,0.49567222595214844,0.2726818025112152,0.23164595663547516,current_without_elo
2021-09-26,2122,Arsenal,Tottenham,0.6283040046691895,0.159429669380188,0.21226631104946136,current_without_elo
2021-09-27,2122,Crystal Palace,Brighton,0.3049730956554413,0.3768538236618042,0.3181730806827545,current_without_elo
