team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Liverpool,88.869,1.119,0.915,0.996,1.0,0.0,88.93741362914443,92,2,2122,current_without_elo,0.881,3.1310000000000002
Man City,69.678,4.069,0.028,0.656,0.87,0.0,69.83795119822025,93,1,2122,current_without_elo,3.069,23.322000000000003
West Ham,69.646,4.315,0.027,0.628,0.832,0.0,69.6806160658598,56,7,2122,current_without_elo,2.6849999999999996,13.646
Chelsea,68.44,4.37,0.021,0.616,0.827,0.0,68.30275987833738,74,3,2122,current_without_elo,1.37,5.560000000000002
Arsenal,65.64,5.184,0.008,0.465,0.746,0.0,65.68408314138651,69,5,2122,current_without_elo,0.18400000000000016,3.3599999999999994
Leeds,60.079,7.279,0.001,0.204,0.459,0.001,60.03194023668766,38,17,2122,current_without_elo,9.721,22.079
Tottenham,60.437,7.383,0.0,0.203,0.459,0.008,60.17065396159887,71,4,2122,current_without_elo,3.383,10.563000000000002
Newcastle,54.856,9.615,0.0,0.08,0.213,0.021,54.96016728132963,49,11,2122,current_without_elo,1.3849999999999998,5.856000000000002
Man United,53.317,10.264,0.0,0.049,0.152,0.022,53.23889695107937,58,6,2122,current_without_elo,4.263999999999999,4.683
Southampton,52.964,10.466,0.0,0.038,0.142,0.028,52.95398685336113,40,15,2122,current_without_elo,4.534000000000001,12.963999999999999
Crystal Palace,51.654,10.897,0.0,0.035,0.113,0.038,51.485246397554874,48,12,2122,current_without_elo,1.1029999999999998,3.6540000000000035
Watford,49.554,12.143,0.0,0.01,0.058,0.07,49.23591344431043,23,19,2122,current_without_elo,6.856999999999999,26.554000000000002
Aston Villa,45.876,13.33,0.0,0.004,0.029,0.123,45.66348450630903,45,14,2122,current_without_elo,0.6699999999999999,0.8759999999999977
Brighton,45.871,13.431,0.0,0.004,0.028,0.111,46.242521185427904,51,9,2122,current_without_elo,4.430999999999999,5.128999999999998
Leicester,46.007,13.523,0.0,0.006,0.031,0.123,46.180952206254005,52,8,2122,current_without_elo,5.523,5.993000000000002
Burnley,44.742,13.981,0.0,0.005,0.023,0.148,44.830253444612026,35,18,2122,current_without_elo,4.019,9.741999999999997
Everton,41.485,15.33,0.0,0.0,0.01,0.28,41.35782638192177,39,16,2122,current_without_elo,0.6699999999999999,2.4849999999999994
Wolves,41.89,15.367,0.0,0.001,0.008,0.26,41.92949079349637,51,10,2122,current_without_elo,5.367000000000001,9.11
Brentford,28.463,18.9,0.0,0.0,0.0,0.87,28.418248523026705,46,13,2122,current_without_elo,5.899999999999999,17.537
Norwich,28.458,19.034,0.0,0.0,0.0,0.897,28.578866191208363,22,20,2122,current_without_elo,0.9660000000000011,6.457999999999998
Liverpool,79.522,1.787,0.537,0.976,0.995,0.0,79.4849920347333,92,2,2122,current_plus_elo,0.21300000000000008,12.477999999999994
Man City,73.686,2.863,0.193,0.884,0.969,0.0,73.74808934703469,93,1,2122,current_plus_elo,1.863,19.313999999999993
Chelsea,71.66,3.207,0.167,0.815,0.947,0.001,71.45519099012017,74,3,2122,current_plus_elo,0.20699999999999985,2.3400000000000034
West Ham,69.569,3.908,0.089,0.702,0.883,0.0,69.73607572540641,56,7,2122,current_plus_elo,3.092,13.569000000000003
Tottenham,60.106,6.884,0.01,0.227,0.557,0.006,59.97564751282334,71,4,2122,current_plus_elo,2.8840000000000003,10.893999999999998
Arsenal,56.01,8.184,0.0,0.104,0.357,0.007,56.26068088412285,69,5,2122,current_plus_elo,3.1839999999999993,12.990000000000002
Leicester,54.005,9.325,0.002,0.066,0.256,0.013,54.27363443747163,52,8,2122,current_plus_elo,1.3249999999999993,2.0050000000000026
Leeds,51.512,10.388,0.0,0.03,0.172,0.033,51.568850211799145,38,17,2122,current_plus_elo,6.612,13.512
Crystal Palace,51.42,10.484,0.001,0.037,0.161,0.038,51.30900523811579,48,12,2122,current_plus_elo,1.516,3.4200000000000017
Man United,51.425,10.6,0.0,0.039,0.173,0.037,51.477715730667114,58,6,2122,current_plus_elo,4.6,6.575000000000003
Watford,51.61,10.611,0.0,0.036,0.165,0.045,51.084443747997284,23,19,2122,current_plus_elo,8.389,28.61
Newcastle,50.342,11.166,0.0,0.031,0.129,0.045,50.364182848483324,49,11,2122,current_plus_elo,0.16600000000000037,1.3419999999999987
Everton,48.453,11.919,0.001,0.02,0.094,0.067,48.53189954906702,39,16,2122,current_plus_elo,4.0809999999999995,9.453000000000003
Southampton,47.102,12.728,0.0,0.015,0.067,0.12,46.89261243864894,40,15,2122,current_plus_elo,2.2720000000000002,7.101999999999997
Burnley,45.11,13.518,0.0,0.008,0.037,0.139,45.12217778712511,35,18,2122,current_plus_elo,4.481999999999999,10.11
Brighton,42.996,14.484,0.0,0.005,0.02,0.211,43.159831900149584,51,9,2122,current_plus_elo,5.484,8.003999999999998
