model_variant,team,seasons,mean_position_error,mean_points_error,mean_expected_position,mean_actual_position
current_plus_elo,Watford,1,8.389,28.61,10.611,19.0
current_plus_elo,Tottenham,4,5.29225,15.84,6.71025,8.5
current_plus_elo,Leicester,3,5.098,14.543666666666667,10.452,14.666666666666666
current_plus_elo,Ipswich,1,4.782,20.9,14.218,19.0
current_plus_elo,Man United,4,4.76525,11.936000000000002,9.786249999999999,8.0
current_plus_elo,Luton,1,4.712,18.872999999999998,13.288,18.0
current_plus_elo,Leeds,2,4.6610000000000005,10.037500000000001,13.338999999999999,18.0
current_plus_elo,Burnley,2,4.3614999999999995,13.663499999999999,14.1385,18.5
current_plus_elo,Fulham,3,3.7526666666666664,8.980333333333334,14.477333333333334,11.666666666666666
current_plus_elo,Chelsea,4,3.6725,10.710749999999999,6.469,6.25
current_plus_elo,Aston Villa,4,3.6225,10.772,11.3725,7.75
current_plus_elo,Wolves,4,3.509499999999999,8.7085,17.0095,13.5
current_plus_elo,Brentford,4,3.496,10.472500000000002,12.086,12.0
current_plus_elo,Brighton,4,3.4552500000000004,10.23025,9.75575,8.5
current_plus_elo,Newcastle,4,3.305,11.50925,7.855,6.75
current_plus_elo,Nott'm Forest,3,3.1993333333333336,9.314333333333332,14.512666666666666,13.333333333333334
current_plus_elo,West Ham,4,3.094,8.667000000000002,12.0795,11.0
current_plus_elo,Arsenal,4,2.73775,15.79075,5.48775,2.75
current_plus_elo,Crystal Palace,4,2.5894999999999997,6.254750000000001,9.121,11.25
current_plus_elo,Everton,4,2.4507499999999998,5.7120000000000015,12.04925,14.5
current_plus_elo,Bournemouth,3,2.126,6.930333333333333,13.714666666666666,12.333333333333334
current_plus_elo,Sheffield United,1,1.873000000000001,16.043999999999997,18.127,20.0
current_plus_elo,Southampton,3,1.6220000000000006,10.224999999999998,16.711333333333332,18.333333333333332
current_plus_elo,Man City,4,1.4212500000000001,12.895999999999997,2.27825,1.5
current_plus_elo,Liverpool,4,1.27225,7.665999999999997,2.96475,2.75
current_plus_elo,Norwich,1,0.902000000000001,7.2379999999999995,19.098,20.0
current_plus_elo_calibrated,Watford,1,6.6240000000000006,27.344,12.376,19.0
current_plus_elo_calibrated,Ipswich,1,5.779999999999999,23.787,13.22,19.0
current_plus_elo_calibrated,Burnley,2,5.7405,18.732,12.7595,18.5
current_plus_elo_calibrated,Leeds,2,5.5745000000000005,14.699000000000002,12.4255,18.0
current_plus_elo_calibrated,Tottenham,4,5.3865,13.240749999999998,7.311,8.5
current_plus_elo_calibrated,Leicester,3,5.1963333333333335,14.191666666666668,11.021,14.666666666666666
current_plus_elo_calibrated,Man United,4,4.21725,9.721,9.56875,8.0
current_plus_elo_calibrated,Luton,1,4.101000000000001,19.087000000000003,13.899,18.0
