team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic
Arsenal,79.0685,1.9613,0.4118,0.977,0.9973,0.0,78.962406411767
Man City,79.5465,1.9836,0.4125,0.9722,0.9966,0.0,79.52431162446737
Man United,74.8182,2.7852,0.152,0.9188,0.9845,0.0,74.88451643660665
Liverpool,63.344,5.533,0.0144,0.4068,0.7341,0.001,63.496755197644234
Brighton,61.2299,6.1445,0.0068,0.3221,0.6506,0.0012,61.203597731888294
Everton,56.3535,8.1044,0.0013,0.1248,0.3811,0.0083,56.262783885002136
Brentford,54.1469,8.9569,0.0003,0.0837,0.2915,0.0138,54.081220768392086
Chelsea,51.6676,10.1812,0.0002,0.0437,0.1847,0.0342,51.831662081182
Sunderland,52.0187,10.2777,0.0001,0.0389,0.1827,0.0347,52.04331906884909
Bournemouth,50.8486,10.4969,0.0002,0.0361,0.1633,0.0379,50.83535449951887
Leeds,49.7715,11.285,0.0002,0.0229,0.1117,0.0574,49.75501122325659
Aston Villa,48.8434,11.4152,0.0,0.0205,0.108,0.0618,48.702918857336044
Newcastle,48.7179,11.8519,0.0001,0.0151,0.0864,0.0746,48.75660850852728
Nott'm Forest,46.5161,12.9735,0.0001,0.008,0.0548,0.1301,46.518744714558125
Fulham,44.4929,13.7655,0.0,0.0052,0.034,0.1752,44.60227604955435
Hull,41.6078,15.2097,0.0,0.0018,0.0138,0.2915,41.454480558633804
Tottenham,41.5408,15.3883,0.0,0.0013,0.0142,0.3225,41.52611456811428
Crystal Palace,40.1558,15.7278,0.0,0.0006,0.0083,0.3501,40.20886431634426
Ipswich,37.2212,17.0186,0.0,0.0005,0.0022,0.5479,37.32851047068834
Coventry,30.0749,18.9398,0.0,0.0,0.0002,0.8578,29.98277524113655
