team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Liverpool,88.9162,1.1117,0.9147,0.9987,0.9998,0.0,88.93741362914443,92,2,2122,current_without_elo,0.8883000000000001,3.0837999999999965
Man City,69.825,4.0668,0.0261,0.6652,0.8673,0.0002,69.83795119822025,93,1,2122,current_without_elo,3.0667999999999997,23.174999999999997
West Ham,69.6634,4.1824,0.023,0.6437,0.8593,0.0,69.6806160658598,56,7,2122,current_without_elo,2.8175999999999997,13.663399999999996
Chelsea,68.2154,4.433,0.0205,0.5972,0.8264,0.0002,68.30275987833738,74,3,2122,current_without_elo,1.4329999999999998,5.7845999999999975
Arsenal,65.645,5.1532,0.0113,0.4702,0.7387,0.0002,65.68408314138651,69,5,2122,current_without_elo,0.1532,3.355000000000004
Leeds,60.0154,7.3361,0.0022,0.2009,0.4488,0.0034,60.03194023668766,38,17,2122,current_without_elo,9.6639,22.0154
Tottenham,60.1633,7.4357,0.0014,0.1925,0.4398,0.0034,60.17065396159887,71,4,2122,current_without_elo,3.4356999999999998,10.8367
Newcastle,54.9326,9.5728,0.0003,0.0724,0.2124,0.0169,54.96016728132963,49,11,2122,current_without_elo,1.4271999999999991,5.932600000000001
Man United,53.1725,10.3373,0.0001,0.0457,0.151,0.021,53.23889695107937,58,6,2122,current_without_elo,4.337300000000001,4.827500000000001
Southampton,52.8507,10.5653,0.0001,0.0388,0.1355,0.0243,52.95398685336113,40,15,2122,current_without_elo,4.434699999999999,12.850700000000003
Crystal Palace,51.4843,10.9617,0.0001,0.0309,0.1162,0.0304,51.485246397554874,48,12,2122,current_without_elo,1.0382999999999996,3.4842999999999975
Watford,49.1937,12.2695,0.0,0.0151,0.0627,0.0684,49.23591344431043,23,19,2122,current_without_elo,6.730499999999999,26.1937
Brighton,46.2699,13.2379,0.0,0.0075,0.0371,0.1066,46.242521185427904,51,9,2122,current_without_elo,4.2379,4.7301
Leicester,46.2203,13.4019,0.0001,0.0094,0.0357,0.1216,46.180952206254005,52,8,2122,current_without_elo,5.4018999999999995,5.779699999999998
Aston Villa,45.7476,13.4313,0.0001,0.0058,0.0305,0.1168,45.66348450630903,45,14,2122,current_without_elo,0.5686999999999998,0.7475999999999985
Burnley,44.8654,13.8765,0.0,0.0036,0.0236,0.15,44.830253444612026,35,18,2122,current_without_elo,4.1235,9.865400000000001
Everton,41.4283,15.2913,0.0,0.0014,0.0086,0.2891,41.35782638192177,39,16,2122,current_without_elo,0.7087000000000003,2.4283
Wolves,41.8537,15.4121,0.0,0.001,0.0065,0.2744,41.92949079349637,51,10,2122,current_without_elo,5.412100000000001,9.146299999999997
Brentford,28.4782,18.9331,0.0,0.0,0.0001,0.8825,28.418248523026705,46,13,2122,current_without_elo,5.9331,17.5218
Norwich,28.717,18.9904,0.0,0.0,0.0,0.8906,28.578866191208363,22,20,2122,current_without_elo,1.009599999999999,6.716999999999999
Liverpool,79.4856,1.7718,0.5478,0.9762,0.9959,0.0,79.4849920347333,92,2,2122,current_plus_elo,0.22819999999999996,12.514399999999995
Man City,73.6803,2.8586,0.2002,0.8722,0.9679,0.0,73.74808934703469,93,1,2122,current_plus_elo,1.8586,19.319699999999997
Chelsea,71.4242,3.2612,0.1478,0.8104,0.9452,0.0,71.45519099012017,74,3,2122,current_plus_elo,0.2612000000000001,2.575800000000001
West Ham,69.7214,3.8272,0.091,0.7178,0.9055,0.0,69.73607572540641,56,7,2122,current_plus_elo,3.1728,13.721400000000003
Tottenham,59.949,6.9259,0.0076,0.225,0.5403,0.0035,59.97564751282334,71,4,2122,current_plus_elo,2.9259000000000004,11.051000000000002
Arsenal,56.2034,8.0606,0.002,0.1167,0.3738,0.0057,56.26068088412285,69,5,2122,current_plus_elo,3.060600000000001,12.796599999999998
Leicester,54.3221,9.1442,0.0018,0.0759,0.2784,0.0155,54.27363443747163,52,8,2122,current_plus_elo,1.1441999999999997,2.322099999999999
Leeds,51.621,10.4051,0.0003,0.0331,0.1586,0.0282,51.568850211799145,38,17,2122,current_plus_elo,6.594900000000001,13.621000000000002
Crystal Palace,51.2643,10.5127,0.0,0.035,0.1666,0.0355,51.30900523811579,48,12,2122,current_plus_elo,1.4872999999999994,3.2642999999999986
Man United,51.4037,10.5928,0.0005,0.0384,0.1614,0.0371,51.477715730667114,58,6,2122,current_plus_elo,4.5928,6.596299999999999
Watford,51.0227,10.908,0.0007,0.0325,0.143,0.0469,51.084443747997284,23,19,2122,current_plus_elo,8.092,28.0227
Newcastle,50.3815,11.1179,0.0002,0.0238,0.1209,0.0482,50.364182848483324,49,11,2122,current_plus_elo,0.11790000000000056,1.3815000000000026
Everton,48.6043,11.8257,0.0,0.0215,0.0991,0.0776,48.53189954906702,39,16,2122,current_plus_elo,4.174300000000001,9.604300000000002
