feature,mean_abs_shap
home_xg_diff,0.11193584
away_xg_diff,0.10113985
away_xg_avg,0.08407431
home_team_points_last_5,0.07154668
home_xg_avg,0.06974135
away_xga_avg,0.06333452
home_xga_avg,0.05879228
away_goals_scored_avg,0.03676913
home_days_rest,0.03542256
away_matches_last_14_days,0.034445528
home_goals_scored_avg,0.033514906
away_days_rest,0.031802323
away_team_points_last_5,0.015324271
away_had_midweek_match,0.010863649
home_matches_last_14_days,0.00519286
home_had_midweek_match,0.0008206761
home_advantage,0.0
home_days_since_last_match,0.0
away_days_since_last_match,0.0
home_number_of_injured_starters,0.0
away_number_of_injured_starters,0.0
home_missing_minutes_played,0.0
away_missing_minutes_played,0.0
home_missing_xg_contribution,0.0
away_missing_xg_contribution,0.0
home_missing_market_value,0.0
away_missing_market_value,0.0
