feature,mean_abs_shap,feature_group
home_xg_diff,0.08570276,production
away_xg_diff,0.077797174,production
home_team_points_last_5,0.04842813,production
away_xg_avg,0.044645548,production
home_xg_avg,0.041559495,production
away_xga_avg,0.038869645,production
elo_recent_change,0.03616763,production
away_shot_accuracy_last10,0.030509043,shot_efficiency
away_xga_per_shot_allowed_last5,0.027966112,defensive_shot_prevention
home_xga_per_shot_allowed_last10,0.025569638,defensive_shot_prevention
away_xga_per_shot_allowed_last10,0.025147192,defensive_shot_prevention
home_elo,0.02367633,production
elo_difference,0.022722434,production
away_goals_minus_xg_season,0.021887336,shot_efficiency
away_opponent_shot_accuracy_last5,0.021803841,defensive_shot_prevention
elo_ratio,0.021089995,production
home_xga_avg,0.019448409,production
away_goals_scored_avg,0.019417383,production
home_shot_accuracy_last10,0.019005513,shot_efficiency
home_days_rest,0.01853434,production
home_xga_per_shot_allowed_last5,0.017346518,defensive_shot_prevention
home_opponent_shot_accuracy_season,0.017239628,defensive_shot_prevention
away_opponent_shot_accuracy_season,0.016540768,defensive_shot_prevention
away_xg_per_shot_last10,0.016092297,shot_efficiency
away_shots_allowed_avg_season,0.015392181,defensive_shot_prevention
away_attacking_pressure_score_season,0.015191462,production
away_shots_on_target_allowed_avg_last10,0.014514772,production
away_shot_accuracy_season,0.013775575,shot_efficiency
home_goals_scored_avg,0.01319676,production
away_goals_minus_xg_last10,0.012969305,shot_efficiency
away_elo,0.012118968,production
home_shots_allowed_avg_last10,0.012062317,defensive_shot_prevention
home_elo_trend,0.011550578,production
home_shots_on_target_allowed_avg_last10,0.011397473,production
away_shot_accuracy_last5,0.011320804,shot_efficiency
home_xg_per_shot_last10,0.010710175,shot_efficiency
away_goals_per_shot_on_target_last5,0.0101454025,shot_efficiency
home_goals_per_shot_on_target_last10,0.009983064,shot_efficiency
home_opponent_shot_accuracy_last10,0.009966244,defensive_shot_prevention
away_shots_on_target_avg_season,0.009648124,shot_volume
away_xga_per_shot_allowed_season,0.009621156,defensive_shot_prevention
away_matches_last_14_days,0.009431447,production
home_attacking_pressure_score_season,0.009264663,production
home_shot_accuracy_last5,0.009063042,shot_efficiency
away_goals_per_shot_on_target_last10,0.008985217,shot_efficiency
home_xg_per_shot_season,0.008813424,shot_efficiency
away_opponent_shot_accuracy_last10,0.008646344,defensive_shot_prevention
away_shots_avg_last5,0.008441108,shot_volume
away_shots_avg_last10,0.008423953,shot_volume
away_shots_allowed_avg_last10,0.008279326,defensive_shot_prevention
home_goals_minus_xg_last5,0.008028168,shot_efficiency
away_xg_per_shot_last5,0.007795872,shot_efficiency
away_shots_on_target_allowed_avg_season,0.0075888657,production
home_opponent_shot_accuracy_last5,0.0074685225,defensive_shot_prevention
home_xg_per_shot_last5,0.007430058,shot_efficiency
home_shots_allowed_avg_last5,0.0067803506,defensive_shot_prevention
home_xga_per_shot_allowed_season,0.006711864,defensive_shot_prevention
home_goals_per_shot_on_target_season,0.006519188,shot_efficiency
away_attacking_pressure_score_last10,0.006391161,production
home_goals_minus_xg_last10,0.006338508,shot_efficiency
away_days_rest,0.0061396365,production
home_goals_per_shot_on_target_last5,0.005935027,shot_efficiency
away_elo_trend,0.005830576,production
home_shots_on_target_avg_last10,0.0055524088,shot_volume
home_shots_avg_season,0.0055386294,shot_volume
home_attacking_pressure_score_last5,0.005372804,production
away_attacking_pressure_score_last5,0.0053385533,production
home_goals_minus_xg_season,0.0052015274,shot_efficiency
away_shots_avg_season,0.0051806215,shot_volume
away_goals_per_shot_on_target_season,0.0047226227,shot_efficiency
away_shots_on_target_allowed_avg_last5,0.0045229555,production
away_xg_per_shot_season,0.004518928,shot_efficiency
home_shots_allowed_avg_season,0.0042706737,defensive_shot_prevention
home_shot_accuracy_season,0.0042585013,shot_efficiency
home_shots_on_target_avg_season,0.004151434,shot_volume
home_goals_per_shot_last5,0.0041018664,shot_efficiency
home_goals_per_shot_last10,0.004071913,shot_efficiency
away_goals_per_shot_season,0.0040676612,shot_efficiency
home_goals_per_shot_season,0.0035517202,shot_efficiency
home_attacking_pressure_score_last10,0.0033472313,production
away_goals_per_shot_last5,0.0033368832,shot_efficiency
away_goals_per_shot_last10,0.0032227754,shot_efficiency
away_shots_allowed_avg_last5,0.003181605,defensive_shot_prevention
home_shots_avg_last5,0.0030516605,shot_volume
home_shots_on_target_allowed_avg_last5,0.0023493809,production
away_shots_on_target_avg_last10,0.002283884,shot_volume
away_goals_minus_xg_last5,0.0021704747,shot_efficiency
away_team_points_last_5,0.0019474619,production
home_shots_on_target_allowed_avg_season,0.0016455709,production
home_shots_on_target_avg_last5,0.001628299,shot_volume
home_shots_avg_last10,0.0015900503,shot_volume
away_shots_on_target_avg_last5,0.0014636416,shot_volume
away_had_midweek_match,0.0012940937,production
home_matches_last_14_days,0.0011179299,production
home_days_since_last_match,0.0,production
away_days_since_last_match,0.0,production
home_had_midweek_match,0.0,production
elo_gap_bucket,0.0,production
rolling_elo_form,0.0,production
home_advantage,0.0,production
