feature,gain_importance
away_xg_diff,0.024470592
home_xg_diff,0.022450263
elo_ratio,0.02066243
home_team_points_last_5,0.018174216
home_xg_avg,0.0177842
away_xg_avg,0.016822172
away_xga_avg,0.014641222
elo_difference,0.013468954
away_shots_on_target_allowed_avg_last5,0.01244063
home_shots_on_target_allowed_avg_season,0.01233022
away_opponent_shot_accuracy_last5,0.012002545
away_team_points_last_5,0.011925408
home_attacking_pressure_score_season,0.011729112
home_shots_avg_season,0.0117203295
home_goals_scored_avg,0.011614028
away_goals_per_shot_season,0.01157192
away_shots_avg_last10,0.01145223
home_shots_allowed_avg_last10,0.011450341
home_goals_minus_xg_season,0.011377574
home_shots_on_target_avg_last10,0.011325859
home_elo,0.011085354
away_shot_accuracy_season,0.011023829
away_goals_per_shot_on_target_last10,0.010866874
home_goals_minus_xg_last5,0.010788659
away_shots_on_target_allowed_avg_season,0.010676892
away_shots_on_target_avg_last5,0.01066916
away_xga_per_shot_allowed_last10,0.010664156
home_shots_on_target_allowed_avg_last10,0.010612984
away_shots_avg_season,0.010610494
away_shots_on_target_avg_last10,0.010602201
elo_recent_change,0.010590921
home_xg_per_shot_last10,0.010537626
away_shots_on_target_allowed_avg_last10,0.01053255
away_xga_per_shot_allowed_last5,0.010512218
home_xga_per_shot_allowed_last10,0.010508791
away_shots_on_target_avg_season,0.010418754
home_shots_on_target_avg_season,0.010399047
away_elo,0.010387892
home_xga_avg,0.0103253
away_goals_minus_xg_last10,0.010310608
away_attacking_pressure_score_last10,0.01026315
home_shot_accuracy_season,0.010200423
home_shot_accuracy_last10,0.010151391
away_shots_allowed_avg_season,0.010102794
away_shots_avg_last5,0.010095416
away_xg_per_shot_season,0.010002962
away_xg_per_shot_last5,0.009971543
away_attacking_pressure_score_last5,0.009968917
home_shots_allowed_avg_last5,0.009925866
away_goals_minus_xg_season,0.0098847365
away_shots_allowed_avg_last10,0.009860461
home_elo_trend,0.009804005
away_opponent_shot_accuracy_season,0.009771001
home_goals_per_shot_last10,0.00973753
away_shot_accuracy_last5,0.009732772
home_attacking_pressure_score_last10,0.00972745
home_days_rest,0.009684629
home_goals_per_shot_on_target_last5,0.009661152
away_xga_per_shot_allowed_season,0.0096493885
home_xga_per_shot_allowed_last5,0.009610505
home_xg_per_shot_season,0.009532538
away_shot_accuracy_last10,0.00950216
away_attacking_pressure_score_season,0.009416294
away_elo_trend,0.00937233
away_goals_per_shot_on_target_season,0.009354525
home_shot_accuracy_last5,0.009352981
home_xg_per_shot_last5,0.009319724
away_goals_scored_avg,0.009280376
away_goals_per_shot_last10,0.009225733
home_shots_avg_last5,0.009212526
home_goals_minus_xg_last10,0.009201563
home_opponent_shot_accuracy_last10,0.009165477
home_goals_per_shot_on_target_last10,0.009157718
home_xga_per_shot_allowed_season,0.00908672
away_xg_per_shot_last10,0.009079953
away_goals_per_shot_on_target_last5,0.009075781
away_goals_per_shot_last5,0.009046813
home_opponent_shot_accuracy_last5,0.008937541
home_opponent_shot_accuracy_season,0.008891377
home_shots_allowed_avg_season,0.008785049
away_opponent_shot_accuracy_last10,0.008710361
home_shots_on_target_allowed_avg_last5,0.0086599
home_goals_per_shot_last5,0.008651286
home_goals_per_shot_season,0.008619951
home_goals_per_shot_on_target_season,0.0085996
away_matches_last_14_days,0.008454539
away_shots_allowed_avg_last5,0.0084298225
home_matches_last_14_days,0.008375004
home_attacking_pressure_score_last5,0.008299547
away_days_rest,0.00824193
home_shots_on_target_avg_last5,0.008191221
home_shots_avg_last10,0.008166201
away_had_midweek_match,0.008160889
away_goals_minus_xg_last5,0.007097918
elo_gap_bucket,0.0
away_days_since_last_match,0.0
home_days_since_last_match,0.0
home_had_midweek_match,0.0
home_advantage,0.0
rolling_elo_form,0.0
