feature,permutation_importance_log_loss,permutation_importance_std
home_shots_allowed_avg_last10,0.0018654028240768562,0.0007823287264586493
away_xg_per_shot_last5,0.0013833782230977753,0.0005009816502395037
home_shots_on_target_allowed_avg_last10,0.0013467370114716103,0.0013150820280876372
away_goals_per_shot_last5,0.0009087624971068741,0.0002852904661450457
home_xg_per_shot_season,0.000851209856981594,0.0009428059759564585
home_opponent_shot_accuracy_last5,0.0008456625276328289,0.0008036535970444582
away_shots_allowed_avg_last10,0.0008341541087296012,0.0006263056864952251
home_xga_per_shot_allowed_last5,0.0007609649293630394,0.0007569159712793805
home_shots_avg_season,0.0007180424277668962,0.0003704413224337596
away_shot_accuracy_last5,0.0007116727277965751,0.0009551962030766701
home_shots_on_target_avg_last10,0.0006449555314331334,0.00020554179776679623
away_shots_on_target_avg_season,0.0005691346411446308,0.0004073026637292082
away_xga_per_shot_allowed_last5,0.0005517262421351088,0.0015762640616764174
home_goals_minus_xg_season,0.0005350246164767203,0.00032541096963570245
home_shots_on_target_avg_season,0.0004657395985689927,0.0003693317892753175
away_goals_per_shot_season,0.0004623565077833458,0.00032874774043052814
home_opponent_shot_accuracy_last10,0.0004153820879319259,0.001029397469581049
home_goals_minus_xg_last10,0.0003663206757046122,0.0004417704468410441
home_shots_on_target_allowed_avg_last5,0.0003622000754767818,0.0004923389223500518
home_shots_allowed_avg_season,0.00034944072035605347,0.0002502046572044905
away_opponent_shot_accuracy_season,0.00030929961733265897,0.0010352766207537413
away_shots_allowed_avg_last5,0.0002829278168516858,0.00029866989535167973
away_xg_per_shot_season,0.00017928789061283368,0.0002947525550941526
home_shot_accuracy_season,0.00015890841914054655,0.0003565009083751741
home_shot_accuracy_last10,0.00013713973495073085,0.0008151858556717075
home_shot_accuracy_last5,0.0001131723368855031,0.00048360786170394707
away_goals_per_shot_last10,6.703223504893608e-05,0.0002924652562667615
away_goals_minus_xg_last5,5.940605443410796e-05,0.00021827000204104483
home_goals_per_shot_last5,4.012405754458825e-05,6.354344109523138e-05
home_shots_on_target_avg_last5,2.7355953765839657e-05,0.00010205074391483395
home_xg_per_shot_last10,6.708231346497229e-06,0.0009495485913844579
away_shots_avg_season,-7.458180355257582e-06,0.00031288055769565043
home_shots_avg_last10,-3.176995844911268e-05,0.0001444185762613627
away_shots_on_target_avg_last5,-3.191240021345187e-05,8.788713636570298e-05
away_shots_avg_last10,-8.898430927688495e-05,0.0010555933032478384
home_xg_per_shot_last5,-9.579929825416222e-05,0.00012696510774918345
home_shots_on_target_allowed_avg_season,-0.0001085389535784298,0.000180897177937583
home_goals_per_shot_season,-0.00010892571635063852,0.00047755959921756783
away_shots_on_target_allowed_avg_season,-0.00011594421482907791,0.00039662068510910983
home_goals_per_shot_on_target_last5,-0.0002149897393648459,0.0002655039643333839
home_xga_per_shot_allowed_season,-0.00023195644086282385,0.0001511393417530771
home_shots_avg_last5,-0.0002502581315225516,0.0004902173471306414
home_shots_allowed_avg_last5,-0.00027455404267908714,0.00024682436789011896
away_opponent_shot_accuracy_last10,-0.00028932482430854556,0.0007152457541749653
away_shot_accuracy_season,-0.0003044506179447293,0.0007570931561391498
away_shots_on_target_avg_last10,-0.0003065251442783357,0.00021682987776576877
home_goals_per_shot_on_target_last10,-0.00037801224021039026,0.0013219001342259756
away_shots_avg_last5,-0.00038515449380773783,0.00037720344341687066
away_xg_per_shot_last10,-0.00038814735781675933,0.0011204985641144196
home_opponent_shot_accuracy_season,-0.0004395366739497142,0.0008193534402673767
home_goals_per_shot_last10,-0.0004479096511932568,0.00016474050692508798
away_goals_per_shot_on_target_season,-0.0005701506642750154,0.0003187858640667077
home_goals_per_shot_on_target_season,-0.0006996855051495832,0.0009216818423027453
away_shots_on_target_allowed_avg_last10,-0.0009550079002492052,0.0007837050737153534
home_goals_minus_xg_last5,-0.0010661707044258505,0.0006704221939654313
away_opponent_shot_accuracy_last5,-0.0011111489135726682,0.0017989476910111443
away_shots_allowed_avg_season,-0.0012698758312676972,0.0006014821767569403
away_goals_per_shot_on_target_last5,-0.001375680148613645,0.0012474253416789312
away_shots_on_target_allowed_avg_last5,-0.0014109114486710705,0.00034806925536680334
away_goals_per_shot_on_target_last10,-0.0015721749947615216,0.0006507748437064235
away_xga_per_shot_allowed_season,-0.001656803851374855,0.00021888275443171114
away_shot_accuracy_last10,-0.0017127452706220847,0.0008837393325605664
away_goals_minus_xg_last10,-0.001852007110258569,0.0008999387729337092
away_goals_minus_xg_season,-0.0021701175502700566,0.0015942058886628788
away_xga_per_shot_allowed_last10,-0.0023803123050855747,0.0014607587067259088
home_xga_per_shot_allowed_last10,-0.00369459908710299,0.0009629627549963992
