feature,gain_importance
away_xg_diff,0.084475175
home_xg_diff,0.08004377
home_xg_avg,0.074929714
home_team_points_last_5,0.070473514
away_xg_avg,0.06136183
away_xga_avg,0.05631908
league_only_away_fixture_congestion_score,0.05569995
league_only_home_fixture_congestion_score,0.05324842
league_only_home_matches_last_14_days,0.05308043
home_xga_avg,0.05236206
league_only_away_days_rest,0.046564776
league_only_home_days_rest,0.046230137
away_team_points_last_5,0.04617089
league_only_home_matches_last_30_days,0.0458363
home_goals_scored_avg,0.04483744
away_goals_scored_avg,0.044620365
league_only_away_matches_last_30_days,0.043860197
league_only_away_matches_last_14_days,0.039885998
home_advantage,0.0
league_only_home_had_midweek_match,0.0
league_only_home_days_since_last_match,0.0
league_only_away_had_midweek_match,0.0
league_only_away_days_since_last_match,0.0
