feature,mean_abs_shap,feature_group
home_xg_diff,0.11054925,xG
away_xg_diff,0.09875653,xG
away_xg_avg,0.08410382,xG
home_xg_avg,0.07198138,xG
home_team_points_last_5,0.069727965,form
away_xga_avg,0.061746024,xG
home_xga_avg,0.059203822,xG
away_goals_scored_avg,0.03866392,form
home_goals_scored_avg,0.037838016,form
league_only_away_days_rest,0.035244398,fatigue
league_only_away_fixture_congestion_score,0.031909063,fatigue
league_only_home_fixture_congestion_score,0.02668407,fatigue
league_only_home_matches_last_30_days,0.015683383,fatigue
away_team_points_last_5,0.013337729,form
league_only_away_matches_last_14_days,0.012927512,fatigue
league_only_home_matches_last_14_days,0.008169276,fatigue
league_only_home_days_rest,0.008065311,fatigue
league_only_away_matches_last_30_days,0.0037801773,fatigue
league_only_home_had_midweek_match,0.0,fatigue
league_only_home_days_since_last_match,0.0,form
home_advantage,0.0,form
league_only_away_had_midweek_match,0.0,fatigue
league_only_away_days_since_last_match,0.0,form
