team,congestion_points_correlation
Bournemouth,0.13559363349430126
Everton,0.11486787628033342
Nott'm Forest,0.09985974172179851
Fulham,0.09497538642990558
Man City,0.09092830271503503
Watford,0.0881311878290015
Leicester,0.06357246937515343
Burnley,0.06074503461950634
Man United,0.05856942776430812
Sheffield United,0.052970408330711975
Southampton,0.05055259103749948
Tottenham,0.04998308713585945
West Ham,0.036965337108828066
Leeds,0.005046562335591968
Ipswich,-0.0013553308673499203
Aston Villa,-0.007121730433022267
Crystal Palace,-0.008059716279781111
Wolves,-0.009846249632319844
Chelsea,-0.02366862920722761
Luton,-0.026361777888904786
Newcastle,-0.06740618638201538
Arsenal,-0.080615443745437
Brighton,-0.08134441216696346
Liverpool,-0.0938734091019103
Brentford,-0.09402713533114117
West Brom,-0.18059694603685636
Norwich,-0.19525698010804146
