team,short_rest_matches,points_per_match_short_rest,points_per_match_rested,short_rest_points_delta
Norwich,19,0.21052631578947367,0.6842105263157895,-0.4736842105263158
Arsenal,50,1.62,1.9775280898876404,-0.3575280898876403
Brentford,31,1.096774193548387,1.371900826446281,-0.2751266328978941
Aston Villa,60,1.2666666666666666,1.5119047619047619,-0.24523809523809526
Chelsea,55,1.509090909090909,1.7341040462427746,-0.22501313715186555
Crystal Palace,63,1.0793650793650793,1.2969696969696969,-0.21760461760461758
Newcastle,55,1.3272727272727274,1.5144508670520231,-0.18717813977929576
Brighton,52,1.2115384615384615,1.3693181818181819,-0.15777972027972043
West Ham,47,1.1914893617021276,1.3204419889502763,-0.1289526272481487
West Brom,13,0.6153846153846154,0.72,-0.10461538461538455
Liverpool,56,2.107142857142857,2.1802325581395348,-0.07308970099667755
Luton,11,0.6363636363636364,0.7037037037037037,-0.06734006734006737
Leeds,27,1.1111111111111112,1.1264367816091954,-0.015325670498084198
Southampton,45,0.9111111111111111,0.903448275862069,0.007662835249042099
Ipswich,5,0.6,0.5757575757575758,0.024242424242424176
Wolves,46,1.2826086956521738,1.2362637362637363,0.04634495938843752
Sheffield United,27,0.8518518518518519,0.8045977011494253,0.047254150702426556
Burnley,45,1.0666666666666667,0.9719626168224299,0.09470404984423675
Watford,22,0.8636363636363636,0.7037037037037037,0.15993265993265993
Tottenham,58,1.6896551724137931,1.5176470588235293,0.1720081135902638
Everton,55,1.3636363636363635,1.1791907514450868,0.18444561219127675
Man City,55,2.381818181818182,2.1965317919075145,0.18528638991066737
Man United,60,1.7833333333333334,1.5952380952380953,0.1880952380952381
Fulham,36,1.3611111111111112,1.1379310344827587,0.2231800766283525
Nott'm Forest,24,1.4583333333333333,1.1555555555555554,0.3027777777777778
Leicester,45,1.5555555555555556,1.1655172413793105,0.3900383141762451
Bournemouth,34,1.5294117647058822,1.0593220338983051,0.4700897308075771
