feature,gain_importance
away_xg_diff,0.06568335
home_xg_avg,0.05615063
home_xg_diff,0.05415238
home_team_points_last_5,0.048059568
away_xg_avg,0.04460424
home_attacking_pressure_score_last10,0.04063184
away_attacking_pressure_score_season,0.039709758
home_attacking_pressure_score_season,0.039586343
away_fixture_congestion_score,0.03924113
away_vs_home_style_history_points,0.037499942
style_distance_score,0.0365618
away_xga_avg,0.03628775
away_days_rest,0.035324715
away_matches_last_14_days,0.034951404
away_attacking_pressure_score_last10,0.034141235
home_days_rest,0.033898097
home_xga_avg,0.03236263
home_matches_last_30_days,0.032255948
home_fixture_congestion_score,0.031315953
home_vs_away_style_history_points,0.031045409
home_attacking_pressure_score_last5,0.030827487
away_team_points_last_5,0.03038545
home_goals_scored_avg,0.029973572
away_goals_scored_avg,0.029862
away_attacking_pressure_score_last5,0.02894854
home_matches_last_14_days,0.028012952
away_matches_last_30_days,0.018525934
away_shared_starts_score,0.0
home_lineup_familiarity_score,0.0
home_shared_minutes_score,0.0
home_shared_starts_score,0.0
away_days_since_last_win,0.0
away_same_attack,0.0
away_lineup_similarity_last_win,0.0
away_starters_from_last_win,0.0
away_lineup_familiarity_score,0.0
away_same_midfield,0.0
away_same_back_four,0.0
away_lineup_changes,0.0
away_shared_minutes_score,0.0
home_advantage,0.0
home_manager_stability_score,0.0
home_lineup_rotation_rate,0.0
home_squad_consistency_score,0.0
away_manager_stability_score,0.0
away_lineup_rotation_rate,0.0
away_squad_consistency_score,0.0
away_starting_xi_repeat_count,0.0
home_press_vs_away_build_up,0.0
away_press_vs_home_build_up,0.0
possession_vs_counter,0.0
high_line_vs_transition,0.0
crossing_vs_low_block,0.0
home_team_style_cluster,0.0
away_team_style_cluster,0.0
style_cluster_matchup,0.0
away_starting_xi_repeat_pct,0.0
home_same_midfield,0.0
home_days_since_last_win,0.0
away_days_since_europe_match,0.0
home_missing_xa,0.0
home_missing_xg,0.0
home_missing_goals,0.0
home_missing_minutes,0.0
home_injured_starters_count,0.0
home_injured_players_count,0.0
away_european_fixture_load,0.0
away_played_europe_midweek,0.0
home_lineup_similarity_last_win,0.0
home_european_fixture_load,0.0
home_days_since_europe_match,0.0
home_played_europe_midweek,0.0
away_days_since_last_match,0.0
away_had_midweek_match,0.0
home_days_since_last_match,0.0
home_had_midweek_match,0.0
home_missing_market_value,0.0
away_injured_players_count,0.0
away_injured_starters_count,0.0
away_missing_minutes,0.0
home_starters_from_last_win,0.0
home_same_attack,0.0
home_same_back_four,0.0
home_lineup_changes,0.0
home_starting_xi_repeat_pct,0.0
home_starting_xi_repeat_count,0.0
away_lineup_strength_score,0.0
away_availability_score,0.0
home_injury_severity_score,0.0
home_lineup_strength_score,0.0
home_availability_score,0.0
away_missing_market_value,0.0
away_missing_xa,0.0
away_missing_xg,0.0
away_missing_goals,0.0
away_injury_severity_score,0.0
