feature,mean_abs_shap,feature_group
home_xg_diff,0.09150782,xG
away_xg_diff,0.08800886,xG
away_xg_avg,0.065367326,xG
home_team_points_last_5,0.06523797,baseline
home_xg_avg,0.06253108,xG
style_distance_score,0.062020242,matchup
home_attacking_pressure_score_last10,0.059896465,tactical_profile
away_vs_home_style_history_points,0.05440727,style_embedding
home_attacking_pressure_score_season,0.052586615,tactical_profile
away_xga_avg,0.0444311,xG
away_attacking_pressure_score_season,0.042703196,tactical_profile
home_xga_avg,0.04136313,xG
away_days_rest,0.032645516,fatigue
away_goals_scored_avg,0.030953797,baseline
away_fixture_congestion_score,0.029154157,fatigue
home_attacking_pressure_score_last5,0.025619304,tactical_profile
home_goals_scored_avg,0.023433367,baseline
away_attacking_pressure_score_last10,0.022500562,tactical_profile
away_attacking_pressure_score_last5,0.020716308,tactical_profile
home_vs_away_style_history_points,0.016621286,style_embedding
home_fixture_congestion_score,0.015883632,fatigue
away_matches_last_14_days,0.00896572,baseline
home_matches_last_14_days,0.0084133735,baseline
away_team_points_last_5,0.007603362,baseline
home_days_rest,0.0065704733,fatigue
home_matches_last_30_days,0.006252077,baseline
away_matches_last_30_days,0.00081864296,baseline
away_days_since_last_win,0.0,baseline
away_lineup_similarity_last_win,0.0,lineup_stability
home_shared_starts_score,0.0,lineup_stability
home_lineup_familiarity_score,0.0,lineup_stability
home_shared_minutes_score,0.0,lineup_stability
away_same_attack,0.0,baseline
away_starters_from_last_win,0.0,baseline
away_shared_minutes_score,0.0,lineup_stability
away_same_midfield,0.0,baseline
away_same_back_four,0.0,baseline
away_lineup_changes,0.0,lineup_stability
away_starting_xi_repeat_pct,0.0,baseline
away_shared_starts_score,0.0,lineup_stability
away_lineup_rotation_rate,0.0,lineup_stability
away_lineup_familiarity_score,0.0,lineup_stability
home_manager_stability_score,0.0,lineup_stability
home_lineup_rotation_rate,0.0,lineup_stability
home_squad_consistency_score,0.0,baseline
away_manager_stability_score,0.0,lineup_stability
away_team_style_cluster,0.0,style_embedding
away_squad_consistency_score,0.0,baseline
home_days_since_last_win,0.0,baseline
style_cluster_matchup,0.0,style_embedding
home_press_vs_away_build_up,0.0,matchup
away_press_vs_home_build_up,0.0,matchup
possession_vs_counter,0.0,matchup
high_line_vs_transition,0.0,matchup
crossing_vs_low_block,0.0,matchup
home_team_style_cluster,0.0,style_embedding
away_starting_xi_repeat_count,0.0,baseline
home_same_back_four,0.0,baseline
home_lineup_similarity_last_win,0.0,lineup_stability
away_played_europe_midweek,0.0,fatigue
home_missing_xg,0.0,xG
home_missing_goals,0.0,baseline
home_missing_minutes,0.0,baseline
home_injured_starters_count,0.0,baseline
home_injured_players_count,0.0,baseline
away_european_fixture_load,0.0,baseline
away_days_since_europe_match,0.0,baseline
home_european_fixture_load,0.0,baseline
home_starters_from_last_win,0.0,baseline
home_days_since_europe_match,0.0,baseline
home_played_europe_midweek,0.0,fatigue
away_days_since_last_match,0.0,baseline
away_had_midweek_match,0.0,fatigue
home_days_since_last_match,0.0,baseline
home_had_midweek_match,0.0,fatigue
home_advantage,0.0,baseline
home_missing_xa,0.0,baseline
home_missing_market_value,0.0,baseline
away_injured_players_count,0.0,baseline
away_injured_starters_count,0.0,baseline
home_same_attack,0.0,baseline
home_same_midfield,0.0,baseline
home_lineup_changes,0.0,lineup_stability
home_starting_xi_repeat_pct,0.0,baseline
home_starting_xi_repeat_count,0.0,baseline
away_lineup_strength_score,0.0,lineup_stability
away_availability_score,0.0,baseline
home_injury_severity_score,0.0,baseline
home_lineup_strength_score,0.0,lineup_stability
home_availability_score,0.0,baseline
away_missing_market_value,0.0,baseline
away_missing_xa,0.0,baseline
away_missing_xg,0.0,xG
away_missing_goals,0.0,baseline
away_missing_minutes,0.0,baseline
away_injury_severity_score,0.0,baseline
