source,field,available,source_columns
premier_league_1920.csv,shots,True,HS|AS
premier_league_1920.csv,shots_on_target,True,HST|AST
premier_league_1920.csv,blocks,False,
premier_league_1920.csv,crosses,False,
premier_league_1920.csv,interceptions,False,
premier_league_1920.csv,long_balls,False,
premier_league_1920.csv,pass_completion_pct,False,
premier_league_1920.csv,passes_attempted,False,
premier_league_1920.csv,passes_completed,False,
premier_league_1920.csv,possession,False,
premier_league_1920.csv,progressive_carries,False,
premier_league_1920.csv,progressive_passes,False,
premier_league_1920.csv,tackles,False,
premier_league_2021.csv,shots,True,HS|AS
premier_league_2021.csv,shots_on_target,True,HST|AST
premier_league_2021.csv,blocks,False,
premier_league_2021.csv,crosses,False,
premier_league_2021.csv,interceptions,False,
premier_league_2021.csv,long_balls,False,
premier_league_2021.csv,pass_completion_pct,False,
premier_league_2021.csv,passes_attempted,False,
premier_league_2021.csv,passes_completed,False,
premier_league_2021.csv,possession,False,
premier_league_2021.csv,progressive_carries,False,
premier_league_2021.csv,progressive_passes,False,
premier_league_2021.csv,tackles,False,
premier_league_2122.csv,shots,True,HS|AS
premier_league_2122.csv,shots_on_target,True,HST|AST
premier_league_2122.csv,blocks,False,
premier_league_2122.csv,crosses,False,
premier_league_2122.csv,interceptions,False,
premier_league_2122.csv,long_balls,False,
premier_league_2122.csv,pass_completion_pct,False,
premier_league_2122.csv,passes_attempted,False,
premier_league_2122.csv,passes_completed,False,
premier_league_2122.csv,possession,False,
premier_league_2122.csv,progressive_carries,False,
premier_league_2122.csv,progressive_passes,False,
premier_league_2122.csv,tackles,False,
premier_league_2223.csv,shots,True,HS|AS
premier_league_2223.csv,shots_on_target,True,HST|AST
premier_league_2223.csv,blocks,False,
premier_league_2223.csv,crosses,False,
premier_league_2223.csv,interceptions,False,
premier_league_2223.csv,long_balls,False,
premier_league_2223.csv,pass_completion_pct,False,
premier_league_2223.csv,passes_attempted,False,
premier_league_2223.csv,passes_completed,False,
premier_league_2223.csv,possession,False,
premier_league_2223.csv,progressive_carries,False,
premier_league_2223.csv,progressive_passes,False,
premier_league_2223.csv,tackles,False,
premier_league_2324.csv,shots,True,HS|AS
premier_league_2324.csv,shots_on_target,True,HST|AST
premier_league_2324.csv,blocks,False,
premier_league_2324.csv,crosses,False,
premier_league_2324.csv,interceptions,False,
premier_league_2324.csv,long_balls,False,
premier_league_2324.csv,pass_completion_pct,False,
premier_league_2324.csv,passes_attempted,False,
premier_league_2324.csv,passes_completed,False,
premier_league_2324.csv,possession,False,
premier_league_2324.csv,progressive_carries,False,
premier_league_2324.csv,progressive_passes,False,
premier_league_2324.csv,tackles,False,
premier_league_2425.csv,shots,True,HS|AS
premier_league_2425.csv,shots_on_target,True,HST|AST
premier_league_2425.csv,blocks,False,
premier_league_2425.csv,crosses,False,
premier_league_2425.csv,interceptions,False,
premier_league_2425.csv,long_balls,False,
premier_league_2425.csv,pass_completion_pct,False,
premier_league_2425.csv,passes_attempted,False,
premier_league_2425.csv,passes_completed,False,
premier_league_2425.csv,possession,False,
premier_league_2425.csv,progressive_carries,False,
premier_league_2425.csv,progressive_passes,False,
premier_league_2425.csv,tackles,False,
