field,non_null_rows,missing_rows,coverage_pct
attacking_pressure_score,4560,0,1.0
shots,4560,0,1.0
shots_on_target,4560,0,1.0
venue,4560,0,1.0
PPDA,0,4560,0.0
attacking_verticality_score,0,4560,0.0
attacking_width_score,0,4560,0.0
average_possession,0,4560,0.0
blocks,0,4560,0.0
build_up_speed,0,4560,0.0
counter_attacks,0,4560,0.0
counterpress_actions,0,4560,0.0
crosses,0,4560,0.0
crosses_per_match,0,4560,0.0
crossing_score,0,4560,0.0
defensive_activity_score,0,4560,0.0
defensive_aggression_score,0,4560,0.0
defensive_line_height_proxy,0,4560,0.0
directness_score,0,4560,0.0
fast_break_frequency,0,4560,0.0
high_line_score,0,4560,0.0
high_press_events,0,4560,0.0
interceptions,0,4560,0.0
long_balls,0,4560,0.0
long_pass_ratio,0,4560,0.0
low_block_score,0,4560,0.0
pass_completion_pct,0,4560,0.0
passes_attempted,0,4560,0.0
passes_completed,0,4560,0.0
passes_per_sequence,0,4560,0.0
possession,0,4560,0.0
possession_score,0,4560,0.0
press_intensity_score,0,4560,0.0
press_success_rate,0,4560,0.0
progression_score,0,4560,0.0
progressive_carries,0,4560,0.0
progressive_passes,0,4560,0.0
tackles,0,4560,0.0
through_balls,0,4560,0.0
turnovers_forced,0,4560,0.0
