season,team,average_possession_last5,average_possession_last10,average_possession_season,possession_score_last5,possession_score_last10,possession_score_season,progressive_passes_last5,progressive_passes_last10,progressive_passes_season,passes_per_sequence_last5,passes_per_sequence_last10,passes_per_sequence_season,build_up_speed_last5,build_up_speed_last10,build_up_speed_season,long_pass_ratio_last5,long_pass_ratio_last10,long_pass_ratio_season,progression_score_last5,progression_score_last10,progression_score_season,directness_score_last5,directness_score_last10,directness_score_season,PPDA_last5,PPDA_last10,PPDA_season,high_press_events_last5,high_press_events_last10,high_press_events_season,press_success_rate_last5,press_success_rate_last10,press_success_rate_season,turnovers_forced_last5,turnovers_forced_last10,turnovers_forced_season,counterpress_actions_last5,counterpress_actions_last10,counterpress_actions_season,press_intensity_score_last5,press_intensity_score_last10,press_intensity_score_season,crosses_per_match_last5,crosses_per_match_last10,crosses_per_match_season,crossing_score_last5,crossing_score_last10,crossing_score_season,through_balls_last5,through_balls_last10,through_balls_season,counter_attacks_last5,counter_attacks_last10,counter_attacks_season,fast_break_frequency_last5,fast_break_frequency_last10,fast_break_frequency_season,attacking_pressure_score_last5,attacking_pressure_score_last10,attacking_pressure_score_season,attacking_width_score_last5,attacking_width_score_last10,attacking_width_score_season,attacking_verticality_score_last5,attacking_verticality_score_last10,attacking_verticality_score_season,defensive_line_height_proxy_last5,defensive_line_height_proxy_last10,defensive_line_height_proxy_season,blocks_last5,blocks_last10,blocks_season,interceptions_last5,interceptions_last10,interceptions_season,tackles_last5,tackles_last10,tackles_season,low_block_score_last5,low_block_score_last10,low_block_score_season,high_line_score_last5,high_line_score_last10,high_line_score_season,defensive_activity_score_last5,defensive_activity_score_last10,defensive_activity_score_season,defensive_aggression_score_last5,defensive_aggression_score_last10,defensive_aggression_score_season,team_style_cluster,team_style_archetype
1920,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Norwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,West Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Man City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Burnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Watford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Wolves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Man United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Balanced
1920,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Direct Counterattack
1920,Norwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,High Press
1920,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Low Block
1920,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Low Block
