team,opponent_style_cluster,matches,points_per_match,opponent_style_archetype
Man City,0,228,2.241228070175439,Balanced
Liverpool,0,228,2.162280701754386,Balanced
Arsenal,0,228,1.8991228070175439,Balanced
Chelsea,0,228,1.6798245614035088,Balanced
Man United,0,228,1.644736842105263,Balanced
Tottenham,0,228,1.5614035087719298,Balanced
Newcastle,0,228,1.469298245614035,Balanced
Aston Villa,0,228,1.4473684210526316,Balanced
Brighton,0,228,1.3333333333333333,Balanced
Brentford,0,152,1.3157894736842106,Balanced
West Ham,0,228,1.293859649122807,Balanced
Leicester,0,190,1.2578947368421052,Balanced
Wolves,0,228,1.2456140350877194,Balanced
Crystal Palace,0,228,1.236842105263158,Balanced
Everton,0,228,1.2236842105263157,Balanced
Nott'm Forest,0,114,1.219298245614035,Balanced
Fulham,0,152,1.1907894736842106,Balanced
Bournemouth,0,152,1.1644736842105263,Balanced
Leeds,0,114,1.1228070175438596,Balanced
Burnley,0,152,1.0,Balanced
Southampton,0,190,0.9052631578947369,Balanced
Sheffield United,0,114,0.8157894736842105,Balanced
Watford,0,76,0.75,Balanced
Luton,0,38,0.6842105263157895,Balanced
West Brom,0,38,0.6842105263157895,Balanced
Ipswich,0,38,0.5789473684210527,Balanced
Norwich,0,76,0.5657894736842105,Balanced
