feature,gain_importance
home_xg_last_5_home_matches,0.08621143
away_xg_diff,0.0843096
home_team_points_last_5,0.061261527
away_xg_last_5_away_matches,0.05137057
home_xg_diff,0.050653063
away_xg_avg,0.046386115
away_points_last_5_away_matches,0.040981032
away_xga_avg,0.038893525
home_xg_avg,0.03874819
away_xga_last_5_away_matches,0.03866739
home_xga_avg,0.038140777
home_xga_last_5_home_matches,0.037778564
home_goal_diff_home_matches,0.037249625
away_goal_diff_away_matches,0.03549048
away_matches_last_14_days,0.033780117
away_days_rest,0.033689726
away_goals_scored_avg,0.0334535
home_days_rest,0.03252989
away_had_midweek_match,0.031741936
home_goals_scored_avg,0.03142951
home_points_last_5_home_matches,0.030392246
away_team_points_last_5,0.02989353
home_matches_last_14_days,0.029600007
home_had_midweek_match,0.027347669
home_days_since_last_match,0.0
away_days_since_last_match,0.0
home_advantage,0.0
